"x","y","slope240","descape240","wolfuse","Prob","CumProb"
531543.78694287,4983393.9525786,0.766355140186916,0,0,0.00400555586504958,0.00400555586504958
531783.78694287,4983153.9525786,0.8274622573688,0,0,0.00394877039331522,0.0079543262583648
530103.78694287,4984353.9525786,0.836448713156003,0.000788610363391655,0,0.00390263312024466,0.0118569593786095
531543.78694287,4984353.9525786,0.863048281811646,0,0,0.00389296637566691,0.0157499257542764
532263.78694287,4984113.9525786,0.97591672178289,0,0.000377215223592191,0.00377889012157913,0.0195288158758555
531063.78694287,4984113.9525786,0.682242990654206,0,0,0.00357635704900123,0.0231051729248567
531303.78694287,4984593.9525786,0.804097886412653,0,0,0.00345548798995363,0.0265606609148104
531543.78694287,4983633.9525786,0.650970639827462,0,0,0.00331178806132212,0.0298724489761325
531063.78694287,4984593.9525786,0.753414809489576,0.00197152590847914,0,0.00317145328324616,0.0330439022593786
530103.78694287,4982913.9525786,0.618979151689432,0,0.00786197572069731,0.00315026516598822,0.0361941674253669
530103.78694287,4984113.9525786,0.613227893601725,0,0,0.00305285746355286,0.0392470248889197
530103.78694287,4983153.9525786,0.554637066858375,0,0.00415371972106592,0.00304387593450539,0.0422909008234251
530823.78694287,4984113.9525786,0.557872034507549,0,0,0.00303879102680241,0.0453296918502275
529623.78694287,4984833.9525786,0.853702487419123,0,0,0.00302266449959757,0.0483523563498251
530823.78694287,4984593.9525786,0.683680805176132,0.000788610363391655,0,0.00298933314405803,0.0513416894938831
529863.78694287,4984113.9525786,0.643781567217829,0,0,0.00298503116556758,0.0543267206594507
532023.78694287,4982913.9525786,0.726096333572969,0,0,0.00296702406552513,0.0572937447249758
529863.78694287,4983393.9525786,0.578361006470165,0,0.00287628455538581,0.00295693986089008,0.0602506845858659
530343.78694287,4984113.9525786,0.553918159597412,0,0,0.00293540042945371,0.0631860850153196
530583.78694287,4985073.9525786,0.797627721063983,0,0,0.00292945826095916,0.0661155432762788
530343.78694287,4984353.9525786,0.622214349388929,0.00118291554508748,0,0.00290569536622375,0.0690212386425025
530343.78694287,4982913.9525786,0.498562300503235,0,0.00120005082786058,0.00287749176296115,0.0718987304054637
530583.78694287,4984593.9525786,0.649173256649892,0.000788610363391655,0,0.00283469527074529,0.074733425676209
531543.78694287,4983153.9525786,0.543493889288282,0,0,0.00280168305607820,0.0775351087322872
531783.78694287,4983393.9525786,0.594536304816679,0,0,0.00279002077585860,0.0803251295081458
531783.78694287,4984353.9525786,0.811286959022286,0.00775079912516824,0,0.00277512479719572,0.0831002543053415
530103.78694287,4983633.9525786,0.474119453630482,0,3.33702399276603e-05,0.00275025218383382,0.0858505064891753
531303.78694287,4984113.9525786,0.544572365204889,0,0,0.00274509243731674,0.088595598926492
530343.78694287,4985073.9525786,0.765636232925953,0,0,0.00274453426892242,0.0913401331954145
529143.78694287,4984113.9525786,0.761682358015816,0,0,0.00272328021194999,0.0940634134073645
531543.78694287,4983873.9525786,0.546369518332135,0,0,0.00271700158346709,0.0967804149908316
532023.78694287,4984113.9525786,0.694105075485262,0,0,0.00270854394492823,0.0994889589357598
530343.78694287,4984593.9525786,0.744069015097052,0.00814510430686407,0,0.00270160691527974,0.102190565851040
530583.78694287,4984113.9525786,0.479870711718188,0,0,0.00269483420954539,0.104885400060585
530103.78694287,4983393.9525786,0.451473759884975,0,0.000917896446513396,0.00268582054607685,0.107571220606662
530823.78694287,4983873.9525786,0.420920316319195,0,0,0.00267548545390988,0.110246706060572
529863.78694287,4984833.9525786,0.731488253055356,0,0,0.00266607844108375,0.112912784501655
531303.78694287,4983153.9525786,0.451114421279655,0,0,0.00264804001643561,0.115560824518091
530823.78694287,4985313.9525786,0.801941164629763,0,0,0.00263091238249950,0.118191736900590
530103.78694287,4984593.9525786,0.660675772825306,0.00252915797442799,0,0.00261002585109806,0.120801762751689
530823.78694287,4984353.9525786,0.515456506110712,0,0,0.00259512629535660,0.123396889047045
530343.78694287,4983393.9525786,0.383896477354421,0.000788610363391655,2.63730865758293e-05,0.00258561582063237,0.125982504867678
530103.78694287,4983873.9525786,0.461179122933142,0,0,0.00257852035272207,0.128561025220400
530103.78694287,4982673.9525786,0.551042530553559,0,0.0143564084140988,0.00256936231222643,0.131130387532626
530343.78694287,4984833.9525786,0.646657196261682,0,0,0.00254494942001296,0.133675336952639
530583.78694287,4982673.9525786,0.446441409058231,0,5.0868357280983e-05,0.00254479761486056,0.136220134567500
530823.78694287,4985073.9525786,0.705966930265996,0,0,0.00254333723800157,0.138763471805501
529863.78694287,4982913.9525786,0.558950510424155,0,0.0168877654603809,0.00253921700261782,0.141302688808119
529623.78694287,4984113.9525786,0.607117296908699,0.00118291554508748,0,0.0025265266158525,0.143829215423971
531063.78694287,4984353.9525786,0.510783723939612,0,0,0.00251600813066743,0.146345223554639
530343.78694287,4982673.9525786,0.465492566498922,0,0.00290502029514716,0.002511443347266,0.148856666901905
529863.78694287,4983633.9525786,0.471962731847592,0,0.000287467548642839,0.00251123672265221,0.151367903624557
529623.78694287,4983633.9525786,0.536304816678648,0,0.00149316199688697,0.00250724376808994,0.153875147392647
531303.78694287,4984353.9525786,0.537023723939612,0,0,0.00250531153379257,0.156380458926440
532263.78694287,4982433.9525786,0.744787922358016,0,0,0.00250379708730664,0.158884256013746
530343.78694287,4983633.9525786,0.364845549964055,0,0,0.00250315004907066,0.161387406062817
530583.78694287,4984353.9525786,0.487419122933142,0,0,0.00248557781341578,0.163872983876233
529863.78694287,4983873.9525786,0.487419122933142,0,5.76429047618362e-06,0.00248242471360877,0.166355408589841
