"x","y","slope240","descape240","elkuse","wolfuse","Prob","CumProb"
530103.78694287,4984353.9525786,0.836448713156003,0.000788610363391655,0.0311251751450846,0,0.00389461887687013,0.00389461887687013
531543.78694287,4984353.9525786,0.863048281811646,0,0.040752637983984,0,0.00379258186074899,0.00768720073761912
532263.78694287,4984113.9525786,0.97591672178289,0,0.0411782092793977,0.000377215223592191,0.00356219750657167,0.0112493982441908
531303.78694287,4984593.9525786,0.804097886412653,0,0.0223914323985643,0,0.00355594362600457,0.0148053418701954
531543.78694287,4983393.9525786,0.766355140186916,0,0.142658788492088,0,0.00334972967445704,0.0181550715446524
531783.78694287,4983153.9525786,0.8274622573688,0,0.126270088253673,0,0.00333975155311513,0.0214948230977675
531063.78694287,4984593.9525786,0.753414809489576,0.00197152590847914,0.0276892609887664,0,0.00328698243342620,0.0247818055311937
531063.78694287,4984113.9525786,0.682242990654206,0,0.108720503559076,0,0.00327122873958749,0.0280530342707812
530823.78694287,4984593.9525786,0.683680805176132,0.000788610363391655,0.0291616916883604,0,0.00316601578417851,0.0312190500549597
530103.78694287,4984113.9525786,0.613227893601725,0,0.0594843813341037,0,0.00312920611720431,0.0343482561721640
530343.78694287,4984353.9525786,0.622214349388929,0.00118291554508748,0.0367430480172852,0,0.00309477220130770,0.0374430283734717
529863.78694287,4984113.9525786,0.643781567217829,0,0.0484454874150582,0,0.00309442691784899,0.0405374552913207
530583.78694287,4984593.9525786,0.649173256649892,0.000788610363391655,0.0278776729812788,0,0.0030465198367797,0.0435839751281004
529623.78694287,4984833.9525786,0.853702487419123,0,0.0297462810756937,0,0.00304242872204085,0.0466264038501413
530583.78694287,4985073.9525786,0.797627721063983,0,0.024303753006534,0,0.00303063165878765,0.0496570355089289
530343.78694287,4984113.9525786,0.553918159597412,0,0.0739236548029091,0,0.00298997530509875,0.0526470108140277
530823.78694287,4984113.9525786,0.557872034507549,0,0.0957920474778664,0,0.00297036705418338,0.055617377868211
531543.78694287,4983633.9525786,0.650970639827462,0,0.133804385238778,0,0.00293350051254284,0.0585508783807539
