"x","y","elev240","rghasp240","elkuse","wolfuse","Prob","CumProb"
530103.78694287,4984353.9525786,0.109803974766013,0.913909873374123,0.0311251751450846,0,0.00643802221147268,0.00643802221147268
532263.78694287,4984113.9525786,0.180443598734971,0.958683855788045,0.0411782092793977,0.000377215223592191,0.00631689732752922,0.0127549195390019
530343.78694287,4984353.9525786,0.170645728368997,0.822730481181196,0.0367430480172852,0,0.0046252274787872,0.0173801470177891
531783.78694287,4984113.9525786,0.204491235253095,0.848064545805402,0.0550392086840665,0,0.00455439186096299,0.0219345388787521
532023.78694287,4984113.9525786,0.187900832479848,0.855791668576837,0.0430862226623301,0,0.00431926833157346,0.0262538072103256
531543.78694287,4983873.9525786,0.295922815719262,0.805100561478213,0.112211829583442,0,0.00416157269318808,0.0304153799035136
530343.78694287,4984113.9525786,0.235148272177316,0.780380990219688,0.0739236548029091,0,0.00408579186408167,0.0345011717675953
530343.78694287,4984593.9525786,0.0946780113961133,0.829277198961719,0.0325617511065298,0,0.00396197928899235,0.0384631510565876
532743.78694287,4982193.9525786,0.201215823838114,0.924443576421503,0.0841192057007893,0,0.00347797051251235,0.0419411215691
529623.78694287,4985073.9525786,0.228635678923357,0.85719069139977,0.058026676687678,0,0.00341410370001438,0.0453552252691144
531543.78694287,4984353.9525786,0.214723196288525,0.774644405786655,0.040752637983984,0,0.00339943646325656,0.0487546617323709
531783.78694287,4984353.9525786,0.13939120016821,0.802072737330222,0.0288215955276406,0,0.00336601785348641,0.0521206795858574
529623.78694287,4984833.9525786,0.160182540059354,0.821471951499562,0.0297462810756937,0,0.00316039898555982,0.0552810785714172
529863.78694287,4983393.9525786,0.271508915198785,0.738778607645087,0.100391319834476,0.00287628455538581,0.00315998323721509,0.0584410618086323
530343.78694287,4983393.9525786,0.285112478195268,0.704054480404072,0.126677441151294,2.63730865758293e-05,0.00313395535325415,0.0615750171618864
531543.78694287,4984113.9525786,0.279765887009405,0.74293168994348,0.084509678932723,0,0.00305173893331555,0.064626756095202
530343.78694287,4982913.9525786,0.312850502009828,0.713451764630948,0.128686383293885,0.00120005082786058,0.00304390577186924,0.0676706618670712
531783.78694287,4983153.9525786,0.302762826793507,0.754567673291052,0.126270088253673,0,0.00296979306933685,0.070640454936408
529863.78694287,4984833.9525786,0.188180155027097,0.793022090386551,0.0403572172638317,0,0.00296921998127844,0.0736096749176865
531303.78694287,4984593.9525786,0.138312139555217,0.759384487205582,0.0223914323985643,0,0.00293110532503093,0.0765407802427174
530823.78694287,4985313.9525786,0.226159388968054,0.800357276684363,0.0315037161995499,0,0.00288361446415707,0.0794243947068745
530823.78694287,4982433.9525786,0.375850376838796,0.742483950119341,0.175406824171196,0,0.00286507039128715,0.0822894650981617
530103.78694287,4983633.9525786,0.247663525469838,0.703984233833423,0.102834098488094,3.33702399276603e-05,0.00284875194450143,0.0851382170426631
530103.78694287,4984593.9525786,0.104360576428013,0.763999096038242,0.0322143792278415,0,0.00280753744369355,0.0879457544863566
529863.78694287,4984113.9525786,0.122155210845361,0.744998383442587,0.0484454874150582,0,0.00280608835386713,0.0907518428402238
531543.78694287,4983393.9525786,0.302272008366111,0.725092343548561,0.142658788492088,0,0.00278956918514263,0.0935414120253664
532023.78694287,4983153.9525786,0.250813765853713,0.77353621689641,0.119967512114893,0,0.00277869250992251,0.096320104535289
531783.78694287,4983393.9525786,0.223336566404465,0.748634135856198,0.110109292604904,0,0.00277379328925336,0.0990938978245422
531303.78694287,4984113.9525786,0.287193523663183,0.706339135225193,0.0950486728215884,0,0.00271713784775149,0.101811035672294
531303.78694287,4984353.9525786,0.229463780868070,0.712874035825607,0.0462261606116895,0,0.00271470978738258,0.104525745459676
529863.78694287,4983633.9525786,0.212729092275714,0.712393470501164,0.083517038178844,0.000287467548642839,0.00270726367374377,0.10723300913342
531063.78694287,4984113.9525786,0.282309387025745,0.700946562035341,0.108720503559076,0,0.00269617935444395,0.109929188487864
531063.78694287,4982673.9525786,0.390330753659095,0.710131137020249,0.177093655727886,0,0.00267166981947799,0.112600858307342
532023.78694287,4983873.9525786,0.207140791512541,0.752397251210987,0.0658096868158178,0,0.00266158465268759,0.115262442960030
530103.78694287,4982913.9525786,0.351860084684677,0.700112137817627,0.134231498986401,0.00786197572069731,0.00265916860804126,0.117921611568071
531063.78694287,4983153.9525786,0.361764627899821,0.694923082729655,0.198994003356161,0,0.00264872388120642,0.120570335449277
530823.78694287,4984593.9525786,0.112973946543954,0.73184848802102,0.0291616916883604,0,0.00261484950902491,0.123185184958302
531063.78694287,4982913.9525786,0.385677227689805,0.688824104773272,0.180644933668312,0,0.00259356258582872,0.125778747544131
531303.78694287,4982913.9525786,0.412490342407514,0.700056334467111,0.193408551083228,0,0.00254797183299782,0.128326719377129
530103.78694287,4982673.9525786,0.394097600107536,0.71308214949753,0.153163324580654,0.0143564084140988,0.00254692957395254,0.130873648951081
531303.78694287,4983153.9525786,0.379867565349452,0.691257130855765,0.188537632520546,0,0.00250809083329182,0.133381739784373
530583.78694287,4984113.9525786,0.243376263502902,0.677811805931467,0.089796652151716,0,0.00249923130954218,0.135880971093915
529863.78694287,4983153.9525786,0.315692439361418,0.691904449721749,0.108006813832110,0.0098727215655557,0.00247993183529142,0.138360902929207
529863.78694287,4982673.9525786,0.400215565480173,0.74039821783006,0.162255032651225,0.0279840705772922,0.00247513988006186,0.140836042809269
529383.78694287,4983873.9525786,0.159219401386500,0.733428707605628,0.0387979144916938,0.000611897103099924,0.00245484533659089,0.143290888145859
532023.78694287,4984353.9525786,0.103676143696344,0.761608743106144,0.0230083841794216,0,0.00245405412339657,0.145744942269256
531543.78694287,4983633.9525786,0.288523542944454,0.699194336829142,0.133804385238778,0,0.00244453243590060,0.148189474705157
530583.78694287,4983393.9525786,0.307618599551974,0.645951375336927,0.158308363093518,0,0.00243287915856244,0.150622353863719
529863.78694287,4982913.9525786,0.370849701655156,0.706916864030534,0.139036412235673,0.0168877654603809,0.00243248055122298,0.153054834414942
