"x","y","forest240","rghasp240","wolfuse","Prob","CumProb"
532263.78694287,4984113.9525786,1,0.958683855788045,0.000377215223592191,0.0060537175229728,0.0060537175229728
530103.78694287,4984353.9525786,0.78125,0.913909873374123,0,0.00439720492326612,0.0104509224462389
532023.78694287,4984113.9525786,1,0.855791668576837,0,0.00437985420320057,0.0148307766494395
531543.78694287,4983873.9525786,1,0.805100561478213,0,0.00432494076109418,0.0191557174105337
530343.78694287,4984353.9525786,0.953125,0.822730481181196,0,0.00421820798329643,0.0233739253938301
530343.78694287,4984113.9525786,1,0.780380990219688,0,0.00412783794147529,0.0275017633353054
532743.78694287,4982193.9525786,1,0.924443576421503,0,0.0039934824088008,0.0314952457441062
529623.78694287,4985073.9525786,1,0.85719069139977,0,0.0036141511287901,0.0351093968728963
531543.78694287,4984353.9525786,1,0.774644405786655,0,0.00345254135380999,0.0385619382267063
529863.78694287,4983393.9525786,1,0.738778607645087,0.00287628455538581,0.00340862903981768,0.0419705672665239
529623.78694287,4984833.9525786,1,0.821471951499562,0,0.00340339269536535,0.0453739599618893
531783.78694287,4983153.9525786,1,0.754567673291052,0,0.00337185114811718,0.0487458111100065
530823.78694287,4982433.9525786,1,0.742483950119341,0,0.00335891193914105,0.0521047230491475
532023.78694287,4983153.9525786,1,0.77353621689641,0,0.00334712870107456,0.0554518517502221
531783.78694287,4983393.9525786,1,0.748634135856198,0,0.00332442900208855,0.0587762807523106
530343.78694287,4982913.9525786,1,0.713451764630948,0.00120005082786058,0.00332112102885448,0.0620974017811651
531543.78694287,4983393.9525786,1,0.725092343548561,0,0.00326933260893212,0.0653667343900972
529863.78694287,4984113.9525786,1,0.744998383442587,0,0.00325495397933778,0.068621688369435
530343.78694287,4983393.9525786,0.96875,0.704054480404072,2.63730865758293e-05,0.00324437083939293,0.071866059208828
531543.78694287,4984113.9525786,1,0.74293168994348,0,0.00322680869244368,0.0750928679012716
529863.78694287,4984833.9525786,1,0.793022090386551,0,0.00320650146475832,0.07829936936603
530103.78694287,4983633.9525786,1,0.703984233833423,3.33702399276603e-05,0.00318354738269143,0.0814829167487214
