"x","y","Prob","CumProb"
531063.78694287,4983633.9525786,0.00335480013215056,0.00335480013215056
531063.78694287,4983873.9525786,0.00322284779957959,0.00657764793173015
531303.78694287,4983633.9525786,0.00321877336423696,0.0097964212959671
531303.78694287,4983873.9525786,0.00313119930639269,0.0129276206023598
530823.78694287,4983633.9525786,0.00302204150253455,0.0159496621048943
531063.78694287,4983393.9525786,0.00301964560210499,0.0189693077069993
530823.78694287,4983873.9525786,0.00296574773651105,0.0219350554435104
531303.78694287,4983393.9525786,0.00296148696809420,0.0248965424116046
531063.78694287,4984113.9525786,0.00286701687720771,0.0277635592888123
531543.78694287,4983633.9525786,0.00286346445442465,0.0306270237432369
530823.78694287,4983393.9525786,0.00283862045884498,0.0334656442020819
531303.78694287,4984113.9525786,0.0028226635409203,0.0362883077430022
531543.78694287,4983873.9525786,0.00282101396852078,0.039109321711523
530823.78694287,4984113.9525786,0.00272356750516800,0.041832889216691
531543.78694287,4983393.9525786,0.00271935061849565,0.0445522398351867
530583.78694287,4983633.9525786,0.00266787404597032,0.047220113881157
531063.78694287,4983153.9525786,0.00266528472170284,0.0498853986028598
530583.78694287,4983873.9525786,0.00263635494722642,0.0525217535500862
531303.78694287,4983153.9525786,0.00263264801464134,0.0551544015647276
531543.78694287,4984113.9525786,0.00262221217451951,0.0577766137392471
530583.78694287,4983393.9525786,0.00255780364662229,0.0603344173858694
530823.78694287,4983153.9525786,0.00255669531710495,0.0628911127029743
531063.78694287,4984353.9525786,0.00252061244359514,0.0654117251465695
531783.78694287,4983633.9525786,0.00251745643204557,0.067929181578615
531303.78694287,4984353.9525786,0.00249383100902149,0.0704230125876365
531783.78694287,4983873.9525786,0.00249179985854750,0.072914812446184
530583.78694287,4984113.9525786,0.00247939260383191,0.075394205050016
531543.78694287,4983153.9525786,0.00247541284079365,0.0778696178908096
530823.78694287,4984353.9525786,0.00243039966588115,0.0803000175566907
531783.78694287,4983393.9525786,0.00242666750365027,0.082726685060341
531543.78694287,4984353.9525786,0.00236102289446343,0.0850877079548044
531783.78694287,4984113.9525786,0.00236016796071795,0.0874478759155224
530583.78694287,4983153.9525786,0.00235607431231253,0.0898039502278349
530343.78694287,4983633.9525786,0.00233604305334722,0.0921399932811821
531063.78694287,4982913.9525786,0.0023335607718147,0.0944735540529968
530343.78694287,4983873.9525786,0.00231569819767231,0.0967892522506691
531303.78694287,4982913.9525786,0.00231247373518187,0.099101725985851
530343.78694287,4983393.9525786,0.00226327958717168,0.101365005573023
530823.78694287,4982913.9525786,0.00226176784645849,0.103626773419481
530583.78694287,4984353.9525786,0.00225685020106516,0.105883623620546
531783.78694287,4983153.9525786,0.00225310603969604,0.108136729660242
530343.78694287,4984113.9525786,0.00220871950642671,0.110345449166669
531543.78694287,4982913.9525786,0.0022051905762704,0.112550639742940
531063.78694287,4984593.9525786,0.00220130393426067,0.114751943677200
532023.78694287,4983633.9525786,0.00219850509845202,0.116950448775652
531303.78694287,4984593.9525786,0.00218337170215179,0.119133820477804
532023.78694287,4983873.9525786,0.00218131721355123,0.121315137691355
531783.78694287,4984353.9525786,0.00216515331324394,0.123480291004599
530823.78694287,4984593.9525786,0.00213992594390338,0.125620216948503
532023.78694287,4983393.9525786,0.00213668070760545,0.127756897656108
530343.78694287,4983153.9525786,0.00211894874321242,0.129875846399320
530583.78694287,4982913.9525786,0.00211831500619790,0.131994161405518
531543.78694287,4984593.9525786,0.00209094362076775,0.134085105026286
532023.78694287,4984113.9525786,0.00208971883108783,0.136174823857374
530343.78694287,4984353.9525786,0.00204365630257981,0.138218480159954
531783.78694287,4982913.9525786,0.00204019040369125,0.140258670563645
530103.78694287,4983633.9525786,0.00203425393881558,0.142292924502461
531063.78694287,4982673.9525786,0.00203196773321985,0.144324892235680
530103.78694287,4983873.9525786,0.00202014201382383,0.146345034249504
531303.78694287,4982673.9525786,0.00201733327563957,0.148362367525144
530583.78694287,4984593.9525786,0.00201479564653084,0.150377163171675
532023.78694287,4983153.9525786,0.00201144785992691,0.152388611031602
530103.78694287,4983393.9525786,0.00198323358023573,0.154371844611837
530823.78694287,4982673.9525786,0.00198162034853436,0.156353464960372
531783.78694287,4984593.9525786,0.00194545779682535,0.158298922757197
532023.78694287,4984353.9525786,0.00194494358487882,0.160243866342076
530103.78694287,4984113.9525786,0.00194401707605643,0.162187883418132
531543.78694287,4982673.9525786,0.0019409418817493,0.164128825299882
530343.78694287,4982913.9525786,0.00193465512774094,0.166063480427622
531063.78694287,4984833.9525786,0.00191313827403653,0.167976618701659
532263.78694287,4983633.9525786,0.00191066811647427,0.169887286818133
531303.78694287,4984833.9525786,0.00190043755864413,0.171787724376777
532263.78694287,4983873.9525786,0.00189849078501700,0.173686215161794
530103.78694287,4983153.9525786,0.00187784331817401,0.175564058479968
530583.78694287,4982673.9525786,0.00187689548196536,0.177440953961934
530823.78694287,4984833.9525786,0.00186932152551183,0.179310275487446
532263.78694287,4983393.9525786,0.00186651022190527,0.181176785709351
530343.78694287,4984593.9525786,0.00185066405769284,0.183027449767044
532023.78694287,4982913.9525786,0.00184745793439277,0.184874907701436
531543.78694287,4984833.9525786,0.00183367674389619,0.186708584445333
532263.78694287,4984113.9525786,0.00183232907260971,0.188540913517942
530103.78694287,4984353.9525786,0.00182088609710278,0.190361799615045
531783.78694287,4982673.9525786,0.00181779303904684,0.192179592654092
530583.78694287,4984833.9525786,0.00177714562538720,0.193956738279479
532263.78694287,4983153.9525786,0.00177421198516351,0.195730950264643
532023.78694287,4984593.9525786,0.00177148390530451,0.197502434169947
529863.78694287,4983633.9525786,0.00176395534875407,0.199266389518701
531063.78694287,4982433.9525786,0.00176189213297933,0.201028281651681
529863.78694287,4983873.9525786,0.00175374486560402,0.202782026517285
531303.78694287,4982433.9525786,0.00175130016014406,0.204533326677429
530103.78694287,4982913.9525786,0.00173630246182027,0.206269629139249
530343.78694287,4982673.9525786,0.00173590308862208,0.208005532227871
529863.78694287,4983393.9525786,0.00172682328949619,0.209732355517367
530823.78694287,4982433.9525786,0.00172524532783984,0.211457600845207
531783.78694287,4984833.9525786,0.00172456436359151,0.213182165208799
532263.78694287,4984353.9525786,0.00172377717850846,0.214905942387307
529863.78694287,4984113.9525786,0.00169788398414071,0.216603826371448
531543.78694287,4982433.9525786,0.00169522053261115,0.218299046904059
530103.78694287,4984593.9525786,0.00166956972856366,0.219968616632623
