f111	x	y	elev240	slope240	forest240	dtree240	dhigh240	descape240	rghasp240	amuse	elkuse	wolfuse	road240
1	525303.78694287	5000913.9525786	2672.156	24.20313	55	6.123982	57.51356	6.123982	1.009721	0.006799981	15813.77	0	0
1	525543.78694287	5000913.9525786	2668.266	16.73438	64	0	121.1311	0	0.9673042	0.00382435	18670.74	0	0
1	525783.78694287	5000913.9525786	2734.688	19.375	64	0	69.68967	0	0.9880276	0.00257264	18383.9	0	0
1	526023.78694287	5000913.9525786	2815.625	23.46875	64	0	18.54307	0	1.028028	0.00140116	17498.55	0	0
1	526263.78694287	5000913.9525786	2923.563	28.40625	37	26.83431	27.57582	26.83431	1.088081	0.0007280635	17879.76	0	0
1	526503.78694287	5000913.9525786	2904.203	13.875	0	228.7138	168.1375	168.1375	0.8767309	0.0004905747	17522.4	0	0
1	526743.78694287	5000913.9525786	2898.891	12.5	0	454.6857	144.6195	144.6195	1.045027	0.0002993991	17811.76	0	0
1	526983.78694287	5000913.9525786	2885.078	12.4375	0	605.3062	214.0167	214.0167	0.8259563	0.0002417658	17668.43	0	0
1	527223.78694287	5000913.9525786	2875.906	11.48438	0	661.7363	104.5908	104.5908	0.8777321	0.0002324099	17453.54	0	0
1	527463.78694287	5000913.9525786	2924.281	20.1875	0	741.206	37.5131	37.5131	1.05475	0.0002426767	17081.67	0	0
1	527703.78694287	5000913.9525786	2965	27.125	0	768.4662	6.123982	6.123982	1.115912	0.0002564889	13608.68	0	0
1	527943.78694287	5000913.9525786	3056.203	29.8125	0	766.035	2.34375	2.34375	1.179333	0.0002800433	11032.46	0	0
1	528183.78694287	5000913.9525786	3084.438	29.71875	0	754.6677	1.875	1.875	1.331311	0.0003100271	8442.921	0	0
1	528423.78694287	5000913.9525786	2971.875	24.28125	0	592.2903	48.63078	48.63078	1.161645	0.0003310558	9240.226	0	0
1	528663.78694287	5000913.9525786	2907.547	19.46875	0	376.685	58.75237	58.75237	1.14549	0.0003389963	11301.9	0	0
1	528903.78694287	5000913.9525786	2902.047	21.98438	0	206.2184	33.42712	33.42712	1.090358	0.0003408591	12709.33	0	0
1	529143.78694287	5000913.9525786	2941.656	23.15625	0	189.1588	7.613738	7.613738	1.111434	0.0003305841	13349.45	0	0
1	529383.78694287	5000913.9525786	2940.938	25.04688	0	221.0001	9.160877	9.160877	1.167098	0.0003174774	15756.94	0	0
1	529623.78694287	5000913.9525786	2847.5	20.42188	0	182.3804	112.4273	112.4273	0.9457458	0.0002899335	17407.56	0	0
1	529863.78694287	5000913.9525786	2797.828	11.64063	0	154.0218	86.20525	86.20525	1.027975	0.0002553941	19355.96	0	0
1	530103.78694287	5000913.9525786	2749.016	15.09375	35	25.92404	80.4901	25.92404	0.9900772	0.000230027	19600.74	0	0
1	530343.78694287	5000913.9525786	2701.219	12.23438	46	12.40754	220.1921	12.40754	0.9035605	0.0001907963	19015.42	0	0
1	530583.78694287	5000913.9525786	2669.797	14.51563	13	53.6819	446.6981	53.6819	0.8037221	0.0001526469	20748.31	0	0
1	530823.78694287	5000913.9525786	2647.563	11.40625	59	2.8125	598.7226	2.8125	0.8672346	0.0001289416	20620.65	0	0
1	531063.78694287	5000913.9525786	2662.656	11.40625	47	11.61528	424.3391	11.61528	0.8232601	9.713812e-005	21295.82	0	0
1	531303.78694287	5000913.9525786	2720.563	13.3125	64	0	208.7075	0	0.8111777	7.058517e-005	20550.77	0	0
1	531543.78694287	5000913.9525786	2790.75	20.60938	64	0	26.43973	0	0.8097454	8.323902e-005	19384.24	0	0
1	531783.78694287	5000913.9525786	2885.266	24.1875	39	23.34964	13.78791	13.78791	1.125213	8.540662e-005	17114.43	0	0
1	532023.78694287	5000913.9525786	2867	24.5	15	44.63587	18.64218	18.64218	1.219884	0.0001037242	15605.77	0	0
1	532263.78694287	5000913.9525786	2820.25	32.64063	0	160.3969	21.37861	21.37861	1.12608	0.0001080265	17052.49	0	0
1	532503.78694287	5000913.9525786	2752.266	16.65625	11	85.61648	123.8735	85.61648	0.9884608	0.0001693118	16848.83	0	0
1	532743.78694287	5000913.9525786	2782.453	11.23438	32	22.48004	79.6839	22.48004	0.8415858	0.0002559593	18741.59	0	0
1	532983.78694287	5000913.9525786	2832.875	16.0625	47	9.324807	29.56313	9.324807	0.9941047	0.0003304606	16735.69	0	0
1	533223.78694287	5000913.9525786	2909.422	18.46875	13	66.49809	52.47157	52.47157	1.075604	0.000470416	14567.63	0	0
1	533463.78694287	5000913.9525786	2941.078	14.92188	0	272.1045	18.72751	18.72751	1.121285	0.0006459093	11307.07	0	0
1	533703.78694287	5000913.9525786	2862.422	38.57813	0	199.0769	0.9375	0.9375	1.391554	0.0007820911	10465.31	0	0
1	533943.78694287	5000913.9525786	2756.344	23.57813	1	118.3664	18.3448	18.3448	1.155357	0.001011172	10239.55	0	0
