"x","y","descape240","elkuse","wolfuse","Prob","CumProb"
530583.78694287,4984353.9525786,0,0.0415752597603749,0,0.003024850597877,0.003024850597877
530823.78694287,4984353.9525786,0,0.0437194720514368,0,0.00300603913200593,0.00603088972988294
530343.78694287,4984113.9525786,0,0.0739236548029091,0,0.00292206662715821,0.00895295635704114
530103.78694287,4983873.9525786,0,0.0792145569096051,0,0.00291294952649194,0.0118659058835331
530343.78694287,4983873.9525786,0,0.0994001342241913,0,0.00290887157684396,0.0147747774603771
530103.78694287,4984113.9525786,0,0.0594843813341037,0,0.00290416178377475,0.0176789392441518
531063.78694287,4984353.9525786,0,0.048876122610178,0,0.00289828808324979,0.0205772273274016
530343.78694287,4984353.9525786,0.00118291554508748,0.0367430480172852,0,0.0028965881699469,0.0234738154973485
530583.78694287,4984113.9525786,0,0.089796652151716,0,0.00286563903243101,0.0263394545297795
530103.78694287,4984353.9525786,0.000788610363391655,0.0311251751450846,0,0.00285968167981714,0.0291991362095966
530583.78694287,4983873.9525786,0,0.117638991336253,0,0.00285368524019009,0.0320528214497867
529863.78694287,4983873.9525786,0,0.06356707771495,5.76429047618362e-06,0.00283655577401883,0.0348893772238055
530103.78694287,4983633.9525786,0,0.102834098488094,3.33702399276603e-05,0.00283417504897634,0.0377235522727819
530343.78694287,4983633.9525786,0,0.126406377002659,0,0.00283227503425017,0.0405558273070321
530343.78694287,4983393.9525786,0.000788610363391655,0.126677441151294,2.63730865758293e-05,0.00281741771101632,0.0433732450180484
530823.78694287,4984113.9525786,0,0.0957920474778664,0,0.00281650588788736,0.0461897509059357
529863.78694287,4984113.9525786,0,0.0484454874150582,0,0.00281280835968484,0.0490025592656206
530583.78694287,4984593.9525786,0.000788610363391655,0.0278776729812788,0,0.00280544235182323,0.0518080016174438
531303.78694287,4984353.9525786,0,0.0462261606116895,0,0.00280321884356484,0.0546112204610087
529623.78694287,4983873.9525786,0,0.0393138793071483,0.000159956645130821,0.00280010746710762,0.0574113279281163
530823.78694287,4984593.9525786,0.000788610363391655,0.0291616916883604,0,0.00279491400060929,0.0602062419287256
530103.78694287,4983393.9525786,0,0.112011776442180,0.000917896446513396,0.00278798579444490,0.0629942277231705
530823.78694287,4983873.9525786,0,0.126488417998472,0,0.00278181037801962,0.0657760381011901
529863.78694287,4983633.9525786,0,0.083517038178844,0.000287467548642839,0.00276645796602830,0.0685424960672184
531303.78694287,4984593.9525786,0,0.0223914323985643,0,0.00276310295343022,0.0713055990206486
530583.78694287,4983633.9525786,0,0.154411575858203,0,0.00273560035704437,0.074041199377693
529623.78694287,4983633.9525786,0,0.0591357289290529,0.00149316199688697,0.002705382661242,0.076746582038935
530583.78694287,4982913.9525786,0,0.136389127701397,3.98353638079715e-06,0.00269126791809448,0.0794378499570294
531543.78694287,4984353.9525786,0,0.040752637983984,0,0.00269053912280750,0.082128389079837
530343.78694287,4983153.9525786,0.00157722072678331,0.126236241613684,0.000457631306506398,0.00268920284026435,0.0848175919201013
530103.78694287,4983153.9525786,0,0.114682255965340,0.00415371972106592,0.00268161427648305,0.0874992061965843
531063.78694287,4984593.9525786,0.00197152590847914,0.0276892609887664,0,0.00265833303012582,0.0901575392267101
530823.78694287,4983393.9525786,0,0.176659120747935,0,0.00264998812465316,0.0928075273513633
530343.78694287,4982913.9525786,0,0.128686383293885,0.00120005082786058,0.00264844719420624,0.0954559745455695
531063.78694287,4984113.9525786,0,0.108720503559076,0,0.00264392533805403,0.0980998998836236
529623.78694287,4984113.9525786,0.00118291554508748,0.0315517068352702,0,0.00264185625569752,0.100741756139321
