"x","y","elev240","forest240","rghasp240","Prob","CumProb"
532263.78694287,4984113.9525786,0.180443598734971,1,0.958683855788045,0.00574741670333345,0.00574741670333345
530103.78694287,4984353.9525786,0.109803974766013,0.78125,0.913909873374123,0.00448784988516129,0.0102352665884947
532023.78694287,4984113.9525786,0.187900832479848,1,0.855791668576837,0.00426514831297918,0.0145004149014739
530343.78694287,4984353.9525786,0.170645728368997,0.953125,0.822730481181196,0.00420860989138435,0.0187090247928583
530343.78694287,4984113.9525786,0.235148272177316,1,0.780380990219688,0.00390049626225197,0.0226095210551102
531543.78694287,4983873.9525786,0.295922815719262,1,0.805100561478213,0.00378709166732077,0.026396612722431
532743.78694287,4982193.9525786,0.201215823838114,1,0.924443576421503,0.00377310394725440,0.0301697166696854
529863.78694287,4984113.9525786,0.122155210845361,1,0.744998383442587,0.00354124514111712,0.0337109618108025
529623.78694287,4984833.9525786,0.160182540059354,1,0.821471951499562,0.00347149465678373,0.0371824564675863
531303.78694287,4984593.9525786,0.138312139555217,1,0.759384487205582,0.00337931755321341,0.0405617740207997
529623.78694287,4985073.9525786,0.228635678923357,1,0.85719069139977,0.0033778628169727,0.0439396368377724
531543.78694287,4984353.9525786,0.214723196288525,1,0.774644405786655,0.0033543580169034,0.0472939948546758
531783.78694287,4983393.9525786,0.223336566404465,1,0.748634135856198,0.00322508741533643,0.0505190822700122
529863.78694287,4984833.9525786,0.188180155027097,1,0.793022090386551,0.00319856009745335,0.0537176423674656
529863.78694287,4983393.9525786,0.271508915198785,1,0.738778607645087,0.00318238882632461,0.0569000311937902
532023.78694287,4983153.9525786,0.250813765853713,1,0.77353621689641,0.00312627535137200,0.0600263065451622
529863.78694287,4983633.9525786,0.212729092275714,1,0.712393470501164,0.00306009974092142,0.0630864062860836
530103.78694287,4983633.9525786,0.247663525469838,1,0.703984233833423,0.00304874913287907,0.0661351554189627
530103.78694287,4984593.9525786,0.104360576428013,0.90625,0.763999096038242,0.00303409481416228,0.069169250233125
531783.78694287,4983153.9525786,0.302762826793507,1,0.754567673291052,0.00298708701328336,0.0721563372464083
532023.78694287,4983873.9525786,0.207140791512541,1,0.752397251210987,0.00297740288760303,0.0751337401340113
530343.78694287,4983393.9525786,0.285112478195268,0.96875,0.704054480404072,0.00297056818350457,0.0781043083175159
530343.78694287,4982913.9525786,0.312850502009828,1,0.713451764630948,0.00296220566817384,0.0810665139856898
531543.78694287,4984113.9525786,0.279765887009405,1,0.74293168994348,0.00294545667949487,0.0840119706651846
529383.78694287,4983873.9525786,0.159219401386500,1,0.733428707605628,0.00293486260082292,0.0869468332660075
