"x","y","elev240","slope240","forest240","Prob","CumProb"
532263.78694287,4984113.9525786,0.180443598734971,0.97591672178289,1,0.00440540831924964,0.00440540831924964
531543.78694287,4984353.9525786,0.214723196288525,0.863048281811646,1,0.00422625667495463,0.00863166499420426
531303.78694287,4984593.9525786,0.138312139555217,0.804097886412653,1,0.00401518004278913,0.0126468450369934
531783.78694287,4983153.9525786,0.302762826793507,0.8274622573688,1,0.00388867085148268,0.0165355158884761
531543.78694287,4983393.9525786,0.302272008366111,0.766355140186916,1,0.00386451809335424,0.0204000339818303
529623.78694287,4984833.9525786,0.160182540059354,0.853702487419123,1,0.00353399919419952,0.0239340331760298
531063.78694287,4984113.9525786,0.282309387025745,0.682242990654206,1,0.00346731969921413,0.0274013528752440
529863.78694287,4984113.9525786,0.122155210845361,0.643781567217829,1,0.00340496165799081,0.0308063145332348
530583.78694287,4985073.9525786,0.168525836719014,0.797627721063983,1,0.00335232747647827,0.0341586420097130
530103.78694287,4984353.9525786,0.109803974766013,0.836448713156003,0.78125,0.00332727103563561,0.0374859130453487
531063.78694287,4984593.9525786,0.130431297443983,0.753414809489576,0.90625,0.00330864900793230,0.0407945620532810
530103.78694287,4984113.9525786,0.184182081304442,0.613227893601725,1,0.0032402342990715,0.0440347963523525
529143.78694287,4984113.9525786,0.137030832153047,0.761682358015816,1,0.00320101266475005,0.0472358090171025
531543.78694287,4983633.9525786,0.288523542944454,0.650970639827462,1,0.00318736226949819,0.0504231712866007
530583.78694287,4984593.9525786,0.11083494010597,0.649173256649892,0.96875,0.00318375362906505,0.0536069249156658
530343.78694287,4984353.9525786,0.170645728368997,0.622214349388929,0.953125,0.00299581930844662,0.0566027442241124
532023.78694287,4984113.9525786,0.187900832479848,0.694105075485262,1,0.00297288468484366,0.059575628908956
529863.78694287,4984833.9525786,0.188180155027097,0.731488253055356,1,0.00296216456977535,0.0625377934787314
530823.78694287,4985073.9525786,0.137609208641611,0.705966930265996,1,0.0029582796054597,0.0654960730841911
529383.78694287,4985073.9525786,0.148727232591823,0.82925964054637,1,0.00295188904024688,0.068447962124438
530823.78694287,4984113.9525786,0.259523326515726,0.557872034507549,1,0.00294669673226924,0.0713946588567072
530343.78694287,4984833.9525786,0.126654585298508,0.646657196261682,1,0.00293976742397985,0.0743344262806871
530103.78694287,4982913.9525786,0.351860084684677,0.618979151689432,1,0.00293950396698421,0.0772739302476713
530343.78694287,4984113.9525786,0.235148272177316,0.553918159597412,1,0.00292239635350693,0.0801963266011782
531783.78694287,4984833.9525786,0.133591403524890,0.723220704529116,1,0.0029072370566836,0.0831035636578618
529863.78694287,4983393.9525786,0.271508915198785,0.578361006470165,1,0.00289940366759032,0.0860029673254521
530343.78694287,4985073.9525786,0.19787258575603,0.765636232925953,0.96875,0.00289386641126031,0.0888968337367124
530103.78694287,4983153.9525786,0.29795576591414,0.554637066858375,1,0.00289308603139586,0.0917899197681083
530823.78694287,4985313.9525786,0.226159388968054,0.801941164629763,1,0.00287887961625438,0.0946687993843627
532023.78694287,4982913.9525786,0.316357140699022,0.726096333572969,1,0.00287837154343998,0.0975471709278026
531783.78694287,4983393.9525786,0.223336566404465,0.594536304816679,1,0.00286246868528992,0.100409639613093
531303.78694287,4985073.9525786,0.143486081043001,0.712437095614666,1,0.00284883566841922,0.103258475281512
530823.78694287,4984593.9525786,0.112973946543954,0.683680805176132,0.859375,0.00282508333618193,0.106083558617694
529623.78694287,4984113.9525786,0.101759115441604,0.607117296908699,0.953125,0.00281215371816502,0.108895712335859
530103.78694287,4984593.9525786,0.104360576428013,0.660675772825306,0.90625,0.00280180501788156,0.111697517353740
528903.78694287,4984593.9525786,0.160596899334744,0.810568051761323,1,0.00279115390221523,0.114488671255956
529863.78694287,4984593.9525786,0.100256446462254,0.580517728253055,1,0.00271754314608766,0.117206214402043
529383.78694287,4983873.9525786,0.159219401386500,0.598849748382459,1,0.00270956250304424,0.119915776905087
528903.78694287,4984353.9525786,0.181060204799538,0.77138749101366,1,0.00270795537603783,0.122623732281125
530823.78694287,4984353.9525786,0.196764544658002,0.515456506110712,1,0.00268532803350586,0.125309060314631
530103.78694287,4983633.9525786,0.247663525469838,0.474119453630482,1,0.00265543484747091,0.127964495162102
528903.78694287,4984833.9525786,0.137657303914647,0.80158159597412,1,0.00263294193654714,0.130597437098649
530343.78694287,4982913.9525786,0.312850502009828,0.498562300503235,1,0.00262925530111770,0.133226692399767
530583.78694287,4984113.9525786,0.243376263502902,0.479870711718188,1,0.0026236998143407,0.135850392214108
531063.78694287,4985073.9525786,0.131192189327659,0.639108554996406,1,0.00262034601548734,0.138470738229595
529863.78694287,4983873.9525786,0.175087141852075,0.487419122933142,1,0.00261273621524363,0.141083474444839
531303.78694287,4984113.9525786,0.287193523663183,0.544572365204889,1,0.00261073377984309,0.143694208224682
529623.78694287,4985073.9525786,0.228635678923357,0.760603882099209,1,0.00259150187641014,0.146285710101092
529623.78694287,4983633.9525786,0.217035469030652,0.536304816678648,1,0.00258769708670864,0.148873407187800
532263.78694287,4982433.9525786,0.274071530003126,0.744787922358016,1,0.00258509692086095,0.151458504108661
530103.78694287,4983393.9525786,0.251199144644067,0.451473759884975,1,0.00258222083490784,0.154040724943569
530583.78694287,4984353.9525786,0.18917289079105,0.487419122933142,1,0.00258013901419692,0.156620863957766
530103.78694287,4983873.9525786,0.218818077163316,0.461179122933142,1,0.00256836396878722,0.159189227926553
531063.78694287,4984353.9525786,0.213383927916285,0.510783723939612,1,0.00256683608665814,0.161756064013211
531543.78694287,4983873.9525786,0.295922815719262,0.546369518332135,1,0.00256672970592679,0.164322793719138
531303.78694287,4984353.9525786,0.229463780868070,0.537023723939612,1,0.0025383986491145,0.166861192368253
529143.78694287,4985313.9525786,0.128600594038283,0.85118619698059,0.96875,0.00253788188712114,0.169399074255374
529863.78694287,4983633.9525786,0.212729092275714,0.471962731847592,1,0.00253596323064222,0.171935037486016
531543.78694287,4983153.9525786,0.351542532561425,0.543493889288282,1,0.00249741959195495,0.174432457077971
532023.78694287,4983153.9525786,0.250813765853713,0.576204284687275,1,0.00244228957158120,0.176874746649552
529143.78694287,4984353.9525786,0.0930304399915895,0.604601006470165,1,0.00243970014746028,0.179314446797013
529863.78694287,4982913.9525786,0.370849701655156,0.558950510424155,1,0.00243366664468562,0.181748113441698
