"x","y","elev240","descape240","rghasp240","Prob","CumProb"
530103.78694287,4984353.9525786,0.109803974766013,0.000788610363391655,0.913909873374123,0.00513301762334666,0.00513301762334666
532263.78694287,4984113.9525786,0.180443598734971,0,0.958683855788045,0.00436496413149437,0.00949798175484104
530343.78694287,4984353.9525786,0.170645728368997,0.00118291554508748,0.822730481181196,0.00381562932480002,0.0133136110796411
530343.78694287,4984113.9525786,0.235148272177316,0,0.780380990219688,0.00353424693782457,0.0168478580174656
532023.78694287,4984113.9525786,0.187900832479848,0,0.855791668576837,0.00351339957159414,0.0203612575890598
531543.78694287,4983873.9525786,0.295922815719262,0,0.805100561478213,0.00337243079561636,0.0237336883846761
530343.78694287,4984593.9525786,0.0946780113961133,0.00814510430686407,0.829277198961719,0.00320070776988266,0.0269343961545588
529863.78694287,4984113.9525786,0.122155210845361,0,0.744998383442587,0.00318031958702843,0.0301147157415872
530343.78694287,4983393.9525786,0.285112478195268,0.000788610363391655,0.704054480404072,0.00302831111114603,0.0331430268527333
531303.78694287,4984593.9525786,0.138312139555217,0,0.759384487205582,0.0029753958347446,0.0361184226874778
529863.78694287,4983393.9525786,0.271508915198785,0,0.738778607645087,0.00297434352735244,0.0390927662148303
531543.78694287,4984353.9525786,0.214723196288525,0,0.774644405786655,0.00296507998033017,0.0420578461951605
530103.78694287,4983633.9525786,0.247663525469838,0,0.703984233833423,0.00294008350153269,0.0449979296966931
531783.78694287,4983393.9525786,0.223336566404465,0,0.748634135856198,0.00293433618882652,0.0479322658855197
530103.78694287,4984593.9525786,0.104360576428013,0.00252915797442799,0.763999096038242,0.00292051281286242,0.0508527786983821
530823.78694287,4984593.9525786,0.112973946543954,0.000788610363391655,0.73184848802102,0.00291145803382709,0.0537642367322092
529863.78694287,4983633.9525786,0.212729092275714,0,0.712393470501164,0.00288217391853898,0.0566464106507482
529623.78694287,4984833.9525786,0.160182540059354,0,0.821471951499562,0.00287405389851688,0.059520464549265
530343.78694287,4982913.9525786,0.312850502009828,0,0.713451764630948,0.00287093795341879,0.0623914025026838
532743.78694287,4982193.9525786,0.201215823838114,0,0.924443576421503,0.00285583544750778,0.0652472379501916
531543.78694287,4983393.9525786,0.302272008366111,0,0.725092343548561,0.00277076567290416,0.0680180036230958
532023.78694287,4983153.9525786,0.250813765853713,0,0.77353621689641,0.00276916366873846,0.0707871672918342
530583.78694287,4984593.9525786,0.11083494010597,0.000788610363391655,0.713375609470243,0.00276352515935030,0.0735506924511845
531783.78694287,4983153.9525786,0.302762826793507,0,0.754567673291052,0.00273362912237524,0.0762843215735598
529623.78694287,4985073.9525786,0.228635678923357,0,0.85719069139977,0.00273148026694696,0.0790158018405067
531783.78694287,4984113.9525786,0.204491235253095,0.0115305265814266,0.848064545805402,0.00272840926445053,0.0817442111049573
529863.78694287,4984833.9525786,0.188180155027097,0,0.793022090386551,0.00272776664974631,0.0844719777547036
531543.78694287,4984113.9525786,0.279765887009405,0,0.74293168994348,0.00270899939554717,0.0871809771502508
531063.78694287,4984113.9525786,0.282309387025745,0,0.700946562035341,0.00267159285321478,0.0898525700034655
530583.78694287,4984113.9525786,0.243376263502902,0,0.677811805931467,0.00266192401990446,0.09251449402337
532023.78694287,4983873.9525786,0.207140791512541,0,0.752397251210987,0.00265068247437920,0.0951651764977492
531783.78694287,4984353.9525786,0.13939120016821,0.00775079912516824,0.802072737330222,0.00263820930041271,0.097803385798162
529383.78694287,4984113.9525786,0.080380149970927,0.00197152590847914,0.739037929097484,0.00263207763861715,0.100435463436779
529383.78694287,4983873.9525786,0.159219401386500,0,0.733428707605628,0.00262878883620117,0.103064252272980
529863.78694287,4983873.9525786,0.175087141852075,0,0.677208473235889,0.002606883785911,0.105671136058891
530583.78694287,4983873.9525786,0.280497798408046,0,0.654659980567435,0.00258737007114497,0.108258506130036
530823.78694287,4982433.9525786,0.375850376838796,0,0.742483950119341,0.00258434339866185,0.110842849528698
531303.78694287,4984353.9525786,0.229463780868070,0,0.712874035825607,0.00258061069113725,0.113423460219835
531303.78694287,4984113.9525786,0.287193523663183,0,0.706339135225193,0.00257499175979016,0.115998451979625
531543.78694287,4983633.9525786,0.288523542944454,0,0.699194336829142,0.00257320843377871,0.118571660413404
530823.78694287,4983393.9525786,0.329440904783075,0,0.634755910203428,0.00255883669571781,0.121130497109122
530343.78694287,4983633.9525786,0.275410798375366,0,0.641121431222275,0.00254329584987064,0.123673792958993
531063.78694287,4984593.9525786,0.130431297443983,0.00197152590847914,0.707235271383478,0.00253384863632897,0.126207641595322
529623.78694287,4984113.9525786,0.101759115441604,0.00118291554508748,0.696246606901891,0.00252652773041858,0.128734169325740
530103.78694287,4982913.9525786,0.351860084684677,0,0.700112137817627,0.00251266810291402,0.131246837428654
530823.78694287,4985073.9525786,0.137609208641611,0,0.750697546805274,0.00251216048045250,0.133758997909107
530583.78694287,4983393.9525786,0.307618599551974,0.00292346315612382,0.645951375336927,0.0025048821849412,0.136263880094048
530103.78694287,4983393.9525786,0.251199144644067,0,0.645077560518848,0.00249910822768590,0.138762988321734
529623.78694287,4983633.9525786,0.217035469030652,0,0.694230464673252,0.00249404901718814,0.141257037338922
531303.78694287,4983153.9525786,0.379867565349452,0,0.691257130855765,0.00248317608953328,0.143740213428455
530823.78694287,4983873.9525786,0.310653534601774,0,0.65041695639821,0.00248086559292853,0.146221079021384
530103.78694287,4984113.9525786,0.184182081304442,0,0.658336436601423,0.00247360056836934,0.148694679589753
530343.78694287,4983153.9525786,0.276865372081680,0.00157722072678331,0.644847782016724,0.00245836691631514,0.151153046506068
531063.78694287,4983153.9525786,0.361764627899821,0.00410637786002692,0.694923082729655,0.00245414645663405,0.153607192962702
529863.78694287,4983153.9525786,0.315692439361418,0,0.691904449721749,0.00245047911076495,0.156057672073467
531783.78694287,4984833.9525786,0.133591403524890,0,0.756728247721026,0.00243720270382709,0.158494874777294
530823.78694287,4984113.9525786,0.259523326515726,0,0.652859173620787,0.00243472877382120,0.160929603551116
530343.78694287,4984833.9525786,0.126654585298508,0,0.704160835025056,0.00241278223063682,0.163342385781752
530823.78694287,4985313.9525786,0.226159388968054,0,0.800357276684363,0.00239658461171671,0.165738970393469
529863.78694287,4982673.9525786,0.400215565480173,0,0.74039821783006,0.00238255880167370,0.168121529195143
532023.78694287,4984353.9525786,0.103676143696344,0.00545262028936743,0.761608743106144,0.00237680456208746,0.170498333757230
530103.78694287,4982673.9525786,0.394097600107536,0,0.71308214949753,0.00235686888805396,0.172855202645284
531783.78694287,4983633.9525786,0.207873319517247,0.00197152590847914,0.689045348645318,0.00235312864364833,0.175208331288933
529863.78694287,4982913.9525786,0.370849701655156,0,0.706916864030534,0.00234332268186363,0.177551653970796
532263.78694287,4982913.9525786,0.264736114185578,0,0.761585108745926,0.00233261398221231,0.179884267953008
531063.78694287,4983393.9525786,0.351041231830931,0,0.630025099099693,0.00233032783009104,0.182214595783100
530823.78694287,4983633.9525786,0.320837400364168,0,0.608469971721422,0.00231282300035884,0.184527418783458
530103.78694287,4983153.9525786,0.29795576591414,0,0.639354762795943,0.0023104420991151,0.186837860882573
530583.78694287,4982913.9525786,0.312378181764369,0,0.62695919737135,0.00230123165937699,0.189139092541950
531303.78694287,4983873.9525786,0.326319644884235,0,0.660589578942252,0.00230020724956024,0.191439299791511
531063.78694287,4983873.9525786,0.340568794430321,0,0.645682862744444,0.00229808796013784,0.193737387751649
532503.78694287,4982193.9525786,0.197169038236359,0,0.815756375386723,0.00229505343572078,0.196032441187369
531543.78694287,4983153.9525786,0.351542532561425,0,0.674921192374744,0.00224958669263274,0.198282027880002
529383.78694287,4985073.9525786,0.148727232591823,0,0.781490492129945,0.00221545763784153,0.200497485517844
529863.78694287,4982433.9525786,0.372131009057326,0,0.726318704239899,0.00219669045975537,0.202694175977599
529623.78694287,4983873.9525786,0.160259615817425,0,0.641283589193774,0.00219193460106416,0.204886110578663
532023.78694287,4983633.9525786,0.215156670351916,0,0.681093699451807,0.00218743493144117,0.207073545510104
530103.78694287,4984833.9525786,0.167938211139482,0,0.693609406207511,0.00217560847647870,0.209249153986583
530103.78694287,4983873.9525786,0.218818077163316,0,0.605451535666518,0.00217340999722334,0.211422563983806
530103.78694287,4982433.9525786,0.420708468036067,0,0.719260565164648,0.00217139931031364,0.21359396329412
531063.78694287,4984353.9525786,0.213383927916285,0,0.634392203660066,0.00216883945379055,0.215762802747910
529863.78694287,4985073.9525786,0.257702488807058,0,0.769639173500383,0.00216705744533124,0.217929860193242
530823.78694287,4984353.9525786,0.196764544658002,0,0.620554023148136,0.00216316547076906,0.220093025664011
532743.78694287,4982673.9525786,0.141694223819369,0,0.773260482693861,0.00213984269052555,0.222232868354536
530343.78694287,4983873.9525786,0.249060754812148,0,0.590704285749184,0.00213848596007014,0.224371354314606
532023.78694287,4983393.9525786,0.237489525404478,0,0.676450860688885,0.00212875104877332,0.226500105363380
532263.78694287,4982433.9525786,0.274071530003126,0,0.761895637978797,0.00211704900132144,0.228617154364701
532263.78694287,4983873.9525786,0.220176460323558,0,0.710880214937174,0.00210310327303638,0.230720257637738
532503.78694287,4982673.9525786,0.218789096678281,0,0.755520269309858,0.00209042675694374,0.232810684394681
529623.78694287,4984593.9525786,0.0861706975232784,0,0.660782592884037,0.00208910722875794,0.234899791623439
531303.78694287,4985073.9525786,0.143486081043001,0,0.70476810678067,0.00208798403047328,0.236987775653913
531303.78694287,4983633.9525786,0.344682790093114,0,0.619914385449223,0.00208770417095779,0.239075479824870
530583.78694287,4983633.9525786,0.298369508583465,0,0.565303979265366,0.00208278260614005,0.241158262431010
530823.78694287,4982673.9525786,0.343941012997439,0.00134624242934051,0.636686706131278,0.00205375640049487,0.243212018831505
531303.78694287,4983393.9525786,0.355723738285255,0,0.609719835470977,0.00203279564802701,0.245244814479532
531783.78694287,4982913.9525786,0.368508448427994,0,0.685483125352386,0.00203062761605233,0.247275442095585
532023.78694287,4982913.9525786,0.316357140699022,0,0.698671098354305,0.00203007966939557,0.24930552176498
529623.78694287,4985313.9525786,0.285305475893478,0,0.807014944655911,0.00202637968531508,0.251331901450295
532743.78694287,4982433.9525786,0.156704265249130,0,0.774482247815156,0.00202607685023763,0.253357978300533
530583.78694287,4982673.9525786,0.349981902612005,0,0.621234955326431,0.00202060205224144,0.255378580352774
531783.78694287,4985073.9525786,0.196986522841247,0,0.74391054636253,0.00201829866958008,0.257396879022354
530343.78694287,4982673.9525786,0.370984738383296,0,0.636332847238006,0.00201683827146377,0.259413717293818
532263.78694287,4982673.9525786,0.28017962967873,0,0.727561477681388,0.00200158959067155,0.26141530688449
528663.78694287,4985073.9525786,0.148293758528433,0,0.830135257539651,0.00200030095544724,0.263415607839937
532263.78694287,4983393.9525786,0.230870875907413,0,0.683341589712588,0.00197795836093566,0.265393566200873
529863.78694287,4982193.9525786,0.384983545867167,0.000394305181695828,0.724381999721994,0.00197453287030353,0.267368099071176
532743.78694287,4982913.9525786,0.131857507271327,0.00174054761103634,0.746800503409247,0.00197275775208256,0.269340856823259
529623.78694287,4983393.9525786,0.260265720217465,0,0.62341771979461,0.00196017974973997,0.271301036572999
531063.78694287,4983633.9525786,0.353276428814988,0,0.577918622078984,0.00195664990567468,0.273257686478673
529623.78694287,4983153.9525786,0.287694824393676,0,0.633624086952965,0.00194540647801731,0.275203092956691
530583.78694287,4984353.9525786,0.18917289079105,0,0.581240694011696,0.00194156094408723,0.277144653900778
529383.78694287,4983393.9525786,0.227334640127119,0,0.633379208720701,0.00189565253896760,0.279040306439746
530343.78694287,4985073.9525786,0.19787258575603,0,0.675919087583969,0.00187334485382381,0.280913651293569
529143.78694287,4984113.9525786,0.137030832153047,0,0.655074238381265,0.00186666649615337,0.282780317789723
530103.78694287,4982193.9525786,0.422519440047701,0.00236583109017497,0.717804425971187,0.00186635370108966,0.284646671490812
529383.78694287,4983633.9525786,0.202815299969601,0,0.621099386010177,0.00185731908041444,0.286503990571227
532503.78694287,4983873.9525786,0.168150323625693,0,0.685737851234741,0.00185557541182866,0.288359565983055
530823.78694287,4982913.9525786,0.332273593043697,0.0038051564602961,0.5933777914469,0.00185226750411868,0.290211833487174
532263.78694287,4983153.9525786,0.245534384728888,0,0.667832197329208,0.00184742775923560,0.292059261246410
532023.78694287,4982673.9525786,0.350954906981892,0,0.689678880801174,0.00183301006396795,0.293892271310378
532263.78694287,4981953.9525786,0.219251551226707,0,0.739517181401915,0.00182870259505696,0.295720973905435
529863.78694287,4985313.9525786,0.327726123317513,0.000394305181695828,0.772270465604709,0.00182744702140578,0.297548420926840
529383.78694287,4985313.9525786,0.210079536016269,0,0.767261950768407,0.00182587568898722,0.299374296615828
533463.78694287,4982433.9525786,0.134786386078022,0,0.843060626539142,0.00181880174045736,0.301193098356285
530823.78694287,4985553.9525786,0.312792541039758,0,0.772091894883058,0.00181423175180432,0.303007330108089
529863.78694287,4984593.9525786,0.100256446462254,0,0.594450791400819,0.00180731197292869,0.304814642081018
529383.78694287,4982913.9525786,0.290854930474583,0,0.649712521161697,0.00180351820359076,0.306618160284609
532503.78694287,4982433.9525786,0.198903551095986,0,0.714302601598813,0.00180164049049176,0.308419800775101
529623.78694287,4982673.9525786,0.336821062769881,0,0.646900688805703,0.00178528655698806,0.310205087332089
529623.78694287,4982913.9525786,0.328092387319866,0,0.626758961819498,0.00177855105811014,0.311983638390199
528663.78694287,4984113.9525786,0.277810012572598,0.00348109438088829,0.784691634919539,0.00177613400416168,0.313759772394360
532503.78694287,4982913.9525786,0.218364871705859,0,0.686870987505216,0.00176950728852209,0.315529279682883
531063.78694287,4982433.9525786,0.420265128275643,0.00765512449528937,0.702560263630259,0.00176554557755026,0.317294825260433
528903.78694287,4985553.9525786,0.134545293106776,0,0.810942187512217,0.00176060500171290,0.319055430262146
532743.78694287,4983153.9525786,0.114707842797517,0.00630888290713324,0.735257744482537,0.00175668403704625,0.320812114299192
532503.78694287,4983393.9525786,0.197651224178850,0,0.667521011586331,0.00175614420320706,0.322568258502399
528423.78694287,4985073.9525786,0.196649239323928,0,0.833383012539676,0.00175070381598087,0.32431896231838
528903.78694287,4984833.9525786,0.137657303914647,0,0.723218007481233,0.00174109773017606,0.326060060048556
528663.78694287,4984353.9525786,0.276528705170427,0,0.761089443691344,0.00173982984264508,0.327799889891201
532023.78694287,4984593.9525786,0.124458234496520,0.000394305181695828,0.639255629785026,0.00173469495401425,0.329534584845215
530583.78694287,4985073.9525786,0.168525836719014,0,0.63465874672253,0.00173308766160444,0.33126767250682
531783.78694287,4981953.9525786,0.309902508415131,0,0.700501448251226,0.00172961992334875,0.332997292430168
531063.78694287,4985073.9525786,0.131192189327659,0,0.624562935849197,0.00171883500393038,0.334716127434099
529863.78694287,4984353.9525786,0.0705915286959213,0.00607790376850606,0.592864925830158,0.00170895100622536,0.336425078440324
531063.78694287,4982193.9525786,0.431441113195925,0.00157722072678331,0.671071417699154,0.00170557294944135,0.338130651389766
530583.78694287,4985313.9525786,0.261941655500958,0,0.696451438023785,0.00170526652599257,0.339835917915758
529623.78694287,4984353.9525786,0.0694545071128592,0.00552027254374159,0.608493606081641,0.00169507692954256,0.341530994845301
529143.78694287,4985313.9525786,0.128600594038283,0,0.738443787541991,0.00169367302746503,0.343224667872766
528183.78694287,4984353.9525786,0.274090644791128,0.00315444145356662,0.851359569525864,0.00168714250433677,0.344911810377103
532503.78694287,4984113.9525786,0.108908046154197,0.00640455753701211,0.701148110607204,0.00168400378394689,0.346595814161049
529383.78694287,4984833.9525786,0.086873628436885,0.00157722072678331,0.652454106947042,0.00168212435474423,0.348277938515794
