"x","y","descape240","elkuse","Prob","CumProb"
530583.78694287,4984353.9525786,0,0.0415752597603749,0.00291705777135525,0.00291705777135525
530823.78694287,4984353.9525786,0,0.0437194720514368,0.00289815330387244,0.0058152110752277
530343.78694287,4984113.9525786,0,0.0739236548029091,0.00281608610120471,0.0086312971764324
530103.78694287,4983873.9525786,0,0.0792145569096051,0.00280747723833425,0.0114387744147667
530343.78694287,4983873.9525786,0,0.0994001342241913,0.00280638149453666,0.0142451559093033
530103.78694287,4984113.9525786,0,0.0594843813341037,0.00279653094205714,0.0170416868513605
530343.78694287,4984353.9525786,0.00118291554508748,0.0367430480172852,0.00279066188210025,0.0198323487334607
531063.78694287,4984353.9525786,0,0.048876122610178,0.00278967500236177,0.0226220237358225
530583.78694287,4984113.9525786,0,0.089796652151716,0.00276068236218503,0.0253827060980075
530583.78694287,4983873.9525786,0,0.117638991336253,0.00275331850292997,0.0281360246009375
530103.78694287,4984353.9525786,0.000788610363391655,0.0311251751450846,0.00275216348736012,0.0308881880882976
530343.78694287,4983633.9525786,0,0.126406377002659,0.00273330562638609,0.0336214937146837
530103.78694287,4983633.9525786,0,0.102834098488094,0.00273101254685450,0.0363525062615382
529863.78694287,4983873.9525786,0,0.06356707771495,0.00272865182171954,0.0390811580832577
530343.78694287,4983393.9525786,0.000788610363391655,0.126677441151294,0.00272214146136420,0.0418032995446219
530823.78694287,4984113.9525786,0,0.0957920474778664,0.00271143946791099,0.0445147390125329
529863.78694287,4984113.9525786,0,0.0484454874150582,0.00270379038773003,0.0472185294002629
530583.78694287,4984593.9525786,0.000788610363391655,0.0278776729812788,0.0026975392681472,0.0499160686684101
530103.78694287,4983393.9525786,0,0.112011776442180,0.00269715703526224,0.0526132257036724
531303.78694287,4984353.9525786,0,0.0462261606116895,0.00269385800082664,0.055307083704499
529623.78694287,4983873.9525786,0,0.0393138793071483,0.00269280218338398,0.057999885887883
530823.78694287,4984593.9525786,0.000788610363391655,0.0291616916883604,0.00268697896608205,0.060686864853965
530823.78694287,4983873.9525786,0,0.126488417998472,0.00268119026821968,0.0633680551221847
529863.78694287,4983633.9525786,0,0.083517038178844,0.00266319427071959,0.0660312493929043
531303.78694287,4984593.9525786,0,0.0223914323985643,0.00265320438133195,0.0686844537742363
530583.78694287,4983633.9525786,0,0.154411575858203,0.00264090265602652,0.0713253564302628
530103.78694287,4983153.9525786,0,0.114682255965340,0.00263060845645720,0.07395596488672
529623.78694287,4983633.9525786,0,0.0591357289290529,0.00261550559915982,0.0765714704858798
530343.78694287,4983153.9525786,0.00157722072678331,0.126236241613684,0.00259853661965599,0.0791700071055358
530583.78694287,4982913.9525786,0,0.136389127701397,0.00259006745592522,0.081760074561461
531543.78694287,4984353.9525786,0,0.040752637983984,0.00258084107234873,0.0843409156338097
529863.78694287,4983393.9525786,0,0.100391319834476,0.00256257325916449,0.0869034888929742
530343.78694287,4982913.9525786,0,0.128686383293885,0.00256021568806981,0.089463704581044
530823.78694287,4983393.9525786,0,0.176659120747935,0.00255923500380636,0.0920229395848504
531063.78694287,4984593.9525786,0.00197152590847914,0.0276892609887664,0.00255278085437171,0.0945757204392221
531063.78694287,4984113.9525786,0,0.108720503559076,0.00253785393063969,0.0971135743698618
529623.78694287,4984113.9525786,0.00118291554508748,0.0315517068352702,0.00253483543651877,0.0996484098063806
530823.78694287,4983633.9525786,0,0.168755595627365,0.00252969723076203,0.102178107037143
531303.78694287,4984113.9525786,0,0.0950486728215884,0.00251398898552609,0.104692096022669
530583.78694287,4983393.9525786,0.00292346315612382,0.158308363093518,0.00247352166904144,0.107165617691710
529863.78694287,4983153.9525786,0,0.108006813832110,0.00247156800000363,0.109637185691714
531063.78694287,4983873.9525786,0,0.142426896808996,0.0024676339993767,0.112104819691090
530343.78694287,4984833.9525786,0,0.0273546943737027,0.00246128278391209,0.114566102475003
529383.78694287,4983873.9525786,0,0.0387979144916938,0.00245704365700136,0.117023146132004
531303.78694287,4983873.9525786,0,0.124701676282639,0.00245010833642677,0.119473254468431
529863.78694287,4984593.9525786,0,0.0320406350827536,0.00244681183404316,0.121920066302474
531543.78694287,4984113.9525786,0,0.084509678932723,0.00242666102101183,0.124346727323486
529623.78694287,4983393.9525786,0,0.0901523183488884,0.00240823037141908,0.126754957694905
530103.78694287,4984593.9525786,0.00252915797442799,0.0322143792278415,0.00238632585640630,0.129141283551311
530103.78694287,4982913.9525786,0,0.134231498986401,0.00237409111116382,0.131515374662475
529383.78694287,4983633.9525786,0,0.0596667108263944,0.00237012358570784,0.133885498248183
531543.78694287,4983873.9525786,0,0.112211829583442,0.00235873762101585,0.136244235869199
531303.78694287,4983633.9525786,0,0.153962809573905,0.00234345126967803,0.138587687138877
529623.78694287,4984593.9525786,0,0.0247286549358947,0.00234186159244492,0.140929548731322
530103.78694287,4984833.9525786,0,0.0338230113678058,0.00233580421562206,0.143265352946944
530583.78694287,4982673.9525786,0,0.144323909306359,0.00233295781521871,0.145598310762162
532023.78694287,4984113.9525786,0,0.0430862226623301,0.00232354147693279,0.147921852239095
531063.78694287,4983633.9525786,0,0.183016322977223,0.00230778482896056,0.150229637068056
531543.78694287,4983633.9525786,0,0.133804385238778,0.00229077740969868,0.152520414477754
530823.78694287,4985073.9525786,0,0.0223825851255146,0.00228738493293446,0.154807799410689
529383.78694287,4984113.9525786,0.00197152590847914,0.0289212146580654,0.00228417905352000,0.157091978464209
531063.78694287,4983393.9525786,0,0.194028907900094,0.00228004576206987,0.159372024226279
530583.78694287,4985073.9525786,0,0.024303753006534,0.0022745097620709,0.161646533988350
531303.78694287,4983393.9525786,0,0.169824689625656,0.00226869137007465,0.163915225358424
531783.78694287,4983393.9525786,0,0.110109292604904,0.00226709868140293,0.166182324039827
532023.78694287,4983873.9525786,0,0.0658096868158178,0.00226494112903722,0.168447265168864
529623.78694287,4983153.9525786,0,0.108015428282184,0.00225787568522766,0.170705140854092
531543.78694287,4983393.9525786,0,0.142658788492088,0.00225745410424112,0.172962594958333
531063.78694287,4985073.9525786,0,0.0246061027424332,0.0022376990840309,0.175200294042364
529863.78694287,4984353.9525786,0.00607790376850606,0.0272649702197151,0.002233097776165,0.177433391818529
530823.78694287,4982913.9525786,0.0038051564602961,0.147416729706155,0.00223108165079031,0.179664473469319
531783.78694287,4983633.9525786,0.00197152590847914,0.0931677833152427,0.00222325977649391,0.181887733245813
530343.78694287,4982673.9525786,0,0.153387562208444,0.00221035575676047,0.184098089002574
