"x","y","descape240","rghasp240","wolfuse","Prob","CumProb"
532263.78694287,4984113.9525786,0,0.958683855788045,0.000377215223592191,0.00544038199459755,0.00544038199459755
530103.78694287,4984353.9525786,0.000788610363391655,0.913909873374123,0,0.00461744556573692,0.0100578275603345
531543.78694287,4983873.9525786,0,0.805100561478213,0,0.00428464335062319,0.0143424709109577
532023.78694287,4984113.9525786,0,0.855791668576837,0,0.00424529347725483,0.0185877643882125
530343.78694287,4984353.9525786,0.00118291554508748,0.822730481181196,0,0.00366578222874178,0.0222535466169543
531543.78694287,4984353.9525786,0,0.774644405786655,0,0.00351390884895190,0.0257674554659062
531783.78694287,4984113.9525786,0.0115305265814266,0.848064545805402,0,0.00344340748529549,0.0292108629512017
530343.78694287,4984113.9525786,0,0.780380990219688,0,0.00344277191857355,0.0326536348697752
531543.78694287,4984113.9525786,0,0.74293168994348,0,0.00336716635592729,0.0360208012257025
531783.78694287,4983393.9525786,0,0.748634135856198,0,0.00328367152527366,0.0393044727509762
531543.78694287,4983393.9525786,0,0.725092343548561,0,0.00324377807943883,0.042548250830415
531783.78694287,4983153.9525786,0,0.754567673291052,0,0.00320426203228557,0.0457525128627006
531303.78694287,4984593.9525786,0,0.759384487205582,0,0.00319143040715780,0.0489439432698584
532023.78694287,4983153.9525786,0,0.77353621689641,0,0.00317727064395213,0.0521212139138105
532743.78694287,4982193.9525786,0,0.924443576421503,0,0.0031569057298001,0.0552781196436106
532023.78694287,4983873.9525786,0,0.752397251210987,0,0.00311836329179257,0.0583964829354032
531303.78694287,4984113.9525786,0,0.706339135225193,0,0.00311225508735211,0.0615087380227553
531063.78694287,4984113.9525786,0,0.700946562035341,0,0.00308379642340603,0.0645925344461613
531783.78694287,4984353.9525786,0.00775079912516824,0.802072737330222,0,0.0030653803769139,0.0676579148230752
531543.78694287,4983633.9525786,0,0.699194336829142,0,0.00306454998416481,0.07072246480724
530343.78694287,4984593.9525786,0.00814510430686407,0.829277198961719,0,0.00300825513292022,0.0737307199401602
