"x","y","elev240","slope240","descape240","Prob","CumProb"
530103.78694287,4984353.9525786,0.109803974766013,0.836448713156003,0.000788610363391655,0.00394379771626308,0.00394379771626308
531543.78694287,4984353.9525786,0.214723196288525,0.863048281811646,0,0.00355963633422843,0.0075034340504915
532263.78694287,4984113.9525786,0.180443598734971,0.97591672178289,0,0.00348995893536633,0.0109933929858578
531543.78694287,4983393.9525786,0.302272008366111,0.766355140186916,0,0.00345483099895273,0.0144482239848106
531303.78694287,4984593.9525786,0.138312139555217,0.804097886412653,0,0.00342990670055873,0.0178781306853693
531783.78694287,4983153.9525786,0.302762826793507,0.8274622573688,0,0.00335840065767722,0.0212365313430465
531063.78694287,4984113.9525786,0.282309387025745,0.682242990654206,0,0.00319808951663635,0.0244346208596829
531063.78694287,4984593.9525786,0.130431297443983,0.753414809489576,0.00197152590847914,0.00319515211356461,0.0276297729732475
530823.78694287,4984593.9525786,0.112973946543954,0.683680805176132,0.000788610363391655,0.00311121081638055,0.030740983789628
529863.78694287,4984113.9525786,0.122155210845361,0.643781567217829,0,0.00311119672055528,0.0338521805101833
530103.78694287,4984113.9525786,0.184182081304442,0.613227893601725,0,0.00302776987106687,0.0368799503812502
530583.78694287,4984593.9525786,0.11083494010597,0.649173256649892,0.000788610363391655,0.00297775009883712,0.0398577004800873
531543.78694287,4983633.9525786,0.288523542944454,0.650970639827462,0,0.00296374787784047,0.0428214483579278
529623.78694287,4984833.9525786,0.160182540059354,0.853702487419123,0,0.00291346908891217,0.0457349174468399
530343.78694287,4984353.9525786,0.170645728368997,0.622214349388929,0.00118291554508748,0.00290606622252515,0.0486409836693651
530823.78694287,4984113.9525786,0.259523326515726,0.557872034507549,0,0.00284947961468699,0.0514904632840521
530583.78694287,4985073.9525786,0.168525836719014,0.797627721063983,0,0.0028345941924024,0.0543250574764545
530103.78694287,4983153.9525786,0.29795576591414,0.554637066858375,0,0.00281743292382105,0.0571424904002755
530343.78694287,4984113.9525786,0.235148272177316,0.553918159597412,0,0.0028157415900123,0.0599582319902878
530343.78694287,4984593.9525786,0.0946780113961133,0.744069015097052,0.00814510430686407,0.00279086143344355,0.0627490934237314
530103.78694287,4982913.9525786,0.351860084684677,0.618979151689432,0,0.00278838138811518,0.0655374748118466
529863.78694287,4983393.9525786,0.271508915198785,0.578361006470165,0,0.00276927508816620,0.0683067499000128
530103.78694287,4984593.9525786,0.104360576428013,0.660675772825306,0.00252915797442799,0.00274394850288734,0.0710506984029001
529143.78694287,4984113.9525786,0.137030832153047,0.761682358015816,0,0.0027329880334227,0.0737836864363228
531783.78694287,4984353.9525786,0.13939120016821,0.811286959022286,0.00775079912516824,0.00271554375294329,0.0764992301892661
529623.78694287,4984113.9525786,0.101759115441604,0.607117296908699,0.00118291554508748,0.00269849908793399,0.0791977292772
531783.78694287,4983393.9525786,0.223336566404465,0.594536304816679,0,0.00268013467158108,0.0818778639487812
530103.78694287,4983633.9525786,0.247663525469838,0.474119453630482,0,0.00265534367223004,0.0845332076210112
530343.78694287,4984833.9525786,0.126654585298508,0.646657196261682,0,0.00264023969812074,0.087173447319132
532023.78694287,4984113.9525786,0.187900832479848,0.694105075485262,0,0.00263117221893669,0.0898046195380686
530343.78694287,4982913.9525786,0.312850502009828,0.498562300503235,0,0.00262064858824352,0.0924252681263121
530103.78694287,4983393.9525786,0.251199144644067,0.451473759884975,0,0.00260953703855429,0.0950348051648664
530583.78694287,4984113.9525786,0.243376263502902,0.479870711718188,0,0.00260718133406618,0.0976419864989326
530343.78694287,4985073.9525786,0.19787258575603,0.765636232925953,0,0.00260356152865714,0.100245548027590
530823.78694287,4984353.9525786,0.196764544658002,0.515456506110712,0,0.00259758944797380,0.102843137475564
530823.78694287,4985073.9525786,0.137609208641611,0.705966930265996,0,0.00258094634074189,0.105424083816305
529863.78694287,4984833.9525786,0.188180155027097,0.731488253055356,0,0.00256972621434935,0.107993810030655
530103.78694287,4983873.9525786,0.218818077163316,0.461179122933142,0,0.00256078634359163,0.110554596374246
529863.78694287,4983873.9525786,0.175087141852075,0.487419122933142,0,0.00254959135445625,0.113104187728703
532023.78694287,4982913.9525786,0.316357140699022,0.726096333572969,0,0.00254665816537474,0.115650845894077
530583.78694287,4984353.9525786,0.18917289079105,0.487419122933142,0,0.00252014552496416,0.118170991419042
531303.78694287,4984113.9525786,0.287193523663183,0.544572365204889,0,0.00251520971226383,0.120686201131305
531783.78694287,4984833.9525786,0.133591403524890,0.723220704529116,0,0.0025083722981705,0.123194573429476
529863.78694287,4983633.9525786,0.212729092275714,0.471962731847592,0,0.00250473754217466,0.125699310971651
529863.78694287,4984593.9525786,0.100256446462254,0.580517728253055,0,0.00249781088285588,0.128197121854506
529383.78694287,4983873.9525786,0.159219401386500,0.598849748382459,0,0.00248835234905025,0.130685474203557
531063.78694287,4984353.9525786,0.213383927916285,0.510783723939612,0,0.00248272980786685,0.133168204011424
529623.78694287,4983633.9525786,0.217035469030652,0.536304816678648,0,0.00247080245163314,0.135639006463057
531303.78694287,4985073.9525786,0.143486081043001,0.712437095614666,0,0.00247062453469469,0.138109630997751
530823.78694287,4983873.9525786,0.310653534601774,0.420920316319195,0,0.00246886700277063,0.140578498000522
531543.78694287,4983873.9525786,0.295922815719262,0.546369518332135,0,0.00246866925580388,0.143047167256326
530343.78694287,4983393.9525786,0.285112478195268,0.383896477354421,0.000788610363391655,0.00246144549930021,0.145508612755626
529383.78694287,4985073.9525786,0.148727232591823,0.82925964054637,0,0.00242255628269486,0.147931169038321
531303.78694287,4984353.9525786,0.229463780868070,0.537023723939612,0,0.00242234488528548,0.150353513923606
531543.78694287,4983153.9525786,0.351542532561425,0.543493889288282,0,0.00242216312535607,0.152775677048962
530823.78694287,4985313.9525786,0.226159388968054,0.801941164629763,0,0.00241566064162556,0.155191337690588
530343.78694287,4983633.9525786,0.275410798375366,0.364845549964055,0,0.00241490492994531,0.157606242620533
529383.78694287,4984113.9525786,0.080380149970927,0.580158159597412,0.00197152590847914,0.00237463207164083,0.159980874692174
531783.78694287,4983633.9525786,0.207873319517247,0.530913127246585,0.00197152590847914,0.00235210796088751,0.162332982653062
529863.78694287,4982913.9525786,0.370849701655156,0.558950510424155,0,0.00233936874814345,0.164672351401205
531063.78694287,4985073.9525786,0.131192189327659,0.639108554996406,0,0.00233786718309248,0.167010218584298
