"x","y","elkuse","Prob","CumProb"
530583.78694287,4983393.9525786,0.158308363093518,0.00287656351695182,0.00287656351695182
530343.78694287,4983393.9525786,0.126677441151294,0.00278385385292032,0.00566041736987214
530823.78694287,4983393.9525786,0.176659120747935,0.00273771342231383,0.00839813079218597
530583.78694287,4983633.9525786,0.154411575858203,0.00271790445718611,0.0111160352493721
530583.78694287,4983153.9525786,0.154769977725331,0.00269559316037270,0.0138116284097448
530343.78694287,4983633.9525786,0.126406377002659,0.00268979721955284,0.0165014256292976
530343.78694287,4983153.9525786,0.126236241613684,0.00267822134980465,0.0191796469791023
530583.78694287,4983873.9525786,0.117638991336253,0.00266898039595421,0.0218486273750565
530343.78694287,4983873.9525786,0.0994001342241913,0.00264692123103214,0.0244955486060886
530823.78694287,4983633.9525786,0.168755595627365,0.00261548222044019,0.0271110308265288
530823.78694287,4983873.9525786,0.126488417998472,0.00260652596463785,0.0297175567911666
530823.78694287,4983153.9525786,0.173698340077832,0.002562794820781,0.0322803516119477
530103.78694287,4983633.9525786,0.102834098488094,0.00255387527894673,0.0348342268908944
530103.78694287,4983393.9525786,0.112011776442180,0.00255148763217334,0.0373857145230677
530103.78694287,4983873.9525786,0.0792145569096051,0.00254544416427805,0.0399311586873458
530343.78694287,4984113.9525786,0.0739236548029091,0.00253219670075048,0.0424633553880962
530583.78694287,4984113.9525786,0.089796652151716,0.00253143886651512,0.0449947942546114
530583.78694287,4984353.9525786,0.0415752597603749,0.00251894045836606,0.0475137347129774
530583.78694287,4982913.9525786,0.136389127701397,0.00251845655934657,0.050032191272324
530823.78694287,4984353.9525786,0.0437194720514368,0.00250432919641630,0.0525365204687403
530823.78694287,4984113.9525786,0.0957920474778664,0.00249113696278552,0.0550276574315258
530343.78694287,4984353.9525786,0.0367430480172852,0.00246862230784932,0.0574962797393751
530103.78694287,4983153.9525786,0.114682255965340,0.002466834849538,0.0599631145889131
530823.78694287,4982913.9525786,0.147416729706155,0.00244540923479420,0.0624085238237073
530103.78694287,4984113.9525786,0.0594843813341037,0.00244194030131215,0.0648504641250195
530343.78694287,4982913.9525786,0.128686383293885,0.0024322140110009,0.0672826781360204
531063.78694287,4984353.9525786,0.048876122610178,0.00238965214040256,0.0696723302764229
529863.78694287,4983873.9525786,0.06356707771495,0.00237204299682667,0.0720443732732496
529863.78694287,4983633.9525786,0.083517038178844,0.00236992923006328,0.0744143025033129
531063.78694287,4983873.9525786,0.142426896808996,0.00236054391230846,0.0767748464156213
530103.78694287,4984353.9525786,0.0311251751450846,0.00235615770195913,0.0791310041175805
531063.78694287,4983393.9525786,0.194028907900094,0.0023270450064538,0.0814580491240342
531063.78694287,4983633.9525786,0.183016322977223,0.00231358298300754,0.0837716321070418
531063.78694287,4984113.9525786,0.108720503559076,0.00230829933618763,0.0860799314432294
529863.78694287,4983393.9525786,0.100391319834476,0.00230656655290359,0.088386497996133
529863.78694287,4984113.9525786,0.0484454874150582,0.00228233935319340,0.0906688373493264
