"x","y","descape240","rghasp240","Prob","CumProb"
530103.78694287,4984353.9525786,0.000788610363391655,0.913909873374123,0.00489392327729632,0.00489392327729632
532263.78694287,4984113.9525786,0,0.958683855788045,0.00449521285832011,0.00938913613561644
530343.78694287,4984353.9525786,0.00118291554508748,0.822730481181196,0.00372709523448835,0.0131162313701048
531543.78694287,4983873.9525786,0,0.805100561478213,0.00369606160533202,0.0168122929754368
530343.78694287,4984113.9525786,0,0.780380990219688,0.00362262974179741,0.0204349227172342
532023.78694287,4984113.9525786,0,0.855791668576837,0.00350834889383796,0.0239432716110722
530343.78694287,4983393.9525786,0.000788610363391655,0.704054480404072,0.00317790665260390,0.0271211782636761
529863.78694287,4983393.9525786,0,0.738778607645087,0.00310401028042275,0.0302251885440988
530343.78694287,4982913.9525786,0,0.713451764630948,0.00309673177450149,0.0333219203186003
530823.78694287,4982433.9525786,0,0.742483950119341,0.0029844429106211,0.0363063632292214
530103.78694287,4983633.9525786,0,0.703984233833423,0.00296348506659379,0.0392698482958152
531543.78694287,4983393.9525786,0,0.725092343548561,0.00296298423783319,0.0422328325336484
531543.78694287,4984353.9525786,0,0.774644405786655,0.00295190084381244,0.0451847333774608
531783.78694287,4983153.9525786,0,0.754567673291052,0.00294841828629086,0.0481331516637517
532743.78694287,4982193.9525786,0,0.924443576421503,0.00292513015137948,0.0510582818151312
531783.78694287,4983393.9525786,0,0.748634135856198,0.00292312698795199,0.0539814088030832
530343.78694287,4984593.9525786,0.00814510430686407,0.829277198961719,0.0029123960074006,0.0568938048104838
529863.78694287,4984113.9525786,0,0.744998383442587,0.00286560980841487,0.0597594146188986
532023.78694287,4983153.9525786,0,0.77353621689641,0.00285075469834873,0.0626101693172474
531543.78694287,4984113.9525786,0,0.74293168994348,0.00284418170026198,0.0654543510175093
531303.78694287,4983153.9525786,0,0.691257130855765,0.00283233306718544,0.0682866840846948
529623.78694287,4985073.9525786,0,0.85719069139977,0.00281649099164558,0.0711031750763404
529863.78694287,4982673.9525786,0,0.74039821783006,0.00280983859645393,0.0739130136727943
529863.78694287,4983633.9525786,0,0.712393470501164,0.00280882223346224,0.0767218359062565
530103.78694287,4982913.9525786,0,0.700112137817627,0.00279429264194618,0.0795161285482027
531783.78694287,4984113.9525786,0.0115305265814266,0.848064545805402,0.00278755806552031,0.082303686613723
531063.78694287,4984113.9525786,0,0.700946562035341,0.00277644671588162,0.0850801333296046
531063.78694287,4983153.9525786,0.00410637786002692,0.694923082729655,0.00276773339171738,0.087847866721322
529623.78694287,4984833.9525786,0,0.821471951499562,0.00274155930625284,0.0905894260275748
530103.78694287,4982673.9525786,0,0.71308214949753,0.00273922405206116,0.093328650079636
530823.78694287,4983393.9525786,0,0.634755910203428,0.00273104326122914,0.0960596933408651
531303.78694287,4984593.9525786,0,0.759384487205582,0.00272970650455541,0.0987893998454206
531303.78694287,4984113.9525786,0,0.706339135225193,0.00268972366225776,0.101479123507678
531543.78694287,4983633.9525786,0,0.699194336829142,0.00268562922874017,0.104164752736418
529863.78694287,4982913.9525786,0,0.706916864030534,0.00265479127969234,0.106819544016111
529863.78694287,4984833.9525786,0,0.793022090386551,0.00264942132885953,0.109468965344970
530583.78694287,4983873.9525786,0,0.654659980567435,0.00264467669746283,0.112113642042433
530583.78694287,4984113.9525786,0,0.677811805931467,0.00264115334825537,0.114754795390689
530583.78694287,4983393.9525786,0.00292346315612382,0.645951375336927,0.00263349578274829,0.117388291173437
529863.78694287,4983153.9525786,0,0.691904449721749,0.00261836194601916,0.120006653119456
530823.78694287,4983873.9525786,0,0.65041695639821,0.00260701357712521,0.122613666696581
530103.78694287,4984593.9525786,0.00252915797442799,0.763999096038242,0.00260071644882894,0.125214383145410
532023.78694287,4983873.9525786,0,0.752397251210987,0.00259039276265442,0.127804775908065
530103.78694287,4982433.9525786,0,0.719260565164648,0.00258911142709084,0.130393887335155
530823.78694287,4984593.9525786,0.000788610363391655,0.73184848802102,0.00258355924942018,0.132977446584576
530343.78694287,4983633.9525786,0,0.641121431222275,0.00257426432599430,0.13555171091057
531303.78694287,4984353.9525786,0,0.712874035825607,0.00254754765294719,0.138099258563517
531063.78694287,4983393.9525786,0,0.630025099099693,0.00252958880402121,0.140628847367538
529863.78694287,4982433.9525786,0,0.726318704239899,0.00249974869468435,0.143128596062223
530343.78694287,4983153.9525786,0.00157722072678331,0.644847782016724,0.00249733900753042,0.145625935069753
531063.78694287,4983873.9525786,0,0.645682862744444,0.00247848051540863,0.148104415585162
531543.78694287,4983153.9525786,0,0.674921192374744,0.00247203888414554,0.150576454469307
531783.78694287,4984353.9525786,0.00775079912516824,0.802072737330222,0.00247181262120107,0.153048267090508
530103.78694287,4983393.9525786,0,0.645077560518848,0.00246932686849277,0.155517593959001
531303.78694287,4983873.9525786,0,0.660589578942252,0.00245593079373372,0.157973524752735
529383.78694287,4983873.9525786,0,0.733428707605628,0.00243304838520107,0.160406573137936
530823.78694287,4984113.9525786,0,0.652859173620787,0.00242937668794723,0.162835949825883
530583.78694287,4984593.9525786,0.000788610363391655,0.713375609470243,0.0024289418233207,0.165264891649204
530823.78694287,4983633.9525786,0,0.608469971721422,0.00241910908081473,0.167684000730019
529623.78694287,4983633.9525786,0,0.694230464673252,0.00241481040196207,0.170098811131981
530823.78694287,4985313.9525786,0,0.800357276684363,0.00241223341409140,0.172511044546072
529863.78694287,4983873.9525786,0,0.677208473235889,0.00241118372756985,0.174922228273642
532263.78694287,4982913.9525786,0,0.761585108745926,0.00241095680856500,0.177333185082207
530583.78694287,4982913.9525786,0,0.62695919737135,0.00239857348126658,0.179731758563474
530103.78694287,4983153.9525786,0,0.639354762795943,0.00238238182743346,0.182114140390907
530103.78694287,4984113.9525786,0,0.658336436601423,0.0022918173644328,0.184405957755340
530823.78694287,4985073.9525786,0,0.750697546805274,0.00228239804127778,0.186688355796618
