f111	x	y	elev240	slope240	forest240	dtree240	dhigh240	descape240	rghasp240	amuse	elkuse	wolfuse	road240
1	514983.78694287	5000913.9525786	1899.188	19.26563	0	933.8156	79.16534	79.16534	1.141346	0	2603.232	0	4.34375
1	515223.78694287	5000913.9525786	1966.203	18.95313	0	775.235	60.11175	60.11175	1.009719	0	2876.62	0	0
1	515463.78694287	5000913.9525786	2049.875	20.65625	0	565.8494	21.7083	21.7083	1.160462	0	3768.086	0	0
1	515703.78694287	5000913.9525786	2063.344	14.64063	0	393.1857	100.2536	100.2536	1.060771	0	4159.5	0	0
1	515943.78694287	5000913.9525786	2047.516	11.78125	0	323.0076	99.74917	99.74917	1.016435	0	4386.438	0	0
1	516183.78694287	5000913.9525786	2059.797	14.17188	0	325.2952	54.62574	54.62574	1.090052	0	3980.154	0	0
1	516423.78694287	5000913.9525786	1997.375	18.78125	0	169.719	96.55226	96.55226	1.062756	0	3763.425	0	0
1	516663.78694287	5000913.9525786	1967.438	9.875	22	38.84466	107.2212	38.84466	0.9814363	0	3631.422	0	0
1	516903.78694287	5000913.9525786	2018.391	20.09375	39	21.64791	28.12475	21.64791	0.9583423	0	3743.976	0	0.734375
1	517143.78694287	5000913.9525786	2075.219	24.64063	0	143.468	12.14039	12.14039	1.208598	0	3716.613	0	6.296875
1	517383.78694287	5000913.9525786	2051.031	22.48438	0	323.964	22.92575	22.92575	1.187305	0	3883.548	0	8.125
1	517623.78694287	5000913.9525786	2076.844	20.1875	0	442.6198	84.11704	84.11704	1.173305	0	4027.052	0	8.125
1	517863.78694287	5000913.9525786	2085.359	19.34375	0	529.4719	86.78967	86.78967	1.084252	0	4280.433	0	8.125
1	518103.78694287	5000913.9525786	2075.141	17.875	0	426.4331	214.6737	214.6737	0.95121	0	4504.645	0	8.125
1	518343.78694287	5000913.9525786	2044.578	11.3125	0	247.0758	356.5296	247.0758	0.937509	0	4683.809	0	8.125
1	518583.78694287	5000913.9525786	2044.359	9.734375	0	182.6351	337.9713	182.6351	0.9120151	0	5026.035	0	6.4375
1	518823.78694287	5000913.9525786	2057.016	6.640625	2	112.8486	326.7812	112.8486	0.8883082	0	5043.177	0	0.75
1	519063.78694287	5000913.9525786	2045.797	13.5	58	3.006663	284.5086	3.006663	1.021819	0	4940.258	0	0
1	519303.78694287	5000913.9525786	2062.844	11.5625	40	12.57582	66.1673	12.57582	1.01131	0	4990.864	0	0
1	519543.78694287	5000913.9525786	2127.797	18.09375	40	21.2439	50.23537	21.2439	0.9351069	0	5186.314	0	0
1	519783.78694287	5000913.9525786	2149.297	16.9375	0	131.9366	74.84035	74.84035	0.9173828	0	5015.937	0	0
1	520023.78694287	5000913.9525786	2097.047	18.15625	34	26.72341	31.85687	26.72341	1.084225	0	5352.151	0	0
1	520263.78694287	5000913.9525786	2102.641	16.65625	53	6.287912	100.2576	6.287912	1.099423	0	5323.006	0	0
1	520503.78694287	5000913.9525786	2103.219	14.79688	56	3.75	170.6454	3.75	0.7715585	0	5674.549	0	0
1	520743.78694287	5000913.9525786	2132.531	17.25	53	5.350412	190.6297	5.350412	0.7925512	0	6052.326	0	0
1	520983.78694287	5000913.9525786	2157.375	14.65625	19	46.73901	245.4475	46.73901	0.8432067	0	6541.139	0	0
1	521223.78694287	5000913.9525786	2158.641	13.5	29	34.02015	125.9876	34.02015	0.9228987	0	6793.106	0	0
1	521463.78694287	5000913.9525786	2168.109	16.14063	50	6.756662	27.59536	6.756662	1.087397	0	6946.057	0	0
1	521703.78694287	5000913.9525786	2198.094	19.26563	64	0	60.56601	0	1.056232	0	7338.925	0	0
1	521943.78694287	5000913.9525786	2229.75	15.875	64	0	106.6809	0	1.038012	0	7756	0	0
1	522183.78694287	5000913.9525786	2254.047	15.76563	64	0	60.32824	0	1.104986	0	8147.704	0	0
1	522423.78694287	5000913.9525786	2323.969	23.67188	64	0	3.28125	0	1.123051	0	7772.043	0	0
1	522663.78694287	5000913.9525786	2381.625	28.1875	64	0	0.46875	0	1.250016	0	6629.5	0	0
1	522903.78694287	5000913.9525786	2379.938	28.53125	64	0	0.46875	0	1.23283	0	6785.516	0	0
1	523143.78694287	5000913.9525786	2469.344	34.79688	64	0	13.70749	0	1.108688	0	7639.409	0	0
1	523383.78694287	5000913.9525786	2535.156	31.23438	64	0	6.287912	0	1.106261	0	8470.989	0	0
1	523623.78694287	5000913.9525786	2596.141	34.59375	64	0	3.75	0	1.369125	0	8830.002	0	0
1	523863.78694287	5000913.9525786	2735.406	34	32	29.92884	0	0	1.344511	0	9673.229	0	0
1	524103.78694287	5000913.9525786	2882.719	30.98438	20	60.90673	8.551238	8.551238	1.361496	0	9773.145	0	0
1	524343.78694287	5000913.9525786	2858.75	32.15625	0	134.4757	1.40625	1.40625	1.28761	0	10724.93	0	0
1	524583.78694287	5000913.9525786	2695.672	30.04688	27	43.66476	21.34402	21.34402	1.001473	0	12027.23	0	0
1	524823.78694287	5000913.9525786	2624.141	21.01563	62	0.9375	42.67453	0.9375	1.040652	0	10785.26	0	0
1	525063.78694287	5000913.9525786	2677.016	32.35938	50	8.357075	5.544575	5.544575	1.301991	0	14869.4	0	0
1	525303.78694287	5000913.9525786	2672.156	24.20313	55	6.123982	57.51356	6.123982	1.009721	0	15842.03	0	0
1	525543.78694287	5000913.9525786	2668.266	16.73438	64	0	121.1311	0	0.9673042	0	18693.06	0	0
1	525783.78694287	5000913.9525786	2734.688	19.375	64	0	69.68967	0	0.9880276	0	18427.35	0	0
1	526023.78694287	5000913.9525786	2815.625	23.46875	64	0	18.54307	0	1.028028	0	17566.48	0	0
1	526263.78694287	5000913.9525786	2923.563	28.40625	37	26.83431	27.57582	26.83431	1.088081	0	17922.55	0	0
1	526503.78694287	5000913.9525786	2904.203	13.875	0	228.7138	168.1375	168.1375	0.8767309	0	17534.34	0	0
1	526743.78694287	5000913.9525786	2898.891	12.5	0	454.6857	144.6195	144.6195	1.045027	0	17766.8	0	0
1	526983.78694287	5000913.9525786	2885.078	12.4375	0	605.3062	214.0167	214.0167	0.8259563	0	17624.4	0	0
1	527223.78694287	5000913.9525786	2875.906	11.48438	0	661.7363	104.5908	104.5908	0.8777321	0	17432.38	0	0
1	527463.78694287	5000913.9525786	2924.281	20.1875	0	741.206	37.5131	37.5131	1.05475	0	17173.47	0	0
1	527703.78694287	5000913.9525786	2965	27.125	0	768.4662	6.123982	6.123982	1.115912	0	13773.84	0	0
1	527943.78694287	5000913.9525786	3056.203	29.8125	0	766.035	2.34375	2.34375	1.179333	0	11205.78	0	0
1	528183.78694287	5000913.9525786	3084.438	29.71875	0	754.6677	1.875	1.875	1.331311	0	8604.884	0	0
1	528423.78694287	5000913.9525786	2971.875	24.28125	0	592.2903	48.63078	48.63078	1.161645	0	9337.904	0	0
1	528663.78694287	5000913.9525786	2907.547	19.46875	0	376.685	58.75237	58.75237	1.14549	0	11372.06	0	0
1	528903.78694287	5000913.9525786	2902.047	21.98438	0	206.2184	33.42712	33.42712	1.090358	0	12790.72	0	0
1	529143.78694287	5000913.9525786	2941.656	23.15625	0	189.1588	7.613738	7.613738	1.111434	0	13481.34	0	0
1	529383.78694287	5000913.9525786	2940.938	25.04688	0	221.0001	9.160877	9.160877	1.167098	0	15905.67	0	0
1	529623.78694287	5000913.9525786	2847.5	20.42188	0	182.3804	112.4273	112.4273	0.9457458	0	17505.04	0	0
1	529863.78694287	5000913.9525786	2797.828	11.64063	0	154.0218	86.20525	86.20525	1.027975	0	19372.04	0	0
1	530103.78694287	5000913.9525786	2749.016	15.09375	35	25.92404	80.4901	25.92404	0.9900772	0	19560.24	0	0
1	530343.78694287	5000913.9525786	2701.219	12.23438	46	12.40754	220.1921	12.40754	0.9035605	0	18974.18	0	0
1	530583.78694287	5000913.9525786	2669.797	14.51563	13	53.6819	446.6981	53.6819	0.8037221	0	20593.45	0	0
1	530823.78694287	5000913.9525786	2647.563	11.40625	59	2.8125	598.7226	2.8125	0.8672346	0	20482.81	0	0
1	531063.78694287	5000913.9525786	2662.656	11.40625	47	11.61528	424.3391	11.61528	0.8232601	0	21193.12	0	0
1	531303.78694287	5000913.9525786	2720.563	13.3125	64	0	208.7075	0	0.8111777	0	20559.28	0	0
1	531543.78694287	5000913.9525786	2790.75	20.60938	64	0	26.43973	0	0.8097454	0	19520.25	0	0
1	531783.78694287	5000913.9525786	2885.266	24.1875	39	23.34964	13.78791	13.78791	1.125213	0	17338.1	0	0
1	532023.78694287	5000913.9525786	2867	24.5	15	44.63587	18.64218	18.64218	1.219884	0	15831	0	0
1	532263.78694287	5000913.9525786	2820.25	32.64063	0	160.3969	21.37861	21.37861	1.12608	0	17167.41	0	0
1	532503.78694287	5000913.9525786	2752.266	16.65625	11	85.61648	123.8735	85.61648	0.9884608	0	16950.69	0	0
1	532743.78694287	5000913.9525786	2782.453	11.23438	32	22.48004	79.6839	22.48004	0.8415858	0	18807.68	0	0
1	532983.78694287	5000913.9525786	2832.875	16.0625	47	9.324807	29.56313	9.324807	0.9941047	0	16784.82	0	0
1	533223.78694287	5000913.9525786	2909.422	18.46875	13	66.49809	52.47157	52.47157	1.075604	0	14631.8	0	0
1	533463.78694287	5000913.9525786	2941.078	14.92188	0	272.1045	18.72751	18.72751	1.121285	0	11356.97	0	0
1	533703.78694287	5000913.9525786	2862.422	38.57813	0	199.0769	0.9375	0.9375	1.391554	0	10517.99	0	0
