"x","y","slope240","forest240","wolfuse","Prob","CumProb"
532263.78694287,4984113.9525786,0.97591672178289,1,0.000377215223592191,0.00472444284112996,0.00472444284112996
531543.78694287,4984353.9525786,0.863048281811646,1,0,0.00459620026756752,0.00932064310869749
531783.78694287,4983153.9525786,0.8274622573688,1,0,0.00457391831349752,0.013894561422195
531543.78694287,4983393.9525786,0.766355140186916,1,0,0.00448917865436257,0.0183837400765576
531303.78694287,4984593.9525786,0.804097886412653,1,0,0.00400318083156422,0.0223869209081218
531063.78694287,4984113.9525786,0.682242990654206,1,0,0.00388071097176491,0.0262676318798867
529623.78694287,4984833.9525786,0.853702487419123,1,0,0.00362472153933705,0.0298923534192238
531543.78694287,4983633.9525786,0.650970639827462,1,0,0.00356410081814436,0.0334564542373681
530583.78694287,4985073.9525786,0.797627721063983,1,0,0.00342819904651529,0.0368846532838834
532023.78694287,4982913.9525786,0.726096333572969,1,0,0.00335087506609342,0.0402355283499768
530103.78694287,4982913.9525786,0.618979151689432,1,0.00786197572069731,0.00333942398943143,0.0435749523394083
530103.78694287,4984353.9525786,0.836448713156003,0.78125,0,0.00331784304679187,0.0468927953862001
531063.78694287,4984593.9525786,0.753414809489576,0.90625,0,0.00326744774419180,0.0501602431303919
530103.78694287,4984113.9525786,0.613227893601725,1,0,0.00324842629918830,0.0534086694295802
529863.78694287,4984113.9525786,0.643781567217829,1,0,0.00323357340261743,0.0566422428321977
529143.78694287,4984113.9525786,0.761682358015816,1,0,0.00314996369661905,0.0597922065288167
530823.78694287,4984113.9525786,0.557872034507549,1,0,0.00314196468103968,0.0629341712098564
530103.78694287,4983153.9525786,0.554637066858375,1,0.00415371972106592,0.00313486262401515,0.0660690338338716
530823.78694287,4985313.9525786,0.801941164629763,1,0,0.00310917396576776,0.0691782077996393
529863.78694287,4983393.9525786,0.578361006470165,1,0.00287628455538581,0.00309599507176033,0.0722742028713996
529863.78694287,4984833.9525786,0.731488253055356,1,0,0.00304429932358644,0.0753185021949861
530343.78694287,4984113.9525786,0.553918159597412,1,0,0.00304028923755692,0.078358791432543
532023.78694287,4984113.9525786,0.694105075485262,1,0,0.00303381586975394,0.081392607302297
530343.78694287,4985073.9525786,0.765636232925953,0.96875,0,0.00303138988830893,0.0844239971906059
530583.78694287,4984593.9525786,0.649173256649892,0.96875,0,0.00300091655923733,0.0874249137498432
530343.78694287,4984353.9525786,0.622214349388929,0.953125,0,0.00298148997084111,0.0904064037206843
529383.78694287,4985073.9525786,0.82925964054637,1,0,0.00296921989645574,0.09337562361714
531783.78694287,4983393.9525786,0.594536304816679,1,0,0.00296664061220675,0.0963422642293468
531543.78694287,4983153.9525786,0.543493889288282,1,0,0.00290048737650771,0.0992427516058545
530343.78694287,4982913.9525786,0.498562300503235,1,0.00120005082786058,0.00289800995989089,0.102140761565745
532263.78694287,4982433.9525786,0.744787922358016,1,0,0.00289082889946844,0.105031590465214
530823.78694287,4985073.9525786,0.705966930265996,1,0,0.00287904881683386,0.107910639282048
531303.78694287,4984113.9525786,0.544572365204889,1,0,0.00284924429219924,0.110759883574247
528903.78694287,4984593.9525786,0.810568051761323,1,0,0.00282778087553924,0.113587664449786
531783.78694287,4984833.9525786,0.723220704529116,1,0,0.00282606294880838,0.116413727398595
531543.78694287,4983873.9525786,0.546369518332135,1,0,0.00282569777319000,0.119239425171785
530343.78694287,4984833.9525786,0.646657196261682,1,0,0.00279938093389625,0.122038806105681
531303.78694287,4985073.9525786,0.712437095614666,1,0,0.0027898756634358,0.124828681769117
529623.78694287,4985073.9525786,0.760603882099209,1,0,0.00277884476193697,0.127607526531054
528903.78694287,4984353.9525786,0.77138749101366,1,0,0.00277836518588151,0.130385891716935
530103.78694287,4983633.9525786,0.474119453630482,1,3.33702399276603e-05,0.00274935325908143,0.133135244976017
532023.78694287,4982193.9525786,0.705966930265996,1,0,0.00274116253008988,0.135876407506106
530823.78694287,4984593.9525786,0.683680805176132,0.859375,0,0.00271463148464573,0.138591038990752
530583.78694287,4984113.9525786,0.479870711718188,1,0,0.00270859026329641,0.141299629254049
530823.78694287,4985553.9525786,0.784327821710999,1,0,0.00269306110659699,0.143992690360646
530103.78694287,4982673.9525786,0.551042530553559,1,0.0143564084140988,0.00267731280030337,0.146670003160949
530823.78694287,4984353.9525786,0.515456506110712,1,0,0.00266829102888864,0.149338294189838
530103.78694287,4983393.9525786,0.451473759884975,1,0.000917896446513396,0.00265826575934428,0.151996559949182
529863.78694287,4982913.9525786,0.558950510424155,1,0.0168877654603809,0.00265693949459308,0.154653499443775
530343.78694287,4985313.9525786,0.726096333572969,1,0,0.00265530249033122,0.157308801934106
530103.78694287,4984593.9525786,0.660675772825306,0.90625,0,0.00264355917948738,0.159952361113594
