"x","y","elev240","forest240","Prob","CumProb"
529863.78694287,4984113.9525786,0.122155210845361,1,0.00312325989503765,0.00312325989503765
529863.78694287,4983873.9525786,0.175087141852075,1,0.00297672126209544,0.00609998115713309
530103.78694287,4984113.9525786,0.184182081304442,1,0.00296008775705568,0.00906006891418877
530103.78694287,4983873.9525786,0.218818077163316,1,0.00293617159530722,0.011996240509496
530343.78694287,4983873.9525786,0.249060754812148,1,0.00292549715361751,0.0149217376631135
530343.78694287,4983633.9525786,0.275410798375366,1,0.00291830825236138,0.0178400459154749
530583.78694287,4983633.9525786,0.298369508583465,1,0.00291294813097207,0.0207529940464470
530103.78694287,4983393.9525786,0.251199144644067,1,0.00290911823322948,0.0236621122796764
530583.78694287,4984353.9525786,0.18917289079105,1,0.00290464432099045,0.0265667566006669
530103.78694287,4983633.9525786,0.247663525469838,1,0.00289079835633378,0.0294575549570007
530583.78694287,4984593.9525786,0.11083494010597,0.96875,0.00288941444606834,0.032346969403069
529863.78694287,4983633.9525786,0.212729092275714,1,0.00286723322661827,0.0352142026296873
530823.78694287,4984353.9525786,0.196764544658002,1,0.00286459361559775,0.038078796245285
530583.78694287,4983873.9525786,0.280497798408046,1,0.00284638572385189,0.0409251819691369
530583.78694287,4984113.9525786,0.243376263502902,1,0.00284390401113062,0.0437690859802675
529863.78694287,4984593.9525786,0.100256446462254,1,0.00284084778059334,0.0466099337608609
529623.78694287,4983873.9525786,0.160259615817425,1,0.00283363785564564,0.0494435716165065
530823.78694287,4983393.9525786,0.329440904783075,1,0.00282896210571586,0.0522725337222224
530343.78694287,4984113.9525786,0.235148272177316,1,0.00281888582015631,0.0550914195423787
530823.78694287,4983633.9525786,0.320837400364168,1,0.0027958052995216,0.0578872248419003
531303.78694287,4984593.9525786,0.138312139555217,1,0.00278043324363873,0.060667658085539
530823.78694287,4984113.9525786,0.259523326515726,1,0.00276133955255202,0.063428997638091
529623.78694287,4984113.9525786,0.101759115441604,0.953125,0.00274738063350008,0.0661763782715911
529623.78694287,4984593.9525786,0.0861706975232784,1,0.00274416719104777,0.0689205454626389
530343.78694287,4983393.9525786,0.285112478195268,0.96875,0.00273893554197750,0.0716594810046164
531063.78694287,4984353.9525786,0.213383927916285,1,0.00272379212895013,0.0743832731335665
530823.78694287,4983873.9525786,0.310653534601774,1,0.00269414306891204,0.0770774162024786
530343.78694287,4984833.9525786,0.126654585298508,1,0.00268778920526059,0.0797652054077392
530343.78694287,4984353.9525786,0.170645728368997,0.953125,0.00267918403027508,0.0824443894380142
530583.78694287,4982913.9525786,0.312378181764369,1,0.00267494308352091,0.0851193325215351
530103.78694287,4983153.9525786,0.29795576591414,1,0.00263351132721442,0.0877528438487496
529623.78694287,4983633.9525786,0.217035469030652,1,0.00262515977694013,0.0903780036256897
531783.78694287,4983393.9525786,0.223336566404465,1,0.00261654852520485,0.0929945521508945
529383.78694287,4983873.9525786,0.159219401386500,1,0.00260934365692555,0.095603895807820
529863.78694287,4983393.9525786,0.271508915198785,1,0.00260326190197659,0.0982071577097967
530343.78694287,4982913.9525786,0.312850502009828,1,0.00259553027767261,0.100802687987469
531063.78694287,4984113.9525786,0.282309387025745,1,0.00258649028899147,0.103389178276461
531063.78694287,4983393.9525786,0.351041231830931,1,0.00258621775019394,0.105975396026655
530343.78694287,4983153.9525786,0.276865372081680,0.9375,0.00256034060413356,0.108535736630788
531303.78694287,4984353.9525786,0.229463780868070,1,0.00254615567446148,0.111081892305250
531063.78694287,4983633.9525786,0.353276428814988,1,0.00253193829002476,0.113613830595274
531543.78694287,4983633.9525786,0.288523542944454,1,0.00249656871160931,0.116110399306884
531543.78694287,4984353.9525786,0.214723196288525,1,0.00247978602319485,0.118590185330079
531063.78694287,4983873.9525786,0.340568794430321,1,0.00247614951080536,0.121066334840884
529383.78694287,4984113.9525786,0.080380149970927,0.921875,0.00247557943562861,0.123541914276513
529143.78694287,4984353.9525786,0.0930304399915895,1,0.00247366706167399,0.126015581338187
529383.78694287,4983633.9525786,0.202815299969601,1,0.00246850449337606,0.128484085831563
531543.78694287,4983393.9525786,0.302272008366111,1,0.00246017197909,0.130944257810653
531303.78694287,4984113.9525786,0.287193523663183,1,0.00245336437602596,0.133397622186679
530103.78694287,4984593.9525786,0.104360576428013,0.90625,0.00244911786588081,0.135846740052559
529623.78694287,4983393.9525786,0.260265720217465,1,0.0024481019799996,0.138294842032559
530823.78694287,4985073.9525786,0.137609208641611,1,0.00242969876095399,0.140724540793513
531063.78694287,4985073.9525786,0.131192189327659,1,0.00242362633330599,0.143148167126819
531303.78694287,4983633.9525786,0.344682790093114,1,0.00242193737929284,0.145570104506112
530103.78694287,4984833.9525786,0.167938211139482,1,0.00241884023186054,0.147988944737972
531063.78694287,4984593.9525786,0.130431297443983,0.90625,0.00241530313520398,0.150404247873176
531303.78694287,4983873.9525786,0.326319644884235,1,0.00241361826779319,0.152817866140970
529143.78694287,4984593.9525786,0.0745612385396056,1,0.00241255570593317,0.155230421846903
532023.78694287,4983633.9525786,0.215156670351916,1,0.00241209674377228,0.157642518590675
531303.78694287,4983393.9525786,0.355723738285255,1,0.00240418331587417,0.160046701906549
529143.78694287,4984113.9525786,0.137030832153047,1,0.00239462884572872,0.162441330752278
532023.78694287,4983873.9525786,0.207140791512541,1,0.00238997652076029,0.164831307273038
531543.78694287,4983873.9525786,0.295922815719262,1,0.00238810497364912,0.167219412246687
532023.78694287,4984113.9525786,0.187900832479848,1,0.00238149535780221,0.169600907604489
529383.78694287,4983393.9525786,0.227334640127119,1,0.00237916639870759,0.171980074003197
529863.78694287,4983153.9525786,0.315692439361418,1,0.00237414681044176,0.174354220813639
530583.78694287,4983393.9525786,0.307618599551974,0.890625,0.00236190704593626,0.176716127859575
531543.78694287,4984113.9525786,0.279765887009405,1,0.00234364440166877,0.179059772261244
532023.78694287,4983393.9525786,0.237489525404478,1,0.00233404889607788,0.181393821157322
530583.78694287,4982673.9525786,0.349981902612005,1,0.00233138833935444,0.183725209496676
531783.78694287,4984833.9525786,0.133591403524890,1,0.00232978100818216,0.186054990504858
532023.78694287,4984593.9525786,0.124458234496520,0.984375,0.00230993526749216,0.188364925772350
530823.78694287,4984593.9525786,0.112973946543954,0.859375,0.00230866231493964,0.19067358808729
529623.78694287,4983153.9525786,0.287694824393676,1,0.00230572777392912,0.192979315861219
531303.78694287,4985073.9525786,0.143486081043001,1,0.00230514260243895,0.195284458463658
530103.78694287,4982913.9525786,0.351860084684677,1,0.00229793701918754,0.197582395482846
530583.78694287,4985073.9525786,0.168525836719014,1,0.0022969536012802,0.199879349084126
531783.78694287,4983633.9525786,0.207873319517247,0.921875,0.0022790016757363,0.202158350759862
531303.78694287,4983153.9525786,0.379867565349452,1,0.00226785814474708,0.204426208904609
532023.78694287,4983153.9525786,0.250813765853713,1,0.00225819181109459,0.206684400715704
529143.78694287,4983873.9525786,0.190791481710539,1,0.00224922511338562,0.208933625829090
531783.78694287,4983153.9525786,0.302762826793507,1,0.00224200244586883,0.211175628274958
529383.78694287,4983153.9525786,0.257162958500562,1,0.00223375115496234,0.213409379429921
529863.78694287,4984833.9525786,0.188180155027097,1,0.00223146329055130,0.215640842720472
531543.78694287,4983153.9525786,0.351542532561425,1,0.00222302015866599,0.217863862879138
529623.78694287,4984833.9525786,0.160182540059354,1,0.00222077763556657,0.220084640514705
532263.78694287,4984113.9525786,0.180443598734971,1,0.00221132316758336,0.222295963682288
532263.78694287,4983633.9525786,0.211967583785973,1,0.00220967409679074,0.224505637779079
529143.78694287,4983633.9525786,0.216351652905047,1,0.00219367847222742,0.226699316251306
530343.78694287,4982673.9525786,0.370984738383296,1,0.00219187237201516,0.228891188623321
532263.78694287,4983393.9525786,0.230870875907413,1,0.00214985247924507,0.231041041102566
530823.78694287,4982673.9525786,0.343941012997439,0.953125,0.00214447004444368,0.23318551114701
532263.78694287,4983873.9525786,0.220176460323558,1,0.00213068118145708,0.235316192328467
532503.78694287,4983873.9525786,0.168150323625693,1,0.00212579694002483,0.237441989268492
532743.78694287,4983633.9525786,0.123282366731390,1,0.00212088575965129,0.239562875028143
531543.78694287,4985073.9525786,0.171425735040674,1,0.00210417031347749,0.241667045341621
529143.78694287,4983393.9525786,0.244657570905073,1,0.00209810832493522,0.243765153666556
529383.78694287,4984833.9525786,0.086873628436885,0.9375,0.00209411345757272,0.245859267124129
529623.78694287,4982913.9525786,0.328092387319866,1,0.00208328538061303,0.247942552504742
529863.78694287,4982913.9525786,0.370849701655156,1,0.00207939382424061,0.250021946328982
532503.78694287,4983633.9525786,0.191668295534354,1,0.00207716355503279,0.252099109884015
532263.78694287,4983153.9525786,0.245534384728888,1,0.00207679049002949,0.254175900374045
530823.78694287,4982913.9525786,0.332273593043697,0.890625,0.00206926646999315,0.256245166844038
532503.78694287,4983393.9525786,0.197651224178850,1,0.00206771326171802,0.258312880105756
532503.78694287,4983153.9525786,0.194606423432017,1,0.00206427455072133,0.260377154656477
530823.78694287,4982433.9525786,0.375850376838796,1,0.00205721916283809,0.262434373819315
529383.78694287,4982913.9525786,0.290854930474583,1,0.00204945686140345,0.264483830680719
530103.78694287,4984353.9525786,0.109803974766013,0.78125,0.00203749649389411,0.266521327174613
530343.78694287,4985073.9525786,0.19787258575603,0.96875,0.00201607297367821,0.268537400148291
530103.78694287,4982673.9525786,0.394097600107536,1,0.00201237250015597,0.270549772648447
529863.78694287,4984353.9525786,0.0705915286959213,0.765625,0.00201059895295801,0.272560371601405
529623.78694287,4982673.9525786,0.336821062769881,1,0.00196257493966296,0.274522946541068
532263.78694287,4982913.9525786,0.264736114185578,1,0.0019610929378914,0.276484039478959
532023.78694287,4984833.9525786,0.192756605238315,1,0.0019580930643268,0.278442132543286
529383.78694287,4985073.9525786,0.148727232591823,1,0.00195757632952534,0.280399708872812
532023.78694287,4982913.9525786,0.316357140699022,1,0.00195529435291439,0.282355003225726
532743.78694287,4982673.9525786,0.141694223819369,1,0.00195004279342670,0.284305046019153
529623.78694287,4984353.9525786,0.0694545071128592,0.78125,0.00194768572180444,0.286252731740957
532503.78694287,4982913.9525786,0.218364871705859,1,0.00193687865316712,0.288189610394124
531783.78694287,4982913.9525786,0.368508448427994,1,0.00193448066617912,0.290124091060303
