"x","y","descape240","Prob","CumProb"
530823.78694287,4983393.9525786,0,0.00331597586515214,0.00331597586515214
530583.78694287,4983633.9525786,0,0.00319229497530486,0.006508270840457
530823.78694287,4983633.9525786,0,0.00319152423297415,0.00969979507343115
531063.78694287,4983393.9525786,0,0.00309449923274202,0.0127942943061732
530583.78694287,4983393.9525786,0.00292346315612382,0.00303698559224593,0.0158312798984191
530343.78694287,4983633.9525786,0,0.00302681776774083,0.0188580976661599
531063.78694287,4983633.9525786,0,0.00302529051886861,0.0218833881850285
530343.78694287,4983393.9525786,0.000788610363391655,0.00302338375151477,0.0249067719365433
530583.78694287,4983873.9525786,0,0.00296544181305838,0.0278722137496017
530823.78694287,4983873.9525786,0,0.00296498775761601,0.0308372015072177
530583.78694287,4982913.9525786,0,0.00294958995011399,0.0337867914573317
530343.78694287,4983153.9525786,0.00157722072678331,0.00287746059030667,0.0366642520476384
530343.78694287,4983873.9525786,0,0.00285385192027347,0.0395181039679118
531063.78694287,4983873.9525786,0,0.00285271773469209,0.0423708217026039
530103.78694287,4983393.9525786,0,0.00284756473993621,0.0452183864425401
531303.78694287,4983393.9525786,0,0.00284569333242675,0.0480640797749669
530343.78694287,4982913.9525786,0,0.00284059428327202,0.0509046740582389
530103.78694287,4983633.9525786,0,0.0028016536101304,0.0537063276683693
531303.78694287,4983633.9525786,0,0.00279990382385843,0.0565062314922277
530103.78694287,4983153.9525786,0,0.00279548063703939,0.0593017121292671
531303.78694287,4983153.9525786,0,0.00279374615528239,0.0620954582845495
530583.78694287,4984113.9525786,0,0.00271728197926809,0.0648127402638176
530823.78694287,4984113.9525786,0,0.00271697000253115,0.0675297102663487
530583.78694287,4982673.9525786,0,0.00270089534275346,0.0702306056091022
530103.78694287,4983873.9525786,0,0.00267407764063358,0.0729046832497358
531303.78694287,4983873.9525786,0,0.00267260405801163,0.0755772873077474
531063.78694287,4983153.9525786,0.00410637786002692,0.0026644817548864,0.0782417690626338
530103.78694287,4982913.9525786,0,0.00266370668580127,0.080905475748435
530343.78694287,4984113.9525786,0,0.00263726523727556,0.0835427409857106
531063.78694287,4984113.9525786,0,0.00263642088029737,0.086179161866008
530823.78694287,4982913.9525786,0.0038051564602961,0.00262891066627388,0.0888080725322819
530343.78694287,4982673.9525786,0,0.00262245356278657,0.0914305260950684
529863.78694287,4983393.9525786,0,0.00259338086841137,0.0940239069634798
530823.78694287,4982673.9525786,0.00134624242934051,0.00259296687408439,0.0966168738375642
531543.78694287,4983393.9525786,0,0.00259151526715208,0.0992083891047163
529863.78694287,4983633.9525786,0,0.00256023323658121,0.101768622341297
531543.78694287,4983633.9525786,0,0.0025584403240108,0.104327062665308
529863.78694287,4983153.9525786,0,0.00255570836026099,0.106882771025569
531543.78694287,4983153.9525786,0,0.00255392504788913,0.109436696073458
530103.78694287,4984113.9525786,0,0.00249736404221249,0.111934060115671
531303.78694287,4984113.9525786,0,0.00249617382713034,0.114430233942801
530103.78694287,4982673.9525786,0,0.00248480998931838,0.116915043932120
530583.78694287,4984353.9525786,0,0.00246722312711038,0.11938226705923
530823.78694287,4984353.9525786,0,0.00246699303639533,0.121849260095625
529863.78694287,4983873.9525786,0,0.00246384798525160,0.124313108080877
531543.78694287,4983873.9525786,0,0.00246224477382032,0.126775352854697
529863.78694287,4982913.9525786,0,0.00245577234840657,0.129231125203104
530823.78694287,4982433.9525786,0,0.00245085807594877,0.131681983279053
531063.78694287,4984353.9525786,0,0.00240648758749626,0.134088470866549
529623.78694287,4983393.9525786,0,0.00234408795330424,0.136432558819853
531783.78694287,4983393.9525786,0,0.00234228392576403,0.138774842745617
530343.78694287,4984353.9525786,0.00118291554508748,0.00232263544622223,0.141097478191839
529863.78694287,4984113.9525786,0,0.00232226780780266,0.143419745999642
531543.78694287,4984113.9525786,0,0.00232089726978630,0.145740643269428
529623.78694287,4983633.9525786,0,0.00231900242898423,0.148059645698413
529623.78694287,4983153.9525786,0,0.00231555403375593,0.150375199732168
531783.78694287,4983153.9525786,0,0.00231380504968198,0.152689004781850
529863.78694287,4982673.9525786,0,0.00231192469917773,0.155000929481028
530343.78694287,4982433.9525786,0.00118291554508748,0.00230806952528567,0.157308999006314
531303.78694287,4984353.9525786,0,0.00229661718220756,0.159605616188521
530103.78694287,4982433.9525786,0,0.00228416503928350,0.161889781227805
529623.78694287,4983873.9525786,0,0.00224438981613911,0.164134171043944
530103.78694287,4984353.9525786,0.000788610363391655,0.00224348350374315,0.166377654547687
529623.78694287,4982913.9525786,0,0.00223803430885350,0.168615688856541
531783.78694287,4982913.9525786,0,0.00223642489126648,0.170852113747807
531783.78694287,4983633.9525786,0.00197152590847914,0.00218326962920894,0.173035383377016
530583.78694287,4984593.9525786,0.000788610363391655,0.00217187560866651,0.175207258985683
530823.78694287,4984593.9525786,0.000788610363391655,0.00217170340844094,0.177378962394124
531543.78694287,4984353.9525786,0,0.00215298438060153,0.179531946774725
529863.78694287,4982433.9525786,0,0.00214260904059390,0.181674555815319
529623.78694287,4982673.9525786,0,0.00212247894895689,0.183797034764276
529383.78694287,4983393.9525786,0,0.00210551506019256,0.185902549824468
532023.78694287,4983393.9525786,0,0.00210380490928491,0.188006354733753
531303.78694287,4984593.9525786,0,0.00209017818370404,0.190096532917457
529383.78694287,4983633.9525786,0,0.00208599322950644,0.192182526146964
532023.78694287,4983633.9525786,0,0.00208431767700829,0.194266843823972
529383.78694287,4983153.9525786,0,0.00208329930882867,0.196350143132801
532023.78694287,4983153.9525786,0,0.00208162847246113,0.198431771605262
531063.78694287,4982193.9525786,0.00157722072678331,0.00206189660743905,0.200493668212701
529623.78694287,4984113.9525786,0.00118291554508748,0.00205612361733593,0.202549791830037
531063.78694287,4984593.9525786,0.00197152590847914,0.00205136212753988,0.204601153957577
530823.78694287,4983153.9525786,0.0148482923956931,0.00202946524248633,0.206630619200063
529383.78694287,4983873.9525786,0,0.00202717284643125,0.208657792046494
532023.78694287,4983873.9525786,0,0.00202559720019497,0.210683389246689
529383.78694287,4982913.9525786,0,0.00202211278462097,0.212705502031310
532023.78694287,4982913.9525786,0,0.00202054544315159,0.214726047474462
529623.78694287,4982433.9525786,0,0.00198164255897631,0.216707690033438
529863.78694287,4984593.9525786,0,0.00197388684324306,0.218681576876681
530343.78694287,4984833.9525786,0,0.00195658712491591,0.220638164001597
529863.78694287,4982193.9525786,0.000394305181695828,0.00193873413941716,0.222576898141014
530103.78694287,4984593.9525786,0.00252915797442799,0.00193714342480809,0.224514041565822
532023.78694287,4984113.9525786,0,0.00193432594521269,0.226448367511035
530103.78694287,4982193.9525786,0.00236583109017497,0.00193418976834547,0.228382557279381
532023.78694287,4982673.9525786,0,0.00192744475523122,0.230310002034612
530583.78694287,4982433.9525786,0.0080494296769852,0.00192201038672477,0.232232012421337
531063.78694287,4982433.9525786,0.00765512449528937,0.00189768095120608,0.234129693372543
530103.78694287,4984833.9525786,0,0.00188708835538805,0.236016781727931
529143.78694287,4983393.9525786,0,0.00188103063889275,0.237897812366823
532263.78694287,4983393.9525786,0,0.00187943271336809,0.239777245080192
529143.78694287,4983633.9525786,0,0.0018655645021838,0.241642809582375
532263.78694287,4983633.9525786,0,0.00186399234035681,0.243506801922732
532263.78694287,4983153.9525786,0,0.00186185655620475,0.245368658478937
531783.78694287,4982673.9525786,0.00433735699865411,0.00186058255396792,0.247229241032905
