"x","y","descape240","wolfuse","Prob","CumProb"
531063.78694287,4983633.9525786,0,0,0.00336809354169896,0.00336809354169896
531063.78694287,4983873.9525786,0,0,0.00329680207379707,0.00666489561549603
531303.78694287,4983633.9525786,0,0,0.00329463520341823,0.00995953081891426
531303.78694287,4983873.9525786,0,0,0.00324335818246363,0.0132028890013779
530823.78694287,4983633.9525786,0,0,0.00317927762361306,0.0163821666249910
531063.78694287,4983393.9525786,0,0,0.00317784505848026,0.0195600116834712
530823.78694287,4983873.9525786,0,0,0.00314287118714899,0.0227028828706202
531303.78694287,4983393.9525786,0,0,0.00314026347716269,0.0258431463477829
531063.78694287,4984113.9525786,0,0,0.00307713134437127,0.0289202776921542
531543.78694287,4983633.9525786,0,0,0.0030748745124132,0.0319951522045674
530823.78694287,4983393.9525786,0,0,0.00306034924248761,0.035055501447055
531303.78694287,4984113.9525786,0,0,0.00304684352346217,0.0381023449705171
531543.78694287,4983873.9525786,0,0,0.00304577917123296,0.0411481241417501
530823.78694287,4984113.9525786,0,0,0.00297947035426802,0.0441275944960181
531543.78694287,4983393.9525786,0,0,0.00297664488360616,0.0471042393796243
530583.78694287,4983633.9525786,0,0,0.00294133832947246,0.0500455777090968
530583.78694287,4983873.9525786,0,0,0.00291817647868742,0.0529637541877842
531303.78694287,4983153.9525786,0,0,0.00291561643916015,0.0558793706269443
531543.78694287,4984113.9525786,0,0,0.0029058845996554,0.0587852552265997
531063.78694287,4984353.9525786,0,0,0.00283134993139101,0.0616166051579908
531303.78694287,4984353.9525786,0,0,0.00281086432692052,0.0644274694849113
530583.78694287,4984113.9525786,0,0,0.00280134662653204,0.0672288161114433
531543.78694287,4983153.9525786,0,0,0.00279846295297971,0.070027279064423
530823.78694287,4984353.9525786,0,0,0.00276318251095956,0.0727904615753826
531783.78694287,4983393.9525786,0,0,0.00276044128395750,0.0755509028593401
531543.78694287,4984353.9525786,0,0,0.00270831567437383,0.078259218533714
530343.78694287,4983633.9525786,0,0,0.00269110514672292,0.0809503236804368
531783.78694287,4983633.9525786,0.00197152590847914,0,0.00268585681525616,0.083636180495693
530343.78694287,4983873.9525786,0,0,0.00267460873675030,0.0863107892324433
530583.78694287,4983393.9525786,0.00292346315612382,0,0.00264924691329147,0.0889600361457348
531063.78694287,4983153.9525786,0.00410637786002692,0,0.00263806013065142,0.0915980962763862
530583.78694287,4984353.9525786,0,0,0.00262643521897886,0.094224531495365
531783.78694287,4983153.9525786,0,0,0.00262354397037256,0.0968480754657376
530343.78694287,4984113.9525786,0,0,0.00258776659528175,0.0994358420610194
530343.78694287,4983393.9525786,0.000788610363391655,2.63730865758293e-05,0.00257859975301125,0.102014441814031
532023.78694287,4983633.9525786,0,0,0.00257812636172047,0.104592568175751
531303.78694287,4984593.9525786,0,0,0.00256530026332625,0.107157868439077
532023.78694287,4983873.9525786,0,0,0.00256368357381732,0.109721552012895
532023.78694287,4983393.9525786,0,0,0.00252714376094777,0.112248695773842
530583.78694287,4982913.9525786,0,3.98353638079715e-06,0.0025136670130775,0.11476236278692
532023.78694287,4984113.9525786,0,0,0.00248684281737417,0.117249205604294
530823.78694287,4984593.9525786,0.000788610363391655,0,0.0024776976047826,0.119726903209077
531063.78694287,4984593.9525786,0.00197152590847914,0,0.00244967607459450,0.122176579283671
531783.78694287,4982913.9525786,0,0,0.00244609935562672,0.124622678639298
530103.78694287,4983633.9525786,0,3.33702399276603e-05,0.00244137166153123,0.127064050300829
530103.78694287,4983873.9525786,0,0,0.00242939743894837,0.129493447739778
532023.78694287,4983153.9525786,0,0,0.00242085317825575,0.131914300918033
530343.78694287,4983153.9525786,0.00157722072678331,0.000457631306506398,0.00240584741214964,0.134320148330183
530103.78694287,4983393.9525786,0,0.000917896446513396,0.00238582138369939,0.136705969713882
530823.78694287,4982913.9525786,0.0038051564602961,0,0.00238083169517418,0.139086801409056
530343.78694287,4984353.9525786,0.00118291554508748,0,0.00237377062463763,0.141460572033694
530583.78694287,4984593.9525786,0.000788610363391655,0,0.00237376392690435,0.143834335960598
530103.78694287,4984113.9525786,0,0,0.00236270898569764,0.146197044946296
530343.78694287,4982913.9525786,0,0.00120005082786058,0.00233997587828445,0.148537020824581
532263.78694287,4983633.9525786,0,6.75537832198946e-05,0.00233096890315911,0.150867989727740
532263.78694287,4983873.9525786,0,0.000179974686861502,0.00231849909539719,0.153186488823137
530823.78694287,4982673.9525786,0.00134624242934051,0,0.00231293356571537,0.155499422388852
530583.78694287,4982673.9525786,0,5.0868357280983e-05,0.00230324540103323,0.157802667789885
532263.78694287,4983393.9525786,0,1.29212484935227e-06,0.00229256670156679,0.160095234491452
532023.78694287,4982913.9525786,0,0,0.00227601059589197,0.162371245087344
532263.78694287,4984113.9525786,0,0.000377215223592191,0.00225645459840520,0.164627699685749
530103.78694287,4983153.9525786,0,0.00415371972106592,0.00225301111692334,0.166880710802673
532263.78694287,4983153.9525786,0,0,0.00220877909046605,0.169089489893139
530103.78694287,4984353.9525786,0.000788610363391655,0,0.00220583134346718,0.171295321236606
529863.78694287,4983633.9525786,0,0.000287467548642839,0.00219720876024791,0.173492529996854
529863.78694287,4983873.9525786,0,5.76429047618362e-06,0.00219094362827818,0.175683473625132
532023.78694287,4984593.9525786,0.000394305181695828,0,0.0021824918620638,0.177865965487196
530823.78694287,4982433.9525786,0,0,0.00216491554945697,0.180030881036653
531783.78694287,4984833.9525786,0,0,0.00216178216629323,0.182192663202946
530343.78694287,4982673.9525786,0,0.00290502029514716,0.00214078630468657,0.184333449507633
529863.78694287,4984113.9525786,0,0,0.00213863980693784,0.186472089314571
529863.78694287,4983393.9525786,0,0.00287628455538581,0.00213256308622203,0.188604652400793
532023.78694287,4982673.9525786,0,0,0.00210873167867593,0.190713384079468
531063.78694287,4985073.9525786,0,0,0.00209780945775998,0.192811193537228
530343.78694287,4984833.9525786,0,0,0.00209352514916519,0.194904718686394
532263.78694287,4982913.9525786,0,0,0.00209091629151377,0.196995634977907
531303.78694287,4985073.9525786,0,0,0.00208879759153768,0.199084432569445
530103.78694287,4982913.9525786,0,0.00786197572069731,0.00208395741058753,0.201168389980033
531783.78694287,4984353.9525786,0.00775079912516824,0,0.00207888733352554,0.203247277313558
530823.78694287,4985073.9525786,0,0,0.00206716783449142,0.205314445148050
532503.78694287,4983633.9525786,0,0.00253755718134315,0.00206700287217624,0.207381448020226
532503.78694287,4983393.9525786,0,0.000734321476858925,0.00205668182066927,0.209438129840895
531543.78694287,4984593.9525786,0.00726081931359354,0,0.00205455894942693,0.211492688790322
532023.78694287,4984353.9525786,0.00545262028936743,0,0.00204555575153738,0.213538244541859
