"x","y","elkuse","wolfuse","Prob","CumProb"
530583.78694287,4983393.9525786,0.158308363093518,0,0.00296685600806032,0.00296685600806032
530343.78694287,4983393.9525786,0.126677441151294,2.63730865758293e-05,0.00288429811641532,0.00585115412447563
530823.78694287,4983393.9525786,0.176659120747935,0,0.00283271769863707,0.0086838718231127
530583.78694287,4983633.9525786,0.154411575858203,0,0.00281871184602838,0.0115025836691411
530583.78694287,4983153.9525786,0.154769977725331,0,0.00279718241212191,0.014299766081263
530343.78694287,4983633.9525786,0.126406377002659,0,0.00279417886853936,0.0170939449498024
530343.78694287,4983153.9525786,0.126236241613684,0.000457631306506398,0.00277589326835687,0.0198698382181592
530583.78694287,4983873.9525786,0.117638991336253,0,0.00277440537224755,0.0226442435904068
530343.78694287,4983873.9525786,0.0994001342241913,0,0.00275282502449825,0.0253970686149050
530823.78694287,4983633.9525786,0.168755595627365,0,0.00271915088519031,0.0281162195000953
530823.78694287,4983873.9525786,0.126488417998472,0,0.00271356683451455,0.0308297863346099
530823.78694287,4983153.9525786,0.173698340077832,0,0.00266792685985009,0.03349771319446
530103.78694287,4983633.9525786,0.102834098488094,3.33702399276603e-05,0.00266117141589295,0.0361588846103529
530103.78694287,4983873.9525786,0.0792145569096051,0,0.00265219239648221,0.0388110770068351
530103.78694287,4983393.9525786,0.112011776442180,0.000917896446513396,0.00264621230469329,0.0414572893115284
530583.78694287,4984113.9525786,0.089796652151716,0,0.00263915780135561,0.0440964471128840
530343.78694287,4984113.9525786,0.0739236548029091,0,0.00263881076098177,0.0467352578738658
530583.78694287,4982913.9525786,0.136389127701397,3.98353638079715e-06,0.00262723152699202,0.0493624894008578
530583.78694287,4984353.9525786,0.0415752597603749,0,0.00262270732169632,0.0519851967225542
530823.78694287,4984353.9525786,0.0437194720514368,0,0.00260846911006745,0.0545936658326216
530823.78694287,4984113.9525786,0.0957920474778664,0,0.00259978951903785,0.0571934553516594
530343.78694287,4984353.9525786,0.0367430480172852,0,0.00257211665331819,0.0597655720049776
530823.78694287,4982913.9525786,0.147416729706155,0,0.00255584915392282,0.0623214211589005
530103.78694287,4984113.9525786,0.0594843813341037,0,0.0025480437028276,0.064869464861728
530343.78694287,4982913.9525786,0.128686383293885,0.00120005082786058,0.00252611312416031,0.0673955779858884
530103.78694287,4983153.9525786,0.114682255965340,0.00415371972106592,0.00251860037114463,0.069914178357033
531063.78694287,4984353.9525786,0.048876122610178,0,0.00249497945651515,0.0724091578135481
529863.78694287,4983873.9525786,0.06356707771495,5.76429047618362e-06,0.00247877795347434,0.0748879357670225
529863.78694287,4983633.9525786,0.083517038178844,0.000287467548642839,0.00247474199438001,0.0773626777614025
531063.78694287,4983873.9525786,0.142426896808996,0,0.00247280173777187,0.0798354794991744
530103.78694287,4984353.9525786,0.0311251751450846,0,0.00245922438069117,0.0822947038798655
531063.78694287,4983393.9525786,0.194028907900094,0,0.00243882780613168,0.0847335316859972
531063.78694287,4983633.9525786,0.183016322977223,0,0.00242635620672746,0.0871598878927247
531063.78694287,4984113.9525786,0.108720503559076,0,0.00241957320880014,0.0895794611015248
529863.78694287,4984113.9525786,0.0484454874150582,0,0.00238755417150461,0.0919670152730294
530583.78694287,4984593.9525786,0.0278776729812788,0,0.00238077195509685,0.0943477872281263
529863.78694287,4983393.9525786,0.100391319834476,0.00287628455538581,0.002379288165194,0.0967270753933203
530823.78694287,4984593.9525786,0.0291616916883604,0,0.00237295590878683,0.0991000313021071
531303.78694287,4984353.9525786,0.0462261606116895,0,0.00236753003408495,0.101467561336192
531303.78694287,4983873.9525786,0.124701676282639,0,0.00236745111442580,0.103835012450618
531303.78694287,4983633.9525786,0.153962809573905,0,0.00234260352599991,0.106177615976618
529623.78694287,4983873.9525786,0.0393138793071483,0.000159956645130821,0.00233794527195321,0.108515561248571
531303.78694287,4984113.9525786,0.0950486728215884,0,0.00233143059846953,0.110846991847041
531063.78694287,4983153.9525786,0.198994003356161,0,0.00232168555408917,0.113168677401130
531063.78694287,4984593.9525786,0.0276892609887664,0,0.00231957793404263,0.115488255335172
531303.78694287,4983393.9525786,0.169824689625656,0,0.00230211070979158,0.117790366044964
529623.78694287,4983633.9525786,0.0591357289290529,0.00149316199688697,0.00230185442484209,0.120092220469806
530343.78694287,4984593.9525786,0.0325617511065298,0,0.00229241075212103,0.122384631221927
529863.78694287,4984353.9525786,0.0272649702197151,0,0.00229152099739274,0.124676152219320
530583.78694287,4982673.9525786,0.144323909306359,5.0868357280983e-05,0.00228507641685807,0.126961228636178
530823.78694287,4982673.9525786,0.150665279573348,0,0.00224969150883977,0.129210920145018
