"x","y","descape240","rghasp240","elkuse","Prob","CumProb"
530103.78694287,4984353.9525786,0.000788610363391655,0.913909873374123,0.0311251751450846,0.00475812236130603,0.00475812236130603
532263.78694287,4984113.9525786,0,0.958683855788045,0.0411782092793977,0.00418852012313268,0.00894664248443871
530343.78694287,4984353.9525786,0.00118291554508748,0.822730481181196,0.0367430480172852,0.00382239448268145,0.0127690369671202
530343.78694287,4984113.9525786,0,0.780380990219688,0.0739236548029091,0.00354565776729907,0.0163146947344192
532023.78694287,4984113.9525786,0,0.855791668576837,0.0430862226623301,0.00349777986525355,0.0198124745996728
531543.78694287,4983873.9525786,0,0.805100561478213,0.112211829583442,0.00329111968264955,0.0231035942823223
531543.78694287,4984353.9525786,0,0.774644405786655,0.040752637983984,0.00312642160718392,0.0262300158895063
529863.78694287,4984113.9525786,0,0.744998383442587,0.0484454874150582,0.00304524995515806,0.0292752658446643
531303.78694287,4984593.9525786,0,0.759384487205582,0.0223914323985643,0.00303905653003197,0.0323143223746963
530343.78694287,4984593.9525786,0.00814510430686407,0.829277198961719,0.0325617511065298,0.00298462961570386,0.0352989519904001
529863.78694287,4983393.9525786,0,0.738778607645087,0.100391319834476,0.00296822416090827,0.0382671761513084
530343.78694287,4983393.9525786,0.000788610363391655,0.704054480404072,0.126677441151294,0.00293724404058408,0.0412044201918925
529623.78694287,4984833.9525786,0,0.821471951499562,0.0297462810756937,0.00289635172038919,0.0441007719122817
530103.78694287,4983633.9525786,0,0.703984233833423,0.102834098488094,0.00288611942631931,0.046986891338601
530823.78694287,4984593.9525786,0.000788610363391655,0.73184848802102,0.0291616916883604,0.00288566795085682,0.0498725592894578
530343.78694287,4982913.9525786,0,0.713451764630948,0.128686383293885,0.00283934018498415,0.052711899474442
529863.78694287,4983633.9525786,0,0.712393470501164,0.083517038178844,0.0028360279324763,0.0555479274069183
530103.78694287,4984593.9525786,0.00252915797442799,0.763999096038242,0.0322143792278415,0.00281989924685895,0.0583678266537772
531543.78694287,4984113.9525786,0,0.74293168994348,0.084509678932723,0.00281123645673902,0.0611790631105162
529863.78694287,4984833.9525786,0,0.793022090386551,0.0403572172638317,0.00278939691718550,0.0639684600277017
531303.78694287,4984353.9525786,0,0.712874035825607,0.0462261606116895,0.00278553498760682,0.0667539950153085
530583.78694287,4984593.9525786,0.000788610363391655,0.713375609470243,0.0278776729812788,0.00275723592562145,0.06951123094093
529623.78694287,4985073.9525786,0,0.85719069139977,0.058026676687678,0.00274593339006459,0.0722571643309946
531783.78694287,4983393.9525786,0,0.748634135856198,0.110109292604904,0.00272921016651387,0.0749863744975084
530583.78694287,4984113.9525786,0,0.677811805931467,0.089796652151716,0.00269543256138469,0.0776818070588931
531783.78694287,4984113.9525786,0.0115305265814266,0.848064545805402,0.0550392086840665,0.00268245692790697,0.0803642639868001
531063.78694287,4984113.9525786,0,0.700946562035341,0.108720503559076,0.00268208591458707,0.0830463499013872
529383.78694287,4983873.9525786,0,0.733428707605628,0.0387979144916938,0.00267241170011899,0.0857187616015062
531303.78694287,4984113.9525786,0,0.706339135225193,0.0950486728215884,0.00266616524140667,0.0883849268429128
532023.78694287,4983873.9525786,0,0.752397251210987,0.0658096868158178,0.00265474877443477,0.0910396756173476
531783.78694287,4983153.9525786,0,0.754567673291052,0.126270088253673,0.00265256267177719,0.0936922382891248
531543.78694287,4983393.9525786,0,0.725092343548561,0.142658788492088,0.00262430326817389,0.0963165415572987
531783.78694287,4984353.9525786,0.00775079912516824,0.802072737330222,0.0288215955276406,0.00261373175385967,0.0989302733111583
529623.78694287,4983633.9525786,0,0.694230464673252,0.0591357289290529,0.00260596115547253,0.101536234466631
529863.78694287,4983873.9525786,0,0.677208473235889,0.06356707771495,0.00260571356674150,0.104141948033372
532743.78694287,4982193.9525786,0,0.924443576421503,0.0841192057007893,0.00259467931540567,0.106736627348778
530583.78694287,4983873.9525786,0,0.654659980567435,0.117638991336253,0.00258682193522102,0.109323449283999
530823.78694287,4985313.9525786,0,0.800357276684363,0.0315037161995499,0.00258519514293443,0.111908644426933
531063.78694287,4984593.9525786,0.00197152590847914,0.707235271383478,0.0276892609887664,0.00258137167218356,0.114490016099117
530823.78694287,4985073.9525786,0,0.750697546805274,0.0223825851255146,0.00257272936208926,0.117062745461206
532023.78694287,4983153.9525786,0,0.77353621689641,0.119967512114893,0.00257157298305082,0.119634318444257
530103.78694287,4982913.9525786,0,0.700112137817627,0.134231498986401,0.00256255938507728,0.122196877829334
529863.78694287,4983153.9525786,0,0.691904449721749,0.108006813832110,0.00255242480966953,0.124749302639004
530103.78694287,4984113.9525786,0,0.658336436601423,0.0594843813341037,0.00253127631413802,0.127280578953142
529383.78694287,4984113.9525786,0.00197152590847914,0.739037929097484,0.0289212146580654,0.00252118878558495,0.129801767738727
530823.78694287,4983873.9525786,0,0.65041695639821,0.126488417998472,0.00251192260769835,0.132313690346425
530343.78694287,4983633.9525786,0,0.641121431222275,0.126406377002659,0.00249656995058722,0.134810260297013
530823.78694287,4984113.9525786,0,0.652859173620787,0.0957920474778664,0.00249425784487921,0.137304518141892
529623.78694287,4984113.9525786,0.00118291554508748,0.696246606901891,0.0315517068352702,0.00249324575169266,0.139797763893584
531543.78694287,4983633.9525786,0,0.699194336829142,0.133804385238778,0.00246967701999091,0.142267440913575
530103.78694287,4983393.9525786,0,0.645077560518848,0.112011776442180,0.00246319878532948,0.144730639698905
530343.78694287,4984833.9525786,0,0.704160835025056,0.0273546943737027,0.00245637076757662,0.147187010466481
530823.78694287,4982433.9525786,0,0.742483950119341,0.175406824171196,0.00244449484249639,0.149631505308978
531783.78694287,4984833.9525786,0,0.756728247721026,0.0325648069080765,0.00243052274546096,0.152062028054439
530343.78694287,4983153.9525786,0.00157722072678331,0.644847782016724,0.126236241613684,0.00241213371889660,0.154474161773335
529863.78694287,4982913.9525786,0,0.706916864030534,0.139036412235673,0.00240470958411164,0.156878871357447
530103.78694287,4982673.9525786,0,0.71308214949753,0.153163324580654,0.00239855001190864,0.159277421369356
530823.78694287,4983393.9525786,0,0.634755910203428,0.176659120747935,0.00239651811080279,0.161673939480158
530103.78694287,4983153.9525786,0,0.639354762795943,0.114682255965340,0.00237464234190332,0.164048581822062
529863.78694287,4982673.9525786,0,0.74039821783006,0.162255032651225,0.00237253463311764,0.166421116455179
530583.78694287,4983393.9525786,0.00292346315612382,0.645951375336927,0.158308363093518,0.00237205381134395,0.168793170266523
531303.78694287,4983873.9525786,0,0.660589578942252,0.124701676282639,0.00236401233236112,0.171157182598884
531063.78694287,4984353.9525786,0,0.634392203660066,0.048876122610178,0.00235209639049664,0.173509278989381
