"x","y","descape240","rghasp240","amuse","Prob","CumProb"
532263.78694287,4984113.9525786,0,0.958683855788045,0.569166723216608,0.0050402658008685,0.0050402658008685
530103.78694287,4984353.9525786,0.000788610363391655,0.913909873374123,0.477487958785095,0.00465124857723149,0.00969151437809998
531543.78694287,4983873.9525786,0,0.805100561478213,0.59681003416924,0.00412568612708538,0.0138172005051854
532023.78694287,4984113.9525786,0,0.855791668576837,0.58259553638567,0.00389182258303642,0.0177090230882218
530343.78694287,4984353.9525786,0.00118291554508748,0.822730481181196,0.50990970706869,0.00358056055182347,0.0212895836400452
530343.78694287,4984113.9525786,0,0.780380990219688,0.518975479814809,0.00336470946384549,0.0246542931038907
531543.78694287,4984353.9525786,0,0.774644405786655,0.590698717996492,0.00322735414241543,0.0278816472463062
531783.78694287,4984113.9525786,0.0115305265814266,0.848064545805402,0.595655238610025,0.00313889399397907,0.0310205412402852
531543.78694287,4984113.9525786,0,0.74293168994348,0.59933418818539,0.00312432179146441,0.0341448630317496
531543.78694287,4983393.9525786,0,0.725092343548561,0.570193643995828,0.00312262366575324,0.0372674866975029
531783.78694287,4983393.9525786,0,0.748634135856198,0.567945636743837,0.00309265026778956,0.0403601369652924
532743.78694287,4982193.9525786,0,0.924443576421503,0.397887869508102,0.00307974388396303,0.0434398808492555
531783.78694287,4983153.9525786,0,0.754567673291052,0.542450308291973,0.00304947661829014,0.0464893574675456
532023.78694287,4983153.9525786,0,0.77353621689641,0.532986397810595,0.00298715808104021,0.0494765155485858
531063.78694287,4984113.9525786,0,0.700946562035341,0.58467644346503,0.00294951749820537,0.0524260330467912
531303.78694287,4984113.9525786,0,0.706339135225193,0.596475833823978,0.00293008607987843,0.0553561191266696
531543.78694287,4983633.9525786,0,0.699194336829142,0.589280327798761,0.00291407586031429,0.0582701949869839
531303.78694287,4984593.9525786,0,0.759384487205582,0.575352567635364,0.00291325493308745,0.0611834499200714
530343.78694287,4984593.9525786,0.00814510430686407,0.829277198961719,0.497625490856757,0.00288224257453022,0.0640656924946016
529623.78694287,4985073.9525786,0,0.85719069139977,0.351083150379565,0.00283550448302226,0.0669011969776238
532023.78694287,4983873.9525786,0,0.752397251210987,0.580101193667923,0.00282649389507855,0.0697276908727024
531303.78694287,4983153.9525786,0,0.691257130855765,0.539083592841993,0.00279700118768313,0.0725246920603855
531783.78694287,4984353.9525786,0.00775079912516824,0.802072737330222,0.587579907027974,0.00274790264170027,0.0752725947020858
531303.78694287,4984353.9525786,0,0.712874035825607,0.587620701436316,0.00273498258046417,0.07800757728255
531303.78694287,4983873.9525786,0,0.660589578942252,0.593904609336663,0.00271934421331491,0.0807269214958649
530823.78694287,4982433.9525786,0,0.742483950119341,0.407494952672603,0.00268991086929546,0.0834168323651603
531063.78694287,4983873.9525786,0,0.645682862744444,0.582046773142687,0.00267356073415296,0.0860903930993133
530343.78694287,4983393.9525786,0.000788610363391655,0.704054480404072,0.490274652276701,0.00266750754342336,0.0887579006427367
530823.78694287,4984593.9525786,0.000788610363391655,0.73184848802102,0.543353276830463,0.00264407671865581,0.0914019773613925
529623.78694287,4984833.9525786,0,0.821471951499562,0.38373017009307,0.00264020160057017,0.0940421789619627
531063.78694287,4983153.9525786,0.00410637786002692,0.694923082729655,0.526215702787631,0.00262918501712738,0.09667136397909
530823.78694287,4985313.9525786,0,0.800357276684363,0.449237046500526,0.00262118770336447,0.0992925516824545
530823.78694287,4983873.9525786,0,0.65041695639821,0.562343466167511,0.0026047737540463,0.101897325436501
530343.78694287,4982913.9525786,0,0.713451764630948,0.442068213742302,0.00258796826512431,0.104485293701625
529863.78694287,4983393.9525786,0,0.738778607645087,0.439030207082615,0.00256850154380108,0.107053795245426
529863.78694287,4984833.9525786,0,0.793022090386551,0.417043197748149,0.00256199956618665,0.109615794811613
529863.78694287,4984113.9525786,0,0.744998383442587,0.464122298498177,0.00251648351708972,0.112132278328703
530583.78694287,4984113.9525786,0,0.677811805931467,0.54817329307762,0.00251553606757256,0.114647814396275
530103.78694287,4983633.9525786,0,0.703984233833423,0.477902571185262,0.00251521108247469,0.117163025478750
531543.78694287,4983153.9525786,0,0.674921192374744,0.543275610553043,0.00250020627732173,0.119663231756072
530103.78694287,4984593.9525786,0.00252915797442799,0.763999096038242,0.465403792075608,0.00248887536043352,0.122152107116505
532263.78694287,4982913.9525786,0,0.761585108745926,0.504707243243328,0.00248500700679590,0.124637114123301
531063.78694287,4983393.9525786,0,0.630025099099693,0.554258328237301,0.00248304131690062,0.127120155440202
530823.78694287,4983393.9525786,0,0.634755910203428,0.53459973820973,0.00245550584653341,0.129575661286735
530583.78694287,4983873.9525786,0,0.654659980567435,0.545671889789199,0.0024485193656332,0.132024180652368
530823.78694287,4984113.9525786,0,0.652859173620787,0.564937049128628,0.00244674681564271,0.134470927468011
531303.78694287,4983633.9525786,0,0.619914385449223,0.586192504890426,0.00243134317225775,0.136902270640269
530823.78694287,4985073.9525786,0,0.750697546805274,0.478242655339419,0.00243032578007117,0.139332596420340
531783.78694287,4983633.9525786,0.00197152590847914,0.689045348645318,0.586040702620923,0.00242426869770768,0.141756865118047
531783.78694287,4984833.9525786,0,0.756728247721026,0.551088916512282,0.00241737687925508,0.144174241997303
530583.78694287,4984593.9525786,0.000788610363391655,0.713375609470243,0.526653458169453,0.00239822583262730,0.146572467829930
531063.78694287,4984593.9525786,0.00197152590847914,0.707235271383478,0.5631601388422,0.00236538878725936,0.148937856617189
529863.78694287,4982673.9525786,0,0.74039821783006,0.361929246021270,0.00235083752495557,0.151288694142145
529863.78694287,4983633.9525786,0,0.712393470501164,0.45626780587667,0.00234332651519699,0.153632020657342
532023.78694287,4984353.9525786,0.00545262028936743,0.761608743106144,0.575421212072478,0.00233205217492184,0.155964072832264
530103.78694287,4982913.9525786,0,0.700112137817627,0.41373571264105,0.00231918397846588,0.158283256810729
530103.78694287,4982673.9525786,0,0.71308214949753,0.37974361498865,0.00231227306358918,0.160595529874319
530823.78694287,4983633.9525786,0,0.608469971721422,0.554494465100972,0.00230480385943177,0.162900333733750
532503.78694287,4982193.9525786,0,0.815756375386723,0.411000918266442,0.00229722744427409,0.165197561178025
531783.78694287,4982913.9525786,0,0.685483125352386,0.522175095092158,0.00225341921583937,0.167450980393864
531303.78694287,4983393.9525786,0,0.609719835470977,0.566642569200457,0.00224827927803534,0.169699259671899
532023.78694287,4983633.9525786,0,0.681093699451807,0.573379138131828,0.00223748410058156,0.171936743772481
532263.78694287,4982433.9525786,0,0.761895637978797,0.443071991539867,0.00223183867538826,0.174168582447869
529863.78694287,4985073.9525786,0,0.769639173500383,0.383013404493426,0.00222872667273968,0.176397309120609
530103.78694287,4982433.9525786,0,0.719260565164648,0.343333350331003,0.00222845694269029,0.178625766063299
530583.78694287,4983393.9525786,0.00292346315612382,0.645951375336927,0.518253340336373,0.00222533083265137,0.180851096895950
