"x","y","slope240","descape240","amuse","Prob","CumProb"
530103.78694287,4984353.9525786,0.836448713156003,0.000788610363391655,0.477487958785095,0.00387492108873122,0.00387492108873122
531543.78694287,4983393.9525786,0.766355140186916,0,0.570193643995828,0.00381822853565191,0.00769314962438313
531783.78694287,4983153.9525786,0.8274622573688,0,0.542450308291973,0.00377696400219995,0.0114701136265831
531543.78694287,4984353.9525786,0.863048281811646,0,0.590698717996492,0.00359514526942762,0.0150652588960107
532263.78694287,4984113.9525786,0.97591672178289,0,0.569166723216608,0.00348395715446123,0.0185492160504719
530103.78694287,4982913.9525786,0.618979151689432,0,0.41373571264105,0.0033686209287813,0.0219178369792532
531063.78694287,4984113.9525786,0.682242990654206,0,0.58467644346503,0.00335300964403938,0.0252708466232926
531303.78694287,4984593.9525786,0.804097886412653,0,0.575352567635364,0.00317810984219176,0.0284489564654844
530103.78694287,4983153.9525786,0.554637066858375,0,0.434130955542332,0.00316185537539172,0.0316108118408761
531543.78694287,4983633.9525786,0.650970639827462,0,0.589280327798761,0.00306490686813554,0.0346757187090116
529623.78694287,4984833.9525786,0.853702487419123,0,0.38373017009307,0.00302801866833104,0.0377037373773427
529863.78694287,4983393.9525786,0.578361006470165,0,0.439030207082615,0.00300566791281082,0.0407094052901535
530103.78694287,4984113.9525786,0.613227893601725,0,0.486613354128021,0.00296838556000911,0.0436777908501626
531063.78694287,4984593.9525786,0.753414809489576,0.00197152590847914,0.5631601388422,0.00293485542384556,0.0466126462740082
530343.78694287,4982913.9525786,0.498562300503235,0,0.442068213742302,0.00291937137751926,0.0495320176515274
529863.78694287,4984113.9525786,0.643781567217829,0,0.464122298498177,0.00291397833991303,0.0524459959914404
530823.78694287,4984113.9525786,0.557872034507549,0,0.564937049128628,0.00285012203495201,0.0552961180263924
530103.78694287,4982673.9525786,0.551042530553559,0,0.37974361498865,0.0028284786935545,0.058124596719947
530343.78694287,4984113.9525786,0.553918159597412,0,0.518975479814809,0.00280825843024610,0.0609328551501931
530583.78694287,4985073.9525786,0.797627721063983,0,0.462081793573233,0.00280518337282915,0.0637380385230222
529863.78694287,4982913.9525786,0.558950510424155,0,0.394717281021304,0.00280350749911783,0.06654154602214
530823.78694287,4984593.9525786,0.683680805176132,0.000788610363391655,0.543353276830463,0.00278183962748848,0.0693233856496285
532023.78694287,4982913.9525786,0.726096333572969,0,0.514258234096359,0.00278160714166883,0.0721049927912974
530343.78694287,4984353.9525786,0.622214349388929,0.00118291554508748,0.50990970706869,0.00277117410023638,0.0748761668915337
529143.78694287,4984113.9525786,0.761682358015816,0,0.376004062181661,0.00272003621990482,0.0775962031114385
529863.78694287,4982673.9525786,0.570453026599569,0,0.361929246021270,0.00271967276438852,0.080315875875827
530103.78694287,4983633.9525786,0.474119453630482,0,0.477902571185262,0.00269954472981938,0.0830154206056464
530103.78694287,4983393.9525786,0.451473759884975,0,0.459812604609219,0.00267724606695513,0.0856926666726016
530343.78694287,4985073.9525786,0.765636232925953,0,0.43445809531692,0.00265239316614695,0.0883450598387485
530583.78694287,4984593.9525786,0.649173256649892,0.000788610363391655,0.526653458169453,0.00265081549116037,0.0909958753299089
531543.78694287,4983153.9525786,0.543493889288282,0,0.543275610553043,0.00262233167019523,0.0936182070001041
529863.78694287,4984833.9525786,0.731488253055356,0,0.417043197748149,0.00259927424952931,0.0962174812496334
530343.78694287,4984593.9525786,0.744069015097052,0.00814510430686407,0.497625490856757,0.00258939179074203,0.0988068730403755
530343.78694287,4982673.9525786,0.465492566498922,0,0.406564526359268,0.00256683456742146,0.101373707607797
531783.78694287,4983393.9525786,0.594536304816679,0,0.567945636743837,0.00255144466621221,0.103925152274009
530343.78694287,4983393.9525786,0.383896477354421,0.000788610363391655,0.490274652276701,0.00254983159512311,0.106474983869132
530583.78694287,4982673.9525786,0.446441409058231,0,0.43201906040279,0.00253521897497859,0.109010202844111
530583.78694287,4984113.9525786,0.479870711718188,0,0.54817329307762,0.00252469450808911,0.1115348973522
530823.78694287,4983873.9525786,0.420920316319195,0,0.562343466167511,0.00251547333503424,0.114050370687234
531783.78694287,4984353.9525786,0.811286959022286,0.00775079912516824,0.587579907027974,0.00251288541152977,0.116563256098764
530103.78694287,4984593.9525786,0.660675772825306,0.00252915797442799,0.465403792075608,0.00250612910453263,0.119069385203297
529383.78694287,4985073.9525786,0.82925964054637,0,0.319610225118451,0.00250391024715977,0.121573295450456
530823.78694287,4985313.9525786,0.801941164629763,0,0.449237046500526,0.00249910274598571,0.124072398196442
531303.78694287,4983153.9525786,0.451114421279655,0,0.539083592841993,0.00249898744656644,0.126571385643008
530103.78694287,4983873.9525786,0.461179122933142,0,0.484833305810183,0.00249087614196968,0.129062261784978
529863.78694287,4983153.9525786,0.467289719626168,0,0.414364887938937,0.00248749346087894,0.131549755245857
529623.78694287,4983633.9525786,0.536304816678648,0,0.424008450718590,0.00248578425593358,0.134035539501791
531303.78694287,4984113.9525786,0.544572365204889,0,0.596475833823978,0.00248102060092176,0.136516560102712
529623.78694287,4984113.9525786,0.607117296908699,0.00118291554508748,0.430177428218512,0.00246577075754737,0.138982330860260
529863.78694287,4983633.9525786,0.471962731847592,0,0.45626780587667,0.00245192514671500,0.141434256006975
531543.78694287,4983873.9525786,0.546369518332135,0,0.59681003416924,0.00244944907665517,0.14388370508363
530823.78694287,4982433.9525786,0.482746340762042,0,0.407494952672603,0.00244307306703636,0.146326778150666
530343.78694287,4983633.9525786,0.364845549964055,0,0.509325640972335,0.00242044973801873,0.148747227888685
529863.78694287,4982433.9525786,0.539180445722502,0,0.326805495791312,0.00241743324299182,0.151164661131677
532023.78694287,4984113.9525786,0.694105075485262,0,0.58259553638567,0.00241412564945005,0.153578786781127
529383.78694287,4983873.9525786,0.598849748382459,0,0.397763132759518,0.00241095463627495,0.155989741417402
530343.78694287,4984833.9525786,0.646657196261682,0,0.4705070156576,0.00240830397376915,0.158398045391171
529863.78694287,4983873.9525786,0.487419122933142,0,0.462769806960075,0.00239880252134955,0.160796847912521
530823.78694287,4984353.9525786,0.515456506110712,0,0.555869707366803,0.00238616849032577,0.163183016402846
528903.78694287,4984593.9525786,0.810568051761323,0,0.322691615062394,0.00238388227161476,0.165566898674461
530823.78694287,4985073.9525786,0.705966930265996,0,0.478242655339419,0.00238228777691114,0.167949186451372
532263.78694287,4982433.9525786,0.744787922358016,0,0.443071991539867,0.00238040365029578,0.170329590101668
528903.78694287,4984353.9525786,0.77138749101366,0,0.33473008418946,0.00237418556365843,0.172703775665326
529623.78694287,4985073.9525786,0.760603882099209,0,0.351083150379565,0.00236848273196456,0.175072258397291
529863.78694287,4982193.9525786,0.570453026599569,0.000394305181695828,0.302915231180735,0.00232011495735075,0.177392373354642
532023.78694287,4982193.9525786,0.705966930265996,0,0.424130441689689,0.00231279223570982,0.179705165590352
530583.78694287,4984353.9525786,0.487419122933142,0,0.539107128077575,0.00229875566470033,0.182003921255052
531063.78694287,4984353.9525786,0.510783723939612,0,0.575653426396885,0.00227518961432291,0.184279110869375
530823.78694287,4982913.9525786,0.383896477354421,0.0038051564602961,0.484391235635171,0.00224364422209128,0.186522755091466
531303.78694287,4984353.9525786,0.537023723939612,0,0.587620701436316,0.00223943386904789,0.188762188960514
531303.78694287,4985073.9525786,0.712437095614666,0,0.511213166865997,0.00223844190198360,0.191000630862498
530103.78694287,4985313.9525786,0.740115140186916,0,0.377177568253164,0.00223700713627817,0.193237637998776
530343.78694287,4985313.9525786,0.726096333572969,0,0.406539814361907,0.00221853184124976,0.195456169840025
530583.78694287,4983873.9525786,0.339324227174694,0,0.545671889789199,0.00221482784736658,0.197670997687392
531303.78694287,4983633.9525786,0.393242271746945,0,0.586192504890426,0.00221206202344067,0.199883059710833
529863.78694287,4984593.9525786,0.580517728253055,0,0.442955492123737,0.00221108176027576,0.202094141471109
532023.78694287,4983153.9525786,0.576204284687275,0,0.532986397810595,0.00221108074282220,0.204305222213931
531783.78694287,4984833.9525786,0.723220704529116,0,0.551088916512282,0.00220655920361538,0.206511781417546
529623.78694287,4982913.9525786,0.469446441409058,0,0.367169483899741,0.0022057546329653,0.208717536050511
529143.78694287,4985313.9525786,0.85118619698059,0,0.276453859759023,0.00219778077135568,0.210915316821867
528903.78694287,4984833.9525786,0.80158159597412,0,0.298994927764478,0.00219743767058175,0.213112754492449
530823.78694287,4985553.9525786,0.784327821710999,0,0.401384421007708,0.00218285288169397,0.215295607374143
530583.78694287,4985313.9525786,0.710999281092739,0,0.433406462540338,0.00216482155432996,0.217460428928473
531783.78694287,4984113.9525786,0.733285406182602,0.0115305265814266,0.595655238610025,0.00216127663949782,0.219621705567971
529623.78694287,4983153.9525786,0.437095614665708,0,0.385504452278191,0.00214798435841978,0.221769689926390
530823.78694287,4983393.9525786,0.231847706685838,0,0.53459973820973,0.00214135239805683,0.223911042324447
531783.78694287,4983633.9525786,0.530913127246585,0.00197152590847914,0.586040702620923,0.00213816245457938,0.226049204779027
532263.78694287,4982193.9525786,0.715312724658519,0,0.420466790017451,0.00212867308952679,0.228177877868553
530823.78694287,4983633.9525786,0.263838964773544,0,0.554494465100972,0.00212518976998098,0.230303067638534
529383.78694287,4984113.9525786,0.580158159597412,0.00197152590847914,0.397092378545436,0.00211846519247747,0.232421532831012
530583.78694287,4983633.9525786,0.255571646297628,0,0.537938211377011,0.00211663934833418,0.234538172179346
531063.78694287,4982433.9525786,0.524083393242272,0.00765512449528937,0.426609486504308,0.00209715047579243,0.236635322655138
531783.78694287,4982913.9525786,0.489935413371675,0,0.522175095092158,0.00208582932921290,0.238721151984351
531543.78694287,4984113.9525786,0.488856937455068,0,0.59933418818539,0.00207604043734568,0.240797192421697
530103.78694287,4982433.9525786,0.409777138749101,0,0.343333350331003,0.00207025323861648,0.242867445660313
530583.78694287,4983393.9525786,0.246944759166068,0.00292346315612382,0.518253340336373,0.00206862440573854,0.244936070066052
531063.78694287,4985073.9525786,0.639108554996406,0,0.497958122186314,0.00206678927168453,0.247002859337736
529383.78694287,4985313.9525786,0.768152523364486,0,0.295997401709992,0.00205327079584123,0.249056130133578
529623.78694287,4983873.9525786,0.443925348670022,0,0.429671812907429,0.00204447536981802,0.251100605503396
529623.78694287,4983393.9525786,0.405463695183321,0,0.408342221153548,0.00203812506122346,0.253138730564619
531063.78694287,4985313.9525786,0.695902228612509,0,0.468829737868469,0.00203389947956631,0.255172630044185
530823.78694287,4982673.9525786,0.337886412652768,0.00134624242934051,0.447389922761279,0.00202726206666191,0.257199892110847
531063.78694287,4983873.9525786,0.326024557872034,0,0.582046773142687,0.00202475918453602,0.259224651295383
531063.78694287,4983153.9525786,0.322789360172538,0.00410637786002692,0.526215702787631,0.00201635847301083,0.261241009768394
529863.78694287,4985073.9525786,0.630481667864845,0,0.383013404493426,0.00199545489965838,0.263236464668053
531063.78694287,4985553.9525786,0.744428583752696,0,0.42066762402775,0.00198862057936108,0.265225085247414
529623.78694287,4982673.9525786,0.432422832494608,0,0.336454785478289,0.00198807756681611,0.26721316281423
528663.78694287,4984353.9525786,0.725377426312006,0,0.306394170479048,0.00197965049003507,0.269192813304265
529143.78694287,4984353.9525786,0.604601006470165,0,0.365453569098863,0.00197714573171336,0.271169959035978
530343.78694287,4983153.9525786,0.252696017253774,0.00157722072678331,0.463361718134958,0.00197566281151286,0.273145621847491
530583.78694287,4982913.9525786,0.248382573687994,0,0.468588109449829,0.00197529752867629,0.275120919376167
531063.78694287,4982913.9525786,0.507548526240115,0.0155218455585464,0.503975297416733,0.00197199786618724,0.277092917242355
530343.78694287,4983873.9525786,0.284687275341481,0,0.516756891607296,0.00196240404642942,0.279055321288784
530343.78694287,4982433.9525786,0.370956146657081,0.00118291554508748,0.368484240610127,0.00195805890883079,0.281013380197615
531303.78694287,4983873.9525786,0.355140186915888,0,0.593904609336663,0.00195588149333720,0.282969261690952
531783.78694287,4985073.9525786,0.702372393961179,0,0.517098544777159,0.00195031229930284,0.284919573990255
530583.78694287,4985553.9525786,0.711718188353702,0,0.386182737767659,0.00194930232727094,0.286868876317526
529143.78694287,4983153.9525786,0.517253889288282,0.000788610363391655,0.34289810537431,0.00194001592737471,0.288808892244901
532023.78694287,4981953.9525786,0.643781567217829,0,0.386842783449552,0.00193942006852659,0.290748312313427
532743.78694287,4982193.9525786,0.782530668583753,0,0.397887869508102,0.00192952919122493,0.292677841504652
532023.78694287,4982433.9525786,0.556074881380302,0,0.448259549716028,0.00192460133497365,0.294602442839626
530103.78694287,4985073.9525786,0.683680805176132,0.00696218876177658,0.404078813227901,0.00192161723055935,0.296524060070185
529383.78694287,4983153.9525786,0.429187634795111,0,0.358840207125763,0.00191159006387064,0.298435650134056
532023.78694287,4982673.9525786,0.523005147375989,0,0.482750437461191,0.00191127039619866,0.300346920530254
532263.78694287,4984833.9525786,0.742271861969806,0.000394305181695828,0.532431358504791,0.00190752117910736,0.302254441709362
532263.78694287,4982673.9525786,0.582314881380302,0,0.475298397368133,0.00189210767840865,0.304146549387770
532023.78694287,4984353.9525786,0.664270309130122,0.00545262028936743,0.575421212072478,0.00189146315741590,0.306038012545186
528663.78694287,4985073.9525786,0.808770668583753,0,0.242241864555504,0.00189131470160849,0.307929327246795
