"x","y","descape240","amuse","Prob","CumProb"
531063.78694287,4983633.9525786,0,0.574184043188726,0.00337113971466458,0.00337113971466458
531063.78694287,4983873.9525786,0,0.582046773142687,0.00324502889425901,0.00661616860892359
531303.78694287,4983633.9525786,0,0.586192504890426,0.0032311988548959,0.00984736746381949
530823.78694287,4983633.9525786,0,0.554494465100972,0.00314282959978568,0.0129901970636052
531063.78694287,4983393.9525786,0,0.554258328237301,0.00314121316123685,0.016131410224842
531303.78694287,4983873.9525786,0,0.593904609336663,0.0031401924111701,0.0192716026360121
530823.78694287,4983873.9525786,0,0.562343466167511,0.00307477013427656,0.0223463727702887
531303.78694287,4983393.9525786,0,0.566642569200457,0.00306070550741326,0.0254070782777019
530823.78694287,4983393.9525786,0,0.53459973820973,0.00302619952520349,0.0284332778029054
531063.78694287,4984113.9525786,0,0.58467644346503,0.00293650151653435,0.0313697793194398
531543.78694287,4983633.9525786,0,0.589280327798761,0.00292286134088271,0.0342926406603225
531303.78694287,4984113.9525786,0,0.596475833823978,0.00287128222987422,0.0371639228901967
531543.78694287,4983873.9525786,0,0.59681003416924,0.00286903845917814,0.0400329613493748
530583.78694287,4983633.9525786,0,0.537938211377011,0.00286113435373113,0.042894095703106
530823.78694287,4984113.9525786,0,0.564937049128628,0.00285283474422433,0.0457469304473303
531543.78694287,4983393.9525786,0,0.570193643995828,0.00283732036453462,0.0485842508118649
531303.78694287,4983153.9525786,0,0.539083592841993,0.00282559592135032,0.0514098467332152
530583.78694287,4983873.9525786,0,0.545671889789199,0.00281488712631317,0.0542247338595284
531543.78694287,4984113.9525786,0,0.59933418818539,0.00268805411779922,0.0569127879773276
531543.78694287,4983153.9525786,0,0.543275610553043,0.00266855590188031,0.0595813438792079
530583.78694287,4984113.9525786,0,0.54817329307762,0.00266243373855926,0.0622437776177672
531063.78694287,4984353.9525786,0,0.575653426396885,0.00264462941946705,0.0648884070372343
530343.78694287,4983633.9525786,0,0.509325640972335,0.00260265252485724,0.0674910595620915
530823.78694287,4984353.9525786,0,0.555869707366803,0.0026004989338797,0.0700915584959712
531303.78694287,4984353.9525786,0,0.587620701436316,0.0025958344030689,0.0726873928990401
530583.78694287,4983393.9525786,0.00292346315612382,0.518253340336373,0.00257968090959305,0.0752670738086331
531783.78694287,4983393.9525786,0,0.567945636743837,0.00257275379873669,0.0778398276073698
531063.78694287,4983153.9525786,0.00410637786002692,0.526215702787631,0.00257086152396890,0.0804106891313387
530343.78694287,4983873.9525786,0,0.516756891607296,0.00256776122192437,0.0829784503532631
530343.78694287,4983393.9525786,0.000788610363391655,0.490274652276701,0.00251166693483656,0.0854901172880997
531783.78694287,4983633.9525786,0.00197152590847914,0.586040702620923,0.00247960436452554,0.0879697216526252
531543.78694287,4984353.9525786,0,0.590698717996492,0.00246748027122878,0.090437201923854
530583.78694287,4984353.9525786,0,0.539107128077575,0.00246669799771579,0.0929038999215698
530583.78694287,4982913.9525786,0,0.468588109449829,0.00246085676477087,0.0953647566863406
530343.78694287,4984113.9525786,0,0.518975479814809,0.00245752267605728,0.097822279362398
531783.78694287,4983153.9525786,0,0.542450308291973,0.00245654395912096,0.100278823321519
530343.78694287,4983153.9525786,0.00157722072678331,0.463361718134958,0.00236457503660627,0.102643398358125
530103.78694287,4983633.9525786,0,0.477902571185262,0.00235584567443721,0.104999244032562
532023.78694287,4983633.9525786,0,0.573379138131828,0.00234666795344015,0.107345911986002
530103.78694287,4983393.9525786,0,0.459812604609219,0.00233472857816782,0.109680640564170
531303.78694287,4984593.9525786,0,0.575352567635364,0.00232875651489585,0.112009397079066
