"x","y","elev240","descape240","Prob","CumProb"
530583.78694287,4983633.9525786,0.298369508583465,0,0.00289518115908089,0.00289518115908089
530343.78694287,4983633.9525786,0.275410798375366,0,0.00285866601366076,0.00575384717274166
530823.78694287,4983393.9525786,0.329440904783075,0,0.00285485922017457,0.00860870639291622
529863.78694287,4984113.9525786,0.122155210845361,0,0.00284572677956238,0.0114544331724786
530343.78694287,4983873.9525786,0.249060754812148,0,0.002822546700461,0.0142769798729396
530103.78694287,4983393.9525786,0.251199144644067,0,0.00280737402918043,0.0170843539021200
530343.78694287,4983393.9525786,0.285112478195268,0.000788610363391655,0.00280658957060802,0.0198909434727280
530103.78694287,4984353.9525786,0.109803974766013,0.000788610363391655,0.00280464555078085,0.0226955890235089
530823.78694287,4983633.9525786,0.320837400364168,0,0.00279519465779989,0.0254907836813088
530103.78694287,4983873.9525786,0.218818077163316,0,0.00278735261497469,0.0282781362962835
530583.78694287,4983873.9525786,0.280497798408046,0,0.00278375648679496,0.0310618927830784
530103.78694287,4983633.9525786,0.247663525469838,0,0.00278126890650546,0.0338431616895839
529863.78694287,4983873.9525786,0.175087141852075,0,0.00276746687392072,0.0366106285635046
530103.78694287,4984113.9525786,0.184182081304442,0,0.00276274154508879,0.0393733701085934
530583.78694287,4984113.9525786,0.243376263502902,0,0.00272269920853604,0.0420960693171295
530583.78694287,4984593.9525786,0.11083494010597,0.000788610363391655,0.00271781385488605,0.0448138831720155
530343.78694287,4983153.9525786,0.276865372081680,0.00157722072678331,0.00271149001229908,0.0475253731843146
530583.78694287,4984353.9525786,0.18917289079105,0,0.00271102907211817,0.0502364022564328
530823.78694287,4984593.9525786,0.112973946543954,0.000788610363391655,0.00270859150005059,0.0529449937564833
530583.78694287,4983393.9525786,0.307618599551974,0.00292346315612382,0.00270382491068114,0.0556488186671645
529863.78694287,4983633.9525786,0.212729092275714,0,0.00270374697623217,0.0583525656433967
530343.78694287,4984113.9525786,0.235148272177316,0,0.00268323108050983,0.0610357967239065
530823.78694287,4984353.9525786,0.196764544658002,0,0.00267899291352449,0.063714789637431
530823.78694287,4983873.9525786,0.310653534601774,0,0.00265590697403408,0.0663706966114651
530823.78694287,4984113.9525786,0.259523326515726,0,0.00265493018321621,0.0690256267946813
530583.78694287,4982913.9525786,0.312378181764369,0,0.00263593694119537,0.0716615637358766
530343.78694287,4984353.9525786,0.170645728368997,0.00118291554508748,0.0026316004160161,0.0742931641518927
529623.78694287,4984113.9525786,0.101759115441604,0.00118291554508748,0.00261815862225586,0.0769113227741486
529623.78694287,4983873.9525786,0.160259615817425,0,0.00259914783459925,0.0795104706087479
531063.78694287,4983393.9525786,0.351041231830931,0,0.00259316795747766,0.0821036385662255
530103.78694287,4983153.9525786,0.29795576591414,0,0.00256681996285702,0.0846704585290825
531063.78694287,4984353.9525786,0.213383927916285,0,0.00255176941540381,0.0872222279444863
530343.78694287,4982913.9525786,0.312850502009828,0,0.00254499041974641,0.0897672183642328
529863.78694287,4984593.9525786,0.100256446462254,0,0.00253481515092056,0.0923020335151533
531063.78694287,4983633.9525786,0.353276428814988,0,0.00253161119613739,0.0948336447112907
531303.78694287,4984593.9525786,0.138312139555217,0,0.00251873596324289,0.0973523806745336
529863.78694287,4983393.9525786,0.271508915198785,0,0.00249691454830165,0.0998492952228352
531063.78694287,4984593.9525786,0.130431297443983,0.00197152590847914,0.00249383769957442,0.102343132922410
531063.78694287,4984113.9525786,0.282309387025745,0,0.00249282728499693,0.104835960207407
530103.78694287,4984593.9525786,0.104360576428013,0.00252915797442799,0.00246001673211422,0.107295976939521
529623.78694287,4983633.9525786,0.217035469030652,0,0.00245226834238855,0.109748245281909
531783.78694287,4983393.9525786,0.223336566404465,0,0.00245071239126311,0.112198957673172
