x	y	Time	d2et	slope	elevm	ExtentFile
606570.573	5149534.97	695	0	50	1710	003SCF_master_avail.txt
606607.929	5149549.64	700	0	51	1708	003SCF_master_avail.txt
606639.674	5149577.89	705	0	50	1694	003SCF_master_avail.txt
606594.638	5149344.95	710	0	39	1643	003SCF_master_avail.txt
606801.793	5148740.91	725	67	28	1325	003SCF_master_avail.txt
606400.96	5149357.78	730	0	39	1754	003SCF_master_avail.txt
606399.486	5149354.3	735	0	39	1754	003SCF_master_avail.txt
606192.072	5149099.4	740	0	37	1731	003SCF_master_avail.txt
606362.813	5149344.35	745	10	40	1758	003SCF_master_avail.txt
606478.481	5149358.56	750	0	41	1743	003SCF_master_avail.txt
606464.282	5149336.51	755	0	40	1721	003SCF_master_avail.txt
606442.612	5149346.5	760	0	42	1744	003SCF_master_avail.txt
606209.494	5149156.68	770	0	39	1754	003SCF_master_avail.txt
605992.243	5148716.91	775	0	46	1729	003SCF_master_avail.txt
605792.868	5148615.15	785	0	37	1634	003SCF_master_avail.txt
605972.773	5148688.75	790	0	38	1746	003SCF_master_avail.txt
606307.942	5149277.64	795	22	29	1715	003SCF_master_avail.txt
606474.068	5149347.58	800	0	41	1743	003SCF_master_avail.txt
606534.712	5149522.53	805	0	51	1764	003SCF_master_avail.txt
606540.486	5149543.4	810	0	53	1754	003SCF_master_avail.txt
606662.913	5149478.59	815	10	36	1613	003SCF_master_avail.txt
606290.46	5149267.65	820	22	29	1715	003SCF_master_avail.txt
606278.682	5149633.25	825	126	15	1677	003SCF_master_avail.txt
606519.801	5149497.32	830	0	50	1758	003SCF_master_avail.txt
606480.404	5149423.93	835	0	43	1796	003SCF_master_avail.txt
606541.525	5149615.4	840	14	5	1820	003SCF_master_avail.txt
606611.759	5150074.22	850	0	36	1709	003SCF_master_avail.txt
606490.748	5150015.34	855	22	32	1663	003SCF_master_avail.txt
606662.226	5150216.12	860	0	39	1751	003SCF_master_avail.txt
606488.013	5149471.52	870	0	46	1779	003SCF_master_avail.txt
606522.934	5149493.8	880	0	50	1758	003SCF_master_avail.txt
606370.316	5149573.15	885	20	28	1712	003SCF_master_avail.txt
606433.605	5149422.31	890	0	21	1814	003SCF_master_avail.txt
606486.297	5149350.61	895	0	41	1743	003SCF_master_avail.txt
606479.375	5149351.33	900	0	41	1743	003SCF_master_avail.txt
606698.104	5149441.82	910	0	37	1585	003SCF_master_avail.txt
606786.423	5149614.09	915	30	32	1623	003SCF_master_avail.txt
606743.386	5149660.53	920	0	39	1647	003SCF_master_avail.txt
606733.687	5149688.22	925	0	51	1691	003SCF_master_avail.txt
606944.277	5150631.19	935	0	52	1670	003SCF_master_avail.txt
606847.468	5150114.22	940	0	34	1577	003SCF_master_avail.txt
606816.411	5150221.5	945	0	59	1653	003SCF_master_avail.txt
606769.398	5150145.22	950	0	60	1671	003SCF_master_avail.txt
606807.191	5150047.67	955	0	46	1625	003SCF_master_avail.txt
606822.471	5149746.65	960	22	32	1632	003SCF_master_avail.txt
606894.14	5149469.34	970	0	40	1493	003SCF_master_avail.txt
607199.881	5149500.63	975	0	37	1330	003SCF_master_avail.txt
606935.334	5149614.68	980	14	34	1532	003SCF_master_avail.txt
606974.605	5149607.79	985	0	41	1488	003SCF_master_avail.txt
606644.556	5149736.8	1000	0	47	1798	003SCF_master_avail.txt
606912.26	5149660.82	1010	0	35	1555	003SCF_master_avail.txt
606971.008	5149507.07	1020	0	37	1470	003SCF_master_avail.txt
606959.593	5149501.4	1025	0	40	1486	003SCF_master_avail.txt
606942.611	5149376.09	1030	0	36	1397	003SCF_master_avail.txt
606273.462	5149273.91	1035	10	36	1731	003SCF_master_avail.txt
605322.863	5150259.28	1040	0	40	1365	003SCF_master_avail.txt
605310.746	5150294.01	1045	0	41	1347	003SCF_master_avail.txt
605310.624	5150301.05	1050	0	41	1347	003SCF_master_avail.txt
605547.856	5149988.75	1055	0	40	1485	003SCF_master_avail.txt
605365.831	5150215.93	1060	0	46	1407	003SCF_master_avail.txt
605286.012	5150348.2	1065	0	44	1321	003SCF_master_avail.txt
605295.188	5150350.18	1070	0	41	1342	003SCF_master_avail.txt
605292.094	5150042.08	1080	0	39	1314	003SCF_master_avail.txt
605216.334	5150117.33	1100	0	43	1256	003SCF_master_avail.txt
605307.678	5150338.1	1110	0	41	1342	003SCF_master_avail.txt
