x	y	d2et	slope	elevm
597489.999	5131962.454	10	32	1033
597514.999	5131962.454	0	38	1021
597539.999	5131962.454	0	39	1006
597564.999	5131962.454	0	38	993
597589.999	5131962.454	0	32	978
597614.999	5131962.454	10	24	966
597639.999	5131962.454	10	21	956
597664.999	5131962.454	22	22	946
597689.999	5131962.454	36	22	937
597714.999	5131962.454	32	23	928
597739.999	5131962.454	22	18	916
597764.999	5131962.454	14	13	910
597789.999	5131962.454	10	19	907
597814.999	5131962.454	10	26	908
597839.999	5131962.454	0	34	913
597864.999	5131962.454	0	38	921
597889.999	5131962.454	0	38	930
597914.999	5131962.454	0	37	936
597939.999	5131962.454	10	34	940
597964.999	5131962.454	32	32	942
597989.999	5131962.454	40	31	942
598014.999	5131962.454	50	31	941
598039.999	5131962.454	50	30	940
598064.999	5131962.454	50	29	937
598089.999	5131962.454	54	25	933
598114.999	5131962.454	61	21	932
598139.999	5131962.454	67	20	931
598164.999	5131962.454	85	21	931
598189.999	5131962.454	100	23	930
598214.999	5131962.454	125	25	926
598239.999	5131962.454	132	27	918
598264.999	5131962.454	130	27	914
598289.999	5131962.454	120	29	912
598314.999	5131962.454	103	29	907
598339.999	5131962.454	95	29	900
598364.999	5131962.454	90	28	891
598389.999	5131962.454	92	23	883
598414.999	5131962.454	103	18	877
598439.999	5131962.454	92	15	872
598464.999	5131962.454	72	14	868
598489.999	5131962.454	58	14	863
598514.999	5131962.454	32	18	858
598539.999	5131962.454	14	27	851
598564.999	5131962.454	0	32	837
598589.999	5131962.454	14	32	822
598614.999	5131962.454	10	33	809
598639.999	5131962.454	10	32	792
598664.999	5131962.454	32	31	780
598689.999	5131962.454	51	30	765
598714.999	5131962.454	81	29	753
598739.999	5131962.454	82	28	740
598764.999	5131962.454	81	25	728
598789.999	5131962.454	85	24	720
598814.999	5131962.454	100	19	707
598839.999	5131962.454	113	8	704
598864.999	5131962.454	136	6	702
598889.999	5131962.454	153	6	699
598914.999	5131962.454	179	5	697
598939.999	5131962.454	197	4	696
598964.999	5131962.454	225	4	695
598989.999	5131962.454	244	3	694
599014.999	5131962.454	272	3	693
599039.999	5131962.454	285	4	692
599064.999	5131962.454	277	4	690
599089.999	5131962.454	273	4	689
599114.999	5131962.454	270	5	687
599139.999	5131962.454	270	5	685
599164.999	5131962.454	273	5	683
599189.999	5131962.454	277	1	681
599214.999	5131962.454	285	9	683
599239.999	5131962.454	266	12	688
599264.999	5131962.454	238	9	692
599289.999	5131962.454	219	9	693
599314.999	5131962.454	192	11	695
599339.999	5131962.454	175	14	699
599364.999	5131962.454	150	15	702
599389.999	5131962.454	130	16	705
599414.999	5131962.454	100	16	711
599439.999	5131962.454	80	17	717
599464.999	5131962.454	50	20	724
599489.999	5131962.454	30	26	731
599514.999	5131962.454	0	29	741
599539.999	5131962.454	20	30	748
599564.999	5131962.454	30	30	760
599589.999	5131962.454	10	32	775
599614.999	5131962.454	10	30	793
599639.999	5131962.454	30	25	804
599664.999	5131962.454	42	28	815
599689.999	5131962.454	32	30	828
599714.999	5131962.454	28	31	840
599739.999	5131962.454	20	33	855
599764.999	5131962.454	0	34	873
599789.999	5131962.454	0	33	890
599814.999	5131962.454	20	33	907
599839.999	5131962.454	40	31	923
599864.999	5131962.454	20	31	937
599889.999	5131962.454	0	32	952
599914.999	5131962.454	20	27	969
599939.999	5131962.454	28	21	979
599964.999	5131962.454	14	27	980
599989.999	5131962.454	10	33	977
593614.999	5131937.454	54	23	911
593639.999	5131937.454	64	24	919
593664.999	5131937.454	80	23	927
593689.999	5131937.454	82	25	936
593714.999	5131937.454	94	26	946
593739.999	5131937.454	76	26	955
593764.999	5131937.454	50	25	961
593789.999	5131937.454	36	26	968
593814.999	5131937.454	30	30	976
593839.999	5131937.454	22	32	989
593864.999	5131937.454	10	33	1002
593889.999	5131937.454	10	32	1014
593914.999	5131937.454	20	29	1025
593939.999	5131937.454	22	28	1032
593964.999	5131937.454	45	29	1041
593989.999	5131937.454	36	30	1051
594014.999	5131937.454	14	33	1061
594039.999	5131937.454	10	36	1072
594064.999	5131937.454	0	38	1085
594089.999	5131937.454	0	38	1098
594114.999	5131937.454	0	37	1105
594139.999	5131937.454	0	41	1101
594164.999	5131937.454	0	43	1094
594189.999	5131937.454	0	43	1088
594214.999	5131937.454	0	42	1079
594239.999	5131937.454	10	38	1070
594264.999	5131937.454	10	36	1071
594289.999	5131937.454	0	35	1080
594314.999	5131937.454	0	33	1084
594339.999	5131937.454	10	30	1093
594364.999	5131937.454	30	27	1096
594389.999	5131937.454	30	23	1100
594414.999	5131937.454	20	19	1105
594439.999	5131937.454	0	29	1112
594464.999	5131937.454	0	41	1139
594489.999	5131937.454	0	41	1158
594514.999	5131937.454	0	39	1175
594539.999	5131937.454	0	38	1192
594564.999	5131937.454	0	37	1208
594589.999	5131937.454	0	38	1225
594614.999	5131937.454	0	36	1241
594639.999	5131937.454	10	34	1254
594664.999	5131937.454	0	35	1266
594689.999	5131937.454	0	36	1283
594714.999	5131937.454	10	34	1302
594739.999	5131937.454	10	34	1318
594764.999	5131937.454	0	35	1336
594789.999	5131937.454	0	34	1355
594814.999	5131937.454	20	32	1372
594839.999	5131937.454	22	32	1388
594864.999	5131937.454	0	32	1405
594889.999	5131937.454	10	32	1420
594914.999	5131937.454	20	33	1433
594939.999	5131937.454	0	35	1446
594964.999	5131937.454	0	35	1462
594989.999	5131937.454	14	32	1474
595014.999	5131937.454	10	32	1481
595039.999	5131937.454	10	33	1495
595064.999	5131937.454	0	35	1505
595089.999	5131937.454	0	38	1521
595114.999	5131937.454	14	36	1537
595139.999	5131937.454	14	34	1551
595164.999	5131937.454	10	34	1565
595189.999	5131937.454	0	33	1581
595214.999	5131937.454	30	32	1593
595239.999	5131937.454	50	30	1606
595264.999	5131937.454	60	28	1618
595289.999	5131937.454	60	28	1631
595314.999	5131937.454	67	27	1643
595339.999	5131937.454	60	26	1656
595364.999	5131937.454	30	14	1668
595389.999	5131937.454	10	24	1668
595414.999	5131937.454	0	40	1644
595439.999	5131937.454	0	36	1625
595464.999	5131937.454	20	32	1609
595489.999	5131937.454	28	30	1595
595514.999	5131937.454	42	25	1582
595539.999	5131937.454	58	21	1573
595564.999	5131937.454	85	19	1564
595589.999	5131937.454	104	18	1558
595614.999	5131937.454	133	17	1552
595639.999	5131937.454	144	17	1549
595664.999	5131937.454	128	17	1547
595689.999	5131937.454	117	18	1543
595714.999	5131937.454	104	19	1539
595739.999	5131937.454	98	20	1533
595764.999	5131937.454	89	21	1527
595789.999	5131937.454	82	20	1519
595814.999	5131937.454	64	20	1513
595839.999	5131937.454	54	22	1505
595864.999	5131937.454	50	25	1497
595889.999	5131937.454	50	28	1494
595914.999	5131937.454	58	31	1495
595939.999	5131937.454	71	29	1497
595964.999	5131937.454	70	25	1498
595989.999	5131937.454	71	20	1496
596014.999	5131937.454	71	20	1488
596039.999	5131937.454	76	22	1478
596064.999	5131937.454	92	25	1467
596089.999	5131937.454	106	28	1454
596114.999	5131937.454	117	31	1440
596139.999	5131937.454	125	32	1424
596164.999	5131937.454	142	28	1408
596189.999	5131937.454	156	24	1397
596214.999	5131937.454	142	22	1387
596239.999	5131937.454	130	22	1377
596264.999	5131937.454	117	26	1367
596289.999	5131937.454	112	29	1352
596314.999	5131937.454	110	27	1339
596339.999	5131937.454	110	25	1327
596364.999	5131937.454	81	25	1315
596389.999	5131937.454	61	23	1305
596414.999	5131937.454	32	18	1295
596439.999	5131937.454	14	24	1295
596464.999	5131937.454	14	28	1299
596489.999	5131937.454	32	29	1298
596514.999	5131937.454	10	31	1297
596539.999	5131937.454	10	31	1296
596564.999	5131937.454	32	30	1292
596589.999	5131937.454	51	26	1287
596614.999	5131937.454	67	23	1289
596639.999	5131937.454	70	26	1298
596664.999	5131937.454	76	27	1307
596689.999	5131937.454	71	29	1317
596714.999	5131937.454	41	30	1328
