x	y	d2et	slope	elevm
608074.891	5152249.420	20	15	738
608099.891	5152249.420	10	24	743
608124.891	5152249.420	10	30	751
608149.891	5152249.420	10	31	760
608174.891	5152249.420	14	31	764
608199.891	5152249.420	10	28	764
608224.891	5152249.420	14	19	765
608249.891	5152249.420	20	4	764
608274.891	5152249.420	30	16	769
608299.891	5152249.420	10	32	782
608324.891	5152249.420	0	38	803
608349.891	5152249.420	0	36	818
608374.891	5152249.420	20	33	831
608399.891	5152249.420	14	33	842
608424.891	5152249.420	0	35	853
608449.891	5152249.420	0	34	860
608474.891	5152249.420	0	34	866
608499.891	5152249.420	0	39	893
608524.891	5152249.420	0	37	911
608549.891	5152249.420	14	33	924
608574.891	5152249.420	14	32	934
608599.891	5152249.420	0	34	939
608624.891	5152249.420	0	32	943
608649.891	5152249.420	10	31	951
608674.891	5152249.420	0	34	972
608699.891	5152249.420	10	31	989
608724.891	5152249.420	32	29	1000
608749.891	5152249.420	45	29	1010
608774.891	5152249.420	28	32	1019
608799.891	5152249.420	20	33	1030
608824.891	5152249.420	36	33	1040
608849.891	5152249.420	51	32	1050
608874.891	5152249.420	50	30	1060
608899.891	5152249.420	50	29	1067
608924.891	5152249.420	41	31	1075
608949.891	5152249.420	36	33	1085
608974.891	5152249.420	20	33	1095
608999.891	5152249.420	14	34	1104
604099.891	5152224.420	10	31	1466
604124.891	5152224.420	0	34	1457
604149.891	5152224.420	0	36	1454
604174.891	5152224.420	0	37	1462
604199.891	5152224.420	0	34	1464
604224.891	5152224.420	10	34	1464
604249.891	5152224.420	20	35	1461
604274.891	5152224.420	0	39	1456
604299.891	5152224.420	0	42	1444
604324.891	5152224.420	0	42	1429
604349.891	5152224.420	0	38	1413
604374.891	5152224.420	0	35	1404
604399.891	5152224.420	0	34	1404
604424.891	5152224.420	10	32	1401
604449.891	5152224.420	14	30	1395
604474.891	5152224.420	28	28	1389
604499.891	5152224.420	41	28	1381
604524.891	5152224.420	57	30	1371
604549.891	5152224.420	70	31	1359
604574.891	5152224.420	40	30	1346
604599.891	5152224.420	20	31	1334
604624.891	5152224.420	0	34	1318
604649.891	5152224.420	14	36	1302
604674.891	5152224.420	0	35	1283
604699.891	5152224.420	0	34	1278
604724.891	5152224.420	0	36	1273
604749.891	5152224.420	0	35	1263
604774.891	5152224.420	14	32	1254
604799.891	5152224.420	28	27	1245
604824.891	5152224.420	45	26	1237
604849.891	5152224.420	57	27	1226
604874.891	5152224.420	81	26	1215
604899.891	5152224.420	98	26	1206
604924.891	5152224.420	76	29	1195
604949.891	5152224.420	58	30	1182
604974.891	5152224.420	30	31	1171
604999.891	5152224.420	10	35	1159
605024.891	5152224.420	0	37	1142
605049.891	5152224.420	10	33	1127
605074.891	5152224.420	36	30	1116
605099.891	5152224.420	20	33	1105
605124.891	5152224.420	0	34	1090
605149.891	5152224.420	20	32	1077
605174.891	5152224.420	41	30	1065
605199.891	5152224.420	22	31	1054
605224.891	5152224.420	0	34	1041
605249.891	5152224.420	0	36	1025
605274.891	5152224.420	14	34	1011
605299.891	5152224.420	10	34	997
605324.891	5152224.420	22	30	983
605349.891	5152224.420	36	22	973
605374.891	5152224.420	58	17	967
605399.891	5152224.420	76	16	962
605424.891	5152224.420	104	16	958
605449.891	5152224.420	124	17	955
605474.891	5152224.420	153	17	951
605499.891	5152224.420	142	18	947
605524.891	5152224.420	125	18	942
605549.891	5152224.420	117	17	937
605574.891	5152224.420	106	16	934
605599.891	5152224.420	92	16	930
605624.891	5152224.420	71	17	925
605649.891	5152224.420	58	18	921
605674.891	5152224.420	42	21	917
605699.891	5152224.420	32	26	911
605724.891	5152224.420	14	32	903
605749.891	5152224.420	0	35	891
605774.891	5152224.420	10	34	879
605799.891	5152224.420	28	30	869
605824.891	5152224.420	22	31	861
605849.891	5152224.420	10	38	848
605874.891	5152224.420	0	40	829
605899.891	5152224.420	0	31	810
605924.891	5152224.420	20	11	799
605949.891	5152224.420	36	21	804
605974.891	5152224.420	30	23	807
605999.891	5152224.420	10	27	816
606024.891	5152224.420	10	35	834
606049.891	5152224.420	10	28	853
606074.891	5152224.420	40	14	859
606099.891	5152224.420	58	11	864
606124.891	5152224.420	85	16	869
606149.891	5152224.420	98	21	876
606174.891	5152224.420	72	21	884
606199.891	5152224.420	57	17	891
606224.891	5152224.420	36	16	896
606249.891	5152224.420	28	22	901
606274.891	5152224.420	22	29	910
606299.891	5152224.420	14	34	921
606324.891	5152224.420	0	36	935
606349.891	5152224.420	0	35	950
606374.891	5152224.420	0	34	963
606399.891	5152224.420	14	32	977
606424.891	5152224.420	41	31	988
